参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
psyc2020邊位tutor好？,which one better,cedar chancheung ka tosoniaAngela,,,,1,2,,,
求psyc2060 source,Pm,pm,Pm,1,10,,,,,
mktg2501 source,have source a range tg: hahahehehelol,pm plss,pm,1,26,,,,,
⛑,I hv 1004 textbook,夠,本身數學唔好，唔知中學dse個部夠唔夠用？,1,3,,,求 PSYC1004 textbook，同埋用邊款cal機好,,
Find CCST9033 groupmate,nope,Do u hv a gp yet?,Ys,1,4,,,,,
放poli1003 source with exam,A source cheap sale,Pm,Pm pls,3,64,,,,,
放poli1003 final exam and sourc,A+ source for sale,Pm,pm,1,30,,,,,
平放KORE1002 ebook,어휘와 문법 1-2듣기와 읽기 1-2Scanned e-copy $50/1,,,,,,,,1,1
LLAW3093 Admin law tutorial,I reg 016 Mon 16:30-18:20. Anyone from group 017/018 can switch with me?🥲 thank you so much!!!,,,,,,,,1,1
收Fina2343 Source 🙏🏻,Pushh,Push thanks,,,,1,2,,,
有冇人參加過di sconuation review,嘓兜人係點選嘅喔,,,,,,,,1,1
acct2102,Pm plss,Hi,Pm,1,15,,,,,
Bstc A+ sources sales,First hand source!!! BSTC 1004 A (2022-2023)BSTC 2005 A+(2021-2022)BSTC 2009 A(2021-2022)Tg: @hahahehehelol,Pm got cheap A+ sources for bstc1004,hi,2,121,,,,,
buy GEOG1005 source,Pm plz,Geog source for sale (21-22):GEOG1005 A+GEOG1022 A-GEOG1016 B+DM if interested,Pm plz,1,24,,,,,
MGMT2401,"Hi, may I know how much for the MGMT2401 source?",pm,Pm,1,24,,,,,
求bstc 2003 A range sources,"REAL First hand source, have proof, 所有 essay 爆字爆頁數, price is negotiable!BSTC 2003 A+ (Both essays are A+)Pm for more info",Pushh,🙏🏻🙏🏻,1,3,,,,,
ACCT2102 A+ source,Pushhhh,Please see the private chat,pm,1,5,,,,,
Ccch9004,https://instagram.com/_ryanee_?igshid=YmMyMTA2M2Y=,https://instagram.com/_ryanee_?igshid=YmMyMTA2M2Y=,Me2 今日上完第一堂 大家覺得點,1,6,,,,,
__,https://instagram.com/_ryanee_?igshid=YmMyMTA2M2Y=,誤鳴？,想知,12,13,,,智華火警！？,,
__,https://instagram.com/_ryanee_?igshid=YmMyMTA2M2Y=,https://instagram.com/_ryanee_?igshid=YmMyMTA2M2Y=,利申男,7,11,,,點睇另一半同異性儲火？,,
Ricci 對 Starr 火藥味濃,https://instagram.com/_ryanee_?igshid=YmMyMTA2M2Y=,https://instagram.com/_ryanee_?igshid=YmMyMTA2M2Y=,Must be so funny☺️,11,139,,,,,
Phil2115 grade,Get an a probably requires some luck or talent,"Then must pass, probably b range or above","If you work hard, submit all materials",1,5,,,,,
求Sowk 1012 A range source,Pm. A source at $70.,halo,pm,1,4,,,,,
1人1個CAES killer,Kevin Pat,,,,,,,,2,1
有冇人收到hysan sem 2 latecome面試,??你收到？,Me too,,,,1,2,,,
CCGL9067 assignment,CCGL 9067 A range source for sale ❤️1: Public Engagement Essay2: Weekly Journal (500words) x 83: Current Issue video 4: Video Proposal,請問係咪first week就要做journal？我印象中尋日上堂有人問過lecturer，之後lecturer好似話下星期先開始？…,,,,1,2,,,
ccgl9067 project pm,CCGL 9067 A range source for sale ❤️1: Public Engagement Essay2: Weekly Journal (500words) x 83: Current Issue video 4: Video Proposal,差2個 gpmates,,,,2,2,,,
有無chem major有報UCL,有冇feedback,,,,,,,,1,1
Geog1005/Geog1016?,我記得好似有得揀🤔🤔,我係online,你係上f2f? 因為我有frd話考試淨係整map但佢係online上,2,16,,,,,
waitlist個制係邊？,係你有得睇timetable個版,Add course嘅個過程有,Sorry條問題真係好低能 但我真係搵唔到😭,1,3,,,,,
Sources for CCHU9039,Are any sources for this course for sale pls?,,,,,,,,1,1
BSTC2004 靚唔靚grade,Workload大唔大？ 靚唔靚grade？,,,,,,,,1,1
一人留一個拎A range既CC,CCCH9002 CCGL9005CCGL9040CCST9019CCST9042,ccst9019,CCST9016CCGL9010CCHU9001,3,25,,,,,
ccgl9033好唔好grade?,請求大家呢科grade如何🙏🏻🙏🏻,今日上完一堂，成堂歷史堂咁,,,,1,2,,,
Add drop period participation,其實Add drop period計唔計class participation㗎,,,,,,,,1,1
收CCST9063 source,Pmpm,A range source for sellpm if int,Pm plz,2,8,,,,,
Any bbms1001 sourses？,Pm,Hi may I hv like reading some notes since I’m considering it as well🙏🏻,thank you!,1,4,,,,,
ECON4200 2G搵Group mates,如題 想搵搏盡Group mates一齊搏盡,,,,,,,,1,1
Acct3107 A+ updated sources,pm,Pm,Got A+ last sem,1,5,,,,,
Any ccgl9052 Grp 2,Heyyy can I joinnnn need chur GPA TOOO,Pm again,都係expire左😂,1,9,,,,,
sell caes9921 A range source,p,,,,,,,,1,1
讀過CCGL9002嘅入黎攞低個grade,pm,pm want source,jamie B+,29,91,,,,,
一橋gpa,Push,push,push,1,4,,,,,
SOWK 2140 grade,Push,有冇人讀過？伏唔伏,,,,1,2,,,
CAES1000 A+ source,按信封,pm,"$100 for all assignments and oral script, pls pm🙏 with proof",1,3,,,,,
__,Still have ?,"Wanna buy! Plus, also wanna know more about what are the quizzes like and where can I find sth like past paper for reference. Many thanks.",,,,1,2,Any CCGL9048 A range sources?,,
Bstc 1003 A+ source,pm,Pm,Pm,2,22,,,,,
放MATH1013 MATH2012 STAT1600疏屎,How much,有意pm,,,,2,2,,,
有冇人sem2讀新CCHU9090?,想問第一堂伏唔伏,有但係manual都冇🫤🫤,,,,1,3,,,
CCST9025 CCST9042A+source sale,Pm,Pm,Pm me pls,1,40,,,,,
__,Hi want soci2001,Pm,Pm,10,215,,,放PSYC SOCI A+ source,,
__,好羨慕吖 🥺 我完全0認識 仲要carry成team人 真係想死 😭,讀左 有神隊友carry最後A-對呢個完全冇認識嘅唔太提議讀🫠,淨係得d PPTs 😅 同埋呢科會爛grade... 身邊冇人上到A-range 建議你快d drop咗佢,1,5,,,CCGL9068 求救 😢,,
Ital  minor,But portal say 2001 pre req is 1002 pass or already enrolled,唔介意B range可以讀2字頭既😂,梗係唔得啦,1,8,,,,,
收CCST9062 souces,Pm,pm,Ok,1,6,,,,,
有冇人讀ccst9036?,新科,咁多vacancies係因為伏定新科,,,,1,2,,,
CCGL9025,Wanted,Yau mo source ah,,,,2,8,,,
iimt2601 Class IJ groupmat,想招class I grpmate🥲,,,,,,,,1,1
MUSI 2015,靚grade? hea?,,,,,,,,1,1
收acct2102 pp,pm,have 19-20 sem 1 and 20-21 sem 1 final ppFeel free to pm me,Have the latest,1,8,,,,,
放POLI1003 GEOG1012 A Source,Poli1003 pm,"Essay a grade, pm if interested!",POLI1003 pls,2,28,,,,,
Arts Leng grade courses,Hi anyone have suggestions for Leng grade arts courses to take?,,,,,,,,1,1
FINA3322,Is it good?,,,,,,,,1,1
ccch9050 伏唔伏🙏🙏🙏,Pm,CCCH 9050 A range source for sale ❤️1: Tai O Photo Essay 2: Tutor Presentation Slides3: Video Storyboard 4: Final Video 5: Tutor discussion,好讀？,1,5,,,,,
Biol3204 3606點揀好,Anyone 3204 class b?,Thx so much 咁都冇咁驚🫠,同隔離組互問2條問題,1,16,,,,,
"PSYC1004,SOWK1012 Source",Pm,"Have asm ans, midterm, final, lecture tutorial notes","Have psyc1004 A source, pm if interested",1,8,,,,,
__,engl 1015 1024 anyone?? 🥲🙏🏼,Don’t 1024 大伏,ENGL2002 or 1024 anyone?,55,125,,,ENGL咩course好grade?,,
CBBA9001 A source for sale⭐️,pm,"⭐️CBBA9001 grade A source for sale☄️⭕️Assignment 1300words essay⭕️Sample essay x2⭕️Group Project (PowerPoint )⭕️Tutorial, important lecture slides with notes⭕️Past paper (3 yr final exam with answer)⭕️Self-made notes ⭕️Extra relevant exercise(錯別字、病句)📩pm / tg @rel456",,,,1,2,,,
Art history嘅free e靚唔靚grade？,arth cutoff好高 A range係91以上,Anybody can helpppp,"Very interested in ARTH1008, can anyone talk about the workload and grading criteria please?",3,6,,,,,
ccst9063,Eassy,想問要寫幾多字,thx！,1,8,,,,,
Soci 1001,pm,pm,A grade source for salepm if interested,2,11,,,,,
收acct2102 nafis resource,Pm,Pmed,Pm,1,11,,,,,
Econ4200邊個professor好😵‍💫,點解Liu Xuewen咁少人reg..,,,,,,,,2,1
hkgs grade,HKGS2011 知唔知讀咩？,收HKGS1002 source,追hon唔使諗,5,27,,,,,
收fina 2322 a source,Pm,Pmmmm,pm,1,13,,,,,
quit hall,Pm?🙏🏽,多謝曬大家🤧🙏🏻🙏🏻,認真答去問hall office拎quit hall form交完表檢查埋間房隨時走得同交學費一樣遲啲叫你交返錢冇咩大不了冇咩嘢要煩 每年都大把人quit,3,25,,,,,
搵女化妝set 頭model,"女part time化妝師， 想搵model 化全妝，set 頭練習，費用全免！特別想搵黑眼圈深/有皮膚問題嘅女仔 (eg. 暗瘡印, etc) 有興趣pm",,,,,,,,1,1
phys1650既朋友仔可摸以入一入來,Pm,pm,Hello,2,13,,,,,
free elective推薦,ling1000,Didn’t study physics also ok?,2320 2322,1,22,,,,,
mktg2501,Push,Non fbe 升year 3 想reg mktg2501做free e有冇人知道大唔大機會approve? 見所有subclass都仲開緊🙏🏼thxxxx,,,,1,2,,,
尋GCIN 1001 A range source,pm,pmed,hi plz pm me,1,17,,,,,
EASC1402 Pringle of geology,Pm want sources,Do u hv source? I want to buy,"very light workload, labs are easy",1,6,,,,,
PWMA Interview,Any CS update,CS receive 1st round already,Anyone has CS/ GS update?,3,4,,,,,
CCCH9056伏唔伏?,有冇人可以講下workload 同 grade 係點樣？有冇人讀過可以講下？ 🙏🏼🙏🏼thanks!!,,,,,,,,1,1
CAES9820 A source available,Pm,pmed~,pm,1,4,,,,,
點解原本approved既course會變disapprov,唔會啦 你係邊到睇到自己approved,會唔會你睇錯 應該唔會,What course,1,4,,,,,
有冇人讀過CCCH9050,CCCH 9050 A range source for sale ❤️1: Tai O Photo Essay 2: Tutor Presentation Slides3: Video Storyboard 4: Final Video 5: Tutor discussion,hi pm?,hi pm?,2,7,,,,,
收CSCI9001 A range source,pm,pm~,,,,1,4,,,
CCHU 9039 A range source 出售,pm,Pm,pm,2,6,,,,,
LLAW 1008 A- Source,Hi,,,,,,,,1,1
CCHU9052The Best Things In Lif,有無人讀過grade好唔好workload多唔多,,,,,,,,1,1
"徵CHIN2153, CHIN2184 sources",want2153,有冇2184source啊,如有請pm,1,3,,,,,
any psyc1001 source？,Pm,Have psycA+ source,I have source,1,17,,,,,
Exsc3018 group project,Hi,Hi! 想問下 EXSC3018 group project 有沒有 group 未搵齊 groupmate?,,,,1,2,,,
BIOL3503 收source pls🙇🏻‍♀️,+1 plz pm,,,,,,,,1,1
__,Hi 我尋日喺CPD LG08唔見左個logi tech藍牙keyboard，想問問呢度有無人執到😵‍💫😵‍💫有薄酬,,,,,,,16/1 遺失藍牙無線keyboard 薄酬,1,1
有冇人有興趣復活節假期去旅行阿？,我有興趣去東南亞 越南馬拉個d不過人多比較安全23ba有冇人都想搵旅伴 男女都得,,,,,,,,1,1
放SOWK1012 source,pm,hi still need?,Hi i want it,2,8,,,,,
sell chin9511 A grade,Pm,Pm,Interested,1,5,,,,,
sell a range comp source,dm,want2119 and 3278,pm,1,4,,,,,
ECON 1280 F 揮手區,me,有冇course 可以取代佢,我都係啊,1,9,,,,,
邊科cc多女,Body beauty fashion,,,,,,,,1,1
求SCNC1112 a source,A source available,Push,,,,1,2,,,
SocSc final year 讀intro course,Btw 記得對啲fm bb輕手啲😂,有啲lecturer好好人 我一email佢就approve咗,,,,2,5,,,
[LAW] Yr 3 double degree問,"想問下year3嘅gpa對搵vac scheme重唔重要？定係睇cgpa多本身想呢個sem讀多啲law course之後可以輕鬆啲，不過如果全部b range我sem gpa就會得3.1-3.3⋯雖然我cgpa仲算ok, 但唔知有冇影響搵intern定係而家讀多啲non-law course刷靚啲sem gpa好啲",,,,,,,,3,1
ACCT2105留grade,Code 1 A+,,,,,,,,1,1
yonsei sem2 exchange,push,push,push,1,4,,,,,
靚grade CCST,CCST 9019 A range source for sale pm,Pm,,,,31,70,,,
求CCHU9039 ￼￼source￼s,Pm,Pm,Pm,1,5,,,,,
放CHEM1042 1043 BIOC1600Arange,"$ 150 eachLecture notes, tutorial notes",,,,,,,,1,1
Bstc1003 or 2005 or 2006?,A range source for saleBSTC 1003 A+BSTC 1004 ABSTC 2002 A+BSTC 2004 A+BSTC 2005 A+BSTC 2006 ABSTC 2009 A+BSTC 2017 ABSTC 2021 A+pm/tghttps://t.me/puipui122,Want,有take過1003?,2,12,,,,,
放大量Mech A range source,Pm,想要3430,Pm,1,16,,,,,
__,Pm,Pm,Pm,1,12,,,放CCHU9044 A+ source,,
__,Tks a lot,不過寫email can say u are planning to major (no matter truth or not) 說服力大啲,"First q yes, second depends",1,6,,,Add唔到科一問,,
CCST9030 咩grade？,hv cheap A grade source,Pm pls,pm,1,9,,,,,
__,Pm,Pm,有sources,3,13,,,CCHU9039 揮手區,,
stra 4701 a range for sale,This sem A+ source available. Pm if interested,pm,,,,1,2,,,
放BSTC2004 A+ source,hi,pm,Pm pls,1,6,,,,,
__,Pmm,Anyone else looking for serious group members 4 sem2 ? Pm 💪,,,,1,2,STRA4701 looking for grp mbrs,,
Cchu9010,Hi. Can I have Ur cchu 9010 source plz. Pmed,有冇人有抄到CCHU9010 lecture 2 and three嘅notes 如果有可否pm pls 🙏🏻,,,,1,2,,,
ccst9022 source for sale,Dm for more,"Last sem A+ source selling at low price. Including group project ppt, script and final report",,,,1,2,,,
IIMT 2641 搵Subclass 1A Gpmate,leng grade last sem A-,Hi 想問吓呢個course點樣🤔🤔,,,,1,2,,,
__,ECON 1280 leng grade,個個未讀之前都唔識，大家一齊學姐😁😁,冇programming底嘅入去準備俾人屈grade同埋做asm做到崩潰😆😂,2,38,,,yr1 free e recommendation🙌🏼,,
CCCH9044 a range source plz,Push,Want 2,,,,2,2,,,
請問文學院subject prize 通常幾時出？,如題🙏🏻2022-23 Sem1 出咗未？😮,,,,,,,,1,1
有冇人有FBE exchange GPA reference,Anyone can help🙏🏻,Email 話enquiry session 個陣有個reference list🥺,,,,1,2,,,
想問 JAPN 嘅 Ms Yuen Ling Chan 點,同問,,,,,,,,1,1
有冇人一齊讀 comp elective,Comp 3360,,,,,,,,1,1
買HKGS sources,pm,pm,我2015 2016 A左,1,6,,,,,
Bstc2004 A+ source sales,pm,Pm,Pm,1,22,,,,,
EXSC source,EXSC2010 AEXSC2007 AEXSC2008 Apm if int,Pushhhhh,Push,1,9,,,,,
CCGL9016靚Grade?,yes A range source for sell,hi,*CCGL9016,1,4,,,,,
Med fac 有無得exchange,Mbbs 有一年enrichment year 比你報，藥劑無,Why not? Mbbs 都報得,Amgen?,2,4,,,,,
Sowk1004,Anyone did this before? What's the workload like?,,,,,,,,1,1
BSTC2003 vs BSTC2027,Bstc2003 super leng,邊個好d？求分享 🙏🏻,,,,1,2,,,
幾時考supple?,啱啱收到email,有冇人math2014?,未收到,1,6,,,,,
GCIN有咩靚grade 2/3字頭course,"gcin2003 A grade source for sale, pm if interested:)",Pm,Pm,4,43,,,,,
LLAW3001 做乜咁爛grade,係咪cls 😭😭😭,,,,,,,,2,1
放GEOG2055 A source,pm,Pm,Pm,1,20,,,,,
HIST POLI A range sources,Pm,Have history 1021?,Poli3140?,2,9,,,,,
__,thx🙏🏻,Yes,Send email比佢地就ok,1,4,,,Exchange withdrawal 一問,,
Japn2099 tutor,Sasaki 同 Y L Chan 邊個好啲？,,,,,,,,1,1
有冇唔爛grade ce elective 推薦,3278幾好 easy,呢兩個course如何,例如comp3251 or comp3278,1,4,,,,,
__,Pm,Pm,need case study,10,,,,FINA2322 source,,
尋sem2星期一飯腳,Pm?,pm,1130-1430 lunch break 有意pm,1,3,,,,,
POLI1003/2104 A range source,Push,Push,Push,1,14,,,,,
請教Laidlaw Application,push,Yes,can pm pls? 🙏🏻,3,12,,,,,
CCGL 9022 A range source,pm,pm,A+ source selling at low price with proof,2,9,,,,,
到底數學點溫,唔明concept嘅就上YouTube睇，睇完都唔明嘅就由得佢啦，有啲嘢唔明就係唔會明。操多啲pp算,cls 數學勁撚leng grade,,,,1,2,,,
收comp3317source,pm,Got it pm me,有source嘅pm我,1,3,,,,,
Exchange,有無係Glasgow嘅朋友！,,,,,,,,1,
econ1210 A source,pushh,latest sem 2 A source!,,,,1,2,,,
GEOG1003 A source for sale,Tg: @babyimsorry,$100 for all,essay 1 & essay 2 Progress reportFinal research reportPast paper long q (with ans)Exam notes,1,3,,,,,
求BIOL 1309 sem 1 exam paper,Pm,Hello pm,Pm,8,33,,,,,
Mitacs 2023揮個靚手,"I am going to Vancouver, anyone?",Hii anyone would go to Toronto?,🙋🏻‍♀️,1,3,,,,,
bstc+bba A source for sale,Hi hv wt course,pm!,,,,1,2,,,
Japn1088 grade,想知呢科有冇得睇番考試grade?,,,,,,,,1,1
Econ1280 求補習🙏🏻🙏🏻 價錢可議,Hiii tg?,PM,,,,2,2,,,
POLI/SOWK/soc sci幾時放grade🥹,thankssss,3pm?,,,,1,2,,,
買 ECON1280 Source,Tg me at @helpmyassout 🙏🏻,,,,,,,,1,1
買 FINA2330 FINA2342 Source,Tg me at @helpmyassout 🙏🏻,,,,,,,,1,1
SOCI1001 Exam Revision Notes,pm,Pm,pm,2,6,,,,,
FINA 4350 grade?,A-,,,,,,,,1,1
CCGL9062 A source for sale,,,,,,,,,,
有無人讀過BIOL3503?,諗緊讀唔讀,Lm how’s it,📷,2,6,,,,,
Psyc1001 A source,Hv PSYC1001 A+ source Tg@yoyowyxy,pm,p m,2,61,,,,,
收 fina calculator,pm,pm,pm,1,12,,,,,
招PSYC1001 Sources,Pm,$50 比你pm,pm,2,22,,,,,
CCCH9007搵group mate,已pm,Why,Rubbish course,1,8,,,,,
Accelerate pwma offer?,Which firm,I heard verbal offer is released,Will they release verbal offer but not official offer?,1,7,,,,,
Science Drop Minor,如果到畢業都fulfill唔到要求就會自動drop左。,應該可以就咁喺portal undeclare，甚至係就咁由得佢、到時畢業嗰張official transcript 一樣唔會有🤔,想問下有冇人試過year 3 / 4 declare完 major 同 minor之後，最後因為讀唔切個minor所以drop咗佢？想問下係唔係直接喺portal搞，定要打電話去faculty office？Thanks,1,3,,,,,
SOCI groupmate ?,"招 非freerider and cooperative group mates SOCI 2001, SOCI 2030, SOCI 3042, SOCI 2088",,,,,,,,1,1
Defer,2024,"如果我2023 Dec grad, 我係計 class of 2023 or class of 2024?",,,,1,2,,,
MGMT 2401 2J 搵grpmate!,Pm,2J pm,Pmpm,1,4,,,,,
CAES 1000 A source $70,"CAES1000 A range source$50 for all assignments, with grade proof, DM if interested",Included all tasks and speaking scripts. Pm if interested!!!!!,,,,1,2,,,
放日文 japn source,Pmed,JAPN1011 A source,pm,1,7,,,,,
好攰 放grade之後好想死,Pm,pm傾下 ？,Pm,3,12,,,,,
突發！FBE提早咗出GPA!!,😱😱😱😱😱真係,Engine就放左😂,9up者畢業cgpa唔過3,20,,,,,,
cchu9056 ccst9063 a range,push,,,,,,,,1,1
BBMS1001 sem2 anyone?,Pm,Here,,,,1,2,,,
已經final yr 係咪想搵個真心認真嘅人都咁難？,Pm,pm make frd bsc,雖然無如果，但當初join 多d soc 活動都好d 因為大家都有共同興趣,1,24,,,,,
放CAES1000書,Pencil marking only 90%new $90,,,,,,,,1,1
收MKTG2501source,Have A+ source sales,"Pm/tg@hihixdxdxd, A+ latest 2022 sources",pm,1,6,,,,,
放ECON1220 source,Pm,dm please,Pm,1,11,,,,,
BIOL4415 招隊友,利申year 3,招隊友一齊讀,,,,1,2,,,
求JAPN2099 source,Pm,Pmed,Pm,1,4,,,,,
收Ccst9025 source,Pm,I want ccst9025 sources pm pls,I want ccst9025 sources pm pls,2,14,,,,,
有冇人都有讀ccch9039,好龟？,Hi,Meee,1,6,,,,,
有冇人對未來出嚟做private banker有興趣？,Pm,Pm ok? Thx!,,,,2,12,,,
__,pm,21-22 A source for sale dm for more,Hv caes1000 A grade sources with low price!!! Pm me,1,6,,,CAES1000 tutor,,
CGPA 2.95 second up?,Lm,咁又唔拘喎,咁都上到 不如直接比個first你啦,1,7,,,,,
csci9001 有咩assignment 🙇🏻,dm,想問我洗唔洗take呢個course? 我冇做chi dse,dm,1,11,,,,,
CCGL9042 A+ source,Pm,pm,Pm,1,34,,,,,
fbe exchange,Lm,ching have many extra curricular?,Most competitive and me 3.6,3,8,,,,,
大家comp3322咩grade,"A, easy course",Have source?,A+,1,3,,,,,
CAES9920 出咩grade,Individual essay拎A+，其餘assessments拎A-，有冇人知最終會出咩grade?,,,,,,,,1,1
買PSYC2103 source,求PSYC2103 A range source,,,,,,,,1,1
__,Twice Knock Knock,IU through the night,RGP - beautiful girl,329,953,,,一人一首最好聽既kpop歌,,
CAES Jerry Lai 伏唔伏,可唔可以知佢教成點🙏🏻🙏🏻😚,,,,,,,,1,1
理學院 是 1.13 出分🐎,冇諗過csci9001會A range…,😹,2306 D+,4,47,,,,,
Sum Sem 大法,可以喺protal偷偷地改自己GPA嘅法術@fm bb,上年已經唔work la,咩係sum sem 大法,1,4,,,,,
Life sci 1 幾多人fail,BSc 出咗 GPA？,lm,,,,2,2,,,
HKGS2002組隊,push,looking for cooperative grpmates,,,,1,2,,,
收CCHU9039source,pm,pm,有意請pm！,1,3,,,,,
BBMS1001,冇attendance定冇lab?,好似冇,Push,1,4,,,,,
Laidlaw scholar 請教🙏🙏,push,同問,Med fac yr1 想報 hku/ucl projects. 想問下報過的senior野。,3,3,,,,,
有冇人嚟緊會去多倫多,8月去讀一年書，睇下有冇機會識定人先～,,,,,,,,2,1
收busi 3801 source,Pm,I got the most updated BUSI3801sources as I just finished this course. Pm for more details!,Pm,10,,,,,,
英國過海關visa問題,"唔洗financial support, 但係要準備定你exchange嘅offer letter同埋accommodation證明",樓上識少少扮代表，少過半年嘅exchange係唔需要申請visa㗎🤭,,,,3,5,,,
收CIVIL 3字頭course source,又係要靠 source?,,,,,,,,1,2
soci1001 soci1003讀咩,Lm,想問計分點計 有咩workload,"冇course description, course information都冇",3,,,,,,
CAES9820有冇2P/2Q想改時間😭,Pm,pm please🙏🏼,,,,1,2,,,
comp2120 subclass,咁好安全🤣,可唔可以講下點解A/B好啲？,,,,1,7,,,
CCST 9010,有冇人讀過The science of crime investigation 想知workload 同 grade 如何 係唔係好伏🥲,,,,,,,,1,1
ARAB1021 zoom leh?,想問靚唔靚grade?,*1月,,,,1,9,,,
CAES9820 lecturer,She is nice and she will answer most of your questions when you ask. Her lesson is also interactive and sometimes May end the lessons earlier. Grading is fair.,Lorena點,,,,1,3,,,
Latecome何東,同問,Last semester applied and this month interview,Pm?,2,11,,,,,
Arab1021 grade同workload,想問讀過嘅師兄呢科grade 同workload如何？,,,,,,,,1,1
收Chin2333  source,Lm,,,,,,,,1,1
收CCHU9039 A range Sources,Pm,火圈☺️,你有？pm plz,1,6,,,,,
__,21 btm ltr,Pm,21 bi top,10,177,,,想揾個男朋友🥺🥺 (hehe),,
跪求，有乜靓grade低workload cc,Cchu 9005 The Chinese cultural revolution 又點睇？🤔,CCST9013下年早啲reg😁,ccst9073,2,4,,,,,
CAES9920 lecturer邊個好,Agree Denise the best,Denise is a good teacher and has a very good personality but very strict and harsh grader,Kevin Pat is shitVery strict9 give marks,1,5,,,,,
IIMT2641 Tips and Source,Any tips from previous students? Taking sem2. Open to source as well,,,,,,,,1,1
Any PWMA updates?,So fast chut offer?,Wanna know ard how many ppl got spd for gs,Not early feb先知？,2,7,,,,,
求BBABA Program所有lecture notes,你想要咩course,即係點？,價錢可議🙇🏻‍♀️,1,3,,,,,
ITAL1001 係唔係 free e?,Ask ur department Just email themMy department says yes even though course description says no,Course info say no,,,,1,2,,,
__,好簡單 因為發展唔到落去,有機會中意過 但對方日日拖 佢決定放棄溝第個,太frd已經當咗佢做巴打 brozoned,8,4,,,其實點解會frdzone人,,
Fbe exchange 一問,Lm,小妹gpa唔過三打算報下年exchange，想問下first choice 放d relatively safe 嘅好d定直接放safer嘅 schools 好d🥹🙏🏻,,,,1,3,,,
__,放Yr1-5 source,quit,睇片練多啲就識,1,5,,,nursing 同學,,
Soci 1003 Sem 2揾隊友,Pm,pm,pm,1,4,,,,,
__,Wanna ask what’s the gpa🙏🏻,Joinjoin!!,https://chat.whatsapp.com/EEv3lBGVRRT4SY1H7FEFjK,2,8,,,Stanford summer session,,
Late round Sydney U同KCL勁多位😨😨,求教,邊到有得睇late round有幾多？,,,,6,5,,,
BIOC3604,But can reg? Even overlap,嗰堂冇得上 唯有搵friend幫手錄音😂 唔識再問番,咁你果陣係點處理個time clash🤔,3,6,,,,,
Bioc3601 GRADE,有無人讀過Bioc3601，想知grade係咪好差？,,,,,,,,1,1
caes andrea chai 如何,Andrea nice?,i think quite nice,Mine called Amy xu,2,4,,,,,
有冇人叫Sharyl/ Daryl/ Charyl,,,,,,,,,,
想問下Sci fac Exchange 會問咩,唔係,是咪chem,有冇ching分享下👀,1,3,,,,,
Derivatives homework paid help,Have A range derivatives source. Pm me,pm~,,,,1,5,,,
Sem2轉Skylee會唔會好難？,難乜鳩 skylee有手有腳就收,,,,,,,,1,1
__,因為你蠢,因為係命運🥲,,,,1,13,點解真心付出總會俾人背叛? 🥺,,
好想出pool🙊 (男樓主,A0 grad la 7 head,"樓主y3 A0, 想認真搵人發展一下🥲 有冇啲怕醜內向嘅女仔🙈",,,,1,2,,,
有冇人讀過ccst9063,Pm,Pm plz,CCST9002 A range sources:•Assignments and materials •Final Essay•Lecture notes•Tutorial notesPlz pm if u r interested:),1,6,,,,,
HKUWW Late Round UK Chances,係咪會得返好少位,,,,,,,,1,1
有無人知 transcript 只係出 ** 係咩反智做法,Welcome to HKU,,,,,,,,2,1
有冇人讀過geog2152,Leng grade?,1,想問下靚唔靚grade,5,,,,,,
Summer 做RA定intern好,唔同faculty會唔會好難？ 完全唔識嗰d野,不能認同更多,RA 絕對無前途（利申：做過）,2,18,,,,,
有冇EE yr4嘅人傾下fyp,Pushhh,Pm me,,,,1,2,,,
收cime2101 source,💪💪💪,,,,,,,,1,1
Poli2106 essay grade,大家咩grade,,,,,,,,1,1
有無電腦勁人識破解 HKU Portal GPA **,engin表示連星星都冇,同 department講,唔鍾意等得唔得先,3,6,,,,,
幾時出sem 1 gpa ??,上年 17,Fbe?,16 or 17,1,6,,,,,
__,Anyone take tgt?,grade同workload如何,,,,1,2,CCHU9069 grade同workload如何,,
Engine deans list,still dont have deans list,Ask ask professor,When will released?,1,3,,,,,
下個sem係f2f定zoom,add drop個個都走啦,我係韓國人 我希望佢有recording 返來一個禮拜 冇得同屋企人新年 on99,你哋覺得lectures會唔會有recording返睇？,1,7,,,,,
有冇人去過university of Nottingham,我想問gpa 大約要幾多😿 second round 申請去exchange仲有冇機會,,,,,,,,1,1
已畢業一年幾 唔知自己做緊乜,Which industry,轉行又轉工都係唔知自己想做乜轉左行又覺得好似唔係好岩自己唔轉行又覺得workload大每日徘徊諗吓自己做乜好日日都好抑鬱,,,,2,2,,,
hkuww exchange scholarship,仲諗scholarship,唔過3去到exchange 都偷笑,think too much,1,4,,,,,
sum sem幾時reg？,1月16日,唔識用google？打hku summer sem咪有,見portal有summer sem，但係入面冇course，想問下通常幾時可以reg🙏🏻,1,3,,,,,
求CCHU9039 source,Hello!!! 你有source?,Pm,,,,1,2,,,
收 Comp1117 A+ sources,pm,Expire jor,Pm me,1,13,,,,,
幾時出make-up exam schedule ？,Email 通知定自己上網查？,應該sem 頭,張medical cert 第一頁好似有寫 around 放grade個段時間,1,4,,,,,
