参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
🙋,🍈,大家住幾樓先？,🐨,Pm,sayhiandbefd,Dm,4,13,,,冇fd一齊住hall 好悶 有冇人過嚟識下？hall a,,
仲有冇人未打針？,😸,仲有因為hall莊同老鬼為咗 拗FM住hall都打咗針,👽,最大問題係我哋學校根本已經係大部分人打咗針（因為要實習,👽,都有其他人講集體email但其實都講咗好耐一直都冇見到人主動整個email出嚟,1,23,,,,,
Edu SEN Support有無用,😝,其實如果本身有sen嘅話，可以一早到學校講，之後佢地會幫你寫support list去叫你department 嘅老師幫手，咁樣就應該可以跟返你嘅需要去做assignment 嘅 調適。但如果你唔係sen或者唔方便同學校講（sao果邊）咁你都可以去試下搵先😁,🐑,開始覺得有啲壓力，想搵下佢地睇下讀書上可以幫到啲乜。有無人搵過/有無用？,,,,,1,2,,,
Fm如果有得再揀會￼reg咩hall,🐑,Jc 又吾洗share pantry 又吾洗去臭廁,😝,我都想住hall B 想早訓,🐲,Hall b 想早瞓,1,4,,,,,
其實上莊係一件好好玩嘅事,😡,知京就好,😏,禾巧京京牙 開口埋口都係鬧人😖 連數都唔想讀啦仲叫人上莊,🎄,唔讀數學點上🙏🏻🙏🏻🙏🏻你哋數學人自己唔識檢討下反省下？🙏🏻,3,26,,,,,
有冇人做過Capstone project,😮,一到2至3月goop就會出現大量叫人免費做FYP問卷嘅post,🐔,做hp都唔一定係問卷收數,😮,唔想係咁搵人填問卷收集數據就capstone,1,11,,,,,
求畢業入場券🙏🏻🙏🏻,🙌,有人有嗎？,🙌,懇求兩張guest入場券🙏🏻感激,,,,,1,2,,,
🌴,😝,數學學會唔係摺左？,😇,唔係,🙇,數學學會係系會分支？,16,47,,,仲有咩莊可以上,,
EDUHK 研究 （現金 + 禮卷），有意請PM,🍉,pm,😏,你唔開pm咁就算啦，其他日子有工返做唔到,🍘,pm,1,6,,,,,
語文增潤科計唔計gpa?,🌰,有計就計,😆,中英都有計credit嘅語文增潤課，個啲計唔計gpa稼？,,,,,1,2,,,
Jc支莊搞乜？,😠,返返嚟JC先，最後樓主唔講咩事,💣,你咁夜先講點回應你 人哋瞓晒覺啦,😠,莊內戀呢啲野好難會喺hall b發生,1,16,,,,,
💩,🍅,Block有得借籃球 借完出去射咪得,🎄,NDS多囉 一個二個全部煲冬瓜,😡,有冇得walk in join,5,,,,其實教大係咪冇人打籃球🥲,,
😢,😋,之前都試過幾次無啦啦斷，上緊堂,🍔,係咪個個Hall個WiFi 都咁虧？,🐔,連到都係咁斷🥲,5,,,,Hall嘅wifi發生咩事🥲,,
實習放幾點,😅,識得有PE仔2點前已走得,🐄,邊間學校咁好？我日日朝8晚5,😅,屌要4點先放得，明明啲學生唔使返全日,2,12,,,,,
對實習老師請假射波有咩睇法？,🍧,今年我射咗1次波，咁啱有啲鼻水就去睇，最後開到假紙,🕵,射咪射囉 好大件事？,,,,,1,5,,,
有冇人想做iwork?,💃,ECE,🍧,咩department?,👸,helper可以申請做咩工作？我唔會申請assistant因為我handle唔到research嘅野,1,10,,,,,
第二次實習，最後得credit係咪玩完,🌯,我係真心，只係覺得大家都一樣學，又放咗好多心機，結果就咁。但好多謝大家咁認真咁答我。,😋,唔通啲人得pass會周圍同人講咩緊係覺得自己勁先會提起好似ig咁有邊個會成日po自己啲醜態出黎雖然唔知你真心定假膠但有credit夠晒做架啦,🌯,我都想知，我見啲人個個都好消息,4,19,,,,,
實習冇錢合唔合理,🤗,non bed啲intern有人工囉，CU同HKU BEd聽講唔知係咪都有人工出,🎉,我實習個間過海 要勁早起身 搭完MTR都到唔到 仲要轉車or步行15min 車錢蝕到窮,🍇,"老馮幫手就真, 點你做到隻狗咁",9,12,,,,,
派實習關唔關GPA事,👲,即係點,🍛,其中一次係關母校想唔想你去佢學校事,🌸,主要係睇樣,1,3,,,,,
Edu有冇地方可以練鼓？(唔係music major),👨,Hall,🍼,想搵個地方練下鼓☹️,,,,,1,2,,,
住hall嘅人麻煩入一入黎,👸,建議JC,🐏,去完唔沖廁，用完pantry唔清理，偷野食，夜晚公共地方大聲講野.......呢d人我祝你永遠GPA唔過3，每個sem都遇到freerider，畢左野揾襯工都係under pay，遇襯都係閪老細閪同事，一世唔使旨意上到樓，上到樓都係一世還貸款，窮一世,,,,,2,2,,,
中教fyp research area 揀咩好🧐,🐁,中文人睇開好多reading，其實hp或cp對佢地嚟講難度冇乜分別，hp要搵好多參考文獻睇，佢地唔覺得辛苦,🍮,咩黎噶…,🙀,做cp係on9,1,4,,,,,
香港政府獎學金interview,👲,係囉 你知你又問？,🐢,政府獎學金唔係得一Round interview？,👲,第二,3,5,,,,,
有冇EdU淫絲😳😳,🌮,淫絲？ pm,🌮,淫絲？pm,NBN,Pm,1,5,,,,,
住hall自己好摺，有無師兄/姐願意好似街場咁出嚟打下波,🎃,1530上堂🥲 睇下有冇緣係球場撞到啦,🍚,1530落堂,,,,,3,16,,,
👻,😘,今年只喺JC夜市玩,,,,,,,,,點睇今年hall b鬼屋,1,
🍙,🐡,有意 pm,🐡,女？,🐉,可加錢 🙏🏻🙏🏻,1,3,,,Hall b whole year 換 hall c/ jc,,
有救護車？,🍐,見到,😲,宿舍？,🐃,有沒人知發生咩事？ 點解會有救護車？,1,3,,,,,
mth2099讀得好絕望,🍗,唔想f😣,😑,無計，習慣就好了,🍗,2099*打錯,2,4,,,,,
🌚,🐯,如題，浪費時間,,,,,,,,,點解實習要拍片同zoom,1,
住hall唔係淨係俾你瞓架 ！,🌰,理虧就屈人nds 好可愛,🍻,笑死 香港人係全世界都係最高地位,🍬,Diu，你邊忽覺得嘈人只會嘈到nds？用下個腦諗下再反駁,1,33,,,,,
🍆,👺,Tsui hong yiu 係邊個我唔知 但數學系會就一定係柒頭皮,🙈,邊個自殺？,🎍,做咩自殺😂😂,7,26,,,點睇小數tsui hong yiu呢個人,,
🤑,🐶,得cert,😱,姐係純粹比校長嘉許下？😂,🐶,冇,1,4,,,想問下校長嘉許計劃係有冇錢？定得cert🤯,,
Ielts,👿,有啲科係畢業要求 有啲唔係,👿,Depends科,😭,咁個requirement係廢嘅？,1,6,,,,,
online lesson 投票得兩種你揀咩,🍢,online慳太多時間,🐵,final year最後一次有f2f,🍘,之後都冇機會online🥶,1,3,,,,,
😓,🐑,去portal,🎈,點解我揾唔到嘅🥲🥲,🍶,都OK啦 $185洗到牙冇咩怨言,1,9,,,eduhk dental plan,,
想知F左係咪下個sem即刻可以retake?(如果有開）,🐹,下個sem有開就有得讀 冇就等到佢有開個時再讀,🐹,唔洗自己reg department會有信通知你幫你reg左,👸,係咪唔使自己reg? Attendance好似唔夠，驚會fail:/,1,3,,,,,
住hall遇過D靈異事件👻,🐁,國王入女層廁所都好得人驚,😞,係咪nhall樹哥,,,,,3,13,,,
有無人俾Leung Ka Wai 教過？,😝,正常professor 幾nice囉,🍇,希望比分鬆,🍇,嚟緊sem two Fe 比佢教,2,18,,,,,
如果唔想入釘嫂又想放學係edu自己練舞，有咩地方推介？,🌜,邊到嚟架？🙇🏻‍♀️,🍷,鏡房,🐵,"想問除咗block E, 仲有邊度可以練舞?",2,8,,,,,
聖誕前出pool區,🐿,我已經放棄咗喺goop識女仔,😢,請大家詳細列出自己及要求對象嘅資料自己性別: M學校: edu年級: 3外表: 戴眼鏡性格: 文静，熱情興趣: 去旅行，睇戲身高: 176對方性別: F學校: 八大(最好同校)讀咩: 冇所謂年級: 1-5外表: 合眼緣性格: 温柔，熱情，對人好興趣: 冇所謂身高: >150cm,,,,,2,2,,,
酌宿失敗😿,🍣,搵SAO Director Angie,🍺,Mentally unhealthy  有醫生紙,🌛,你用咩原因先,1,7,,,,,
有冇人都好想出pool🥲,🌴,想搵英教女女,🙀,想搵ict女做sp,🍷,想搵pe女做sp,1,6,,,,,
"Fong Wai Tsz, Ricci 靚唔靚grade",😕,Too 兩次A-,👾,好好人👍🏻👍🏻👍🏻,😶,真 靚grade!!係佢手上攞過兩次A-😆,2,13,,,,,
其實今年會唔會有exchange（唔係zoom嗰隻,🐑,有啦 依家都去緊,,,,,,,,,,1,1
想問下有無人試過喺add drop period 之後…,😜,唔該晒各位 Professors 話會比一個W grade我 想問下會有咩影響,🍑,D staff想做少d野嘛，打去問野佢地回應個態度串柒柒,🍑,同任教個professor講。如果佢批准，印張form比佢簽。簽完交去faculty，佢會幫你withdraw,1,7,,,,,
hall b whole year 換hall c  加$,😥,唔加$都可以，你睇到麻煩contact吓我🙏🏻,😥,66015629 signal/WhatsApp,🍑,2,1,8,,,,,
［轉自fb]教大嘅Wong yuen tung咪再呃人啦,🐦,通識學系？Social science LSE?,👽,Post上聲稱讀通識/數學，讀數但唔識佢,👳,鳩嗡全部都係鳩嗡😂😂😂,1,5,,,,,
🌚,👵,交唔交都冇所謂啦，話掂內部有條友當學生同屬會都零態度,😻,唔使交,🍚,咁又未至於 最多係咁追你數啫,2,14,,,Year1想問學生會費點交,,
R支煙,👺,李偲嫣,🍦,咩煙,🐶,陰風徑 落去見到有人就r啦,1,9,,,,,
🐒,🤐,比個ig睇過咩料先啦,😠,熱幸商就算啦,🌰,Bafs 人玩 board game 好勁㗎♟連今年game soc 現莊都有兩個bafs人啦 🤩,14,31,,,點睇bafs的人,,
🌝,😍,share啦,🍡,聽講佢今年有好多性史,,,,,10,18,NHall 國王懶到死，鬼屋都唔搞,,
有冇人記得楊諾（楊探長）,🙂,山上同山下都有女嗰個？,🤐,當年將JC所有屈蛇方式上交俾warden，因而有楊探長美名,,,,,1,2,,,
Social science,🌶,佢做警政,ouisshit,Lawrence Ho,🐿,要求高咗啲喎 二揀一就差唔多,1,26,,,,,
點睇Muso 招莊？,🌞,好似都quit左見佢Muso ocamp都冇去,🐞,國王有冇quit?,🐆,Muso成班爛仔前幾年已經係咁,1,43,,,,,
😢,🐣,點解唔直接問個prof 可能仲比你解釋下話網絡問題 下次唔會咁,🙂,睇你邊個教啦 點答你啫,,,,,1,2,遲左半個鐘入zoom有無事㗎,,
我地緣已盡啦🥲,😭,哦,😠,👌,,,,,1,2,,,
🐤,🐤,Hall b la diu,🌱,hall c 放心個選擇權係喺自己度,😻,拉把啱你,2,8,,,摺+怕自己yo唔起 應該住邊個hall？,,
有冇冇朋友嘅人想夾Netflix,🐹,我有一個位 有冇人想join,🍁,點樣pm,🍁,我我我,1,4,,,,,
Yu Bon Nicholas Wong killer?,🍤,我都覺,🍌,教得好好,🍊,咁即係話讀佢教嘅GE course就唔駛驚爛grade啦,3,27,,,,,
☠,🍖,靈魂即性格,👩,你死咗咩知lor,👩,求其,7,29,,,［學術台］大家點睇「靈魂」呢個概念？,,
MIT Cheung Ka Luen 靚grade?,🐱,有A range 不過極少,🌸,最高係B range?,🐱,會,1,5,,,,,
點check學費交咗未?￼￼,🐏,"過兩日Student account 睇, 會更新",😭,交左學費後，財政部會係兩日後確認到你有交，就會sd email比你。我星期日用ATM交，頭先啱啱收到佢地嘅確認email,😴,正常交完學費應該點樣check到？係咪會收到通知？交咗兩日都未收到任何通知又唔知點check😞,1,3,,,,,
Fm 想問2021入學係咪冇得minor 特殊教育同輔導￼,🍗,咁冇就係冇嫁啦，每年佢minor到嘅科都變,👳,2021-2026 cohort  個minor list 上面冇呢科,🎂,Inclusive education,1,8,,,,,
GEI4008好唔好讀？,🍙,Why ?,🐰,咪啦,,,,,1,2,,,
今年係咪都冇搞畢業典禮？,🐿,可能係因為學校唔俾出面嘅人入嚟，所以唔安排佢地湧過嚟學校借袍？,🍼,搞呀,😘,唔係嘛 又唔搞,2,4,,,,,
出grade後 一人一個最伏嘅科/lecturer,🐍,Apss Isabella,cfovo,"Continue to push, hope everyone could take a look",,,,,85,146,,,
Harrison Mark Gregory派靚grade,🐯,我係諗住讀PFS係咪都伏？😭😭,😉,Um.. 我英文唔叻 但上年pfs篇essay 我亂寫佢都比A-,☺️,kill爆 拎到b你應該偷笑,1,6,,,,,
Senior entry,🤗,佢話advised 姐系唔一定要跟？,🍇,Email 有寫,🤗,想問psy senior entry 係咪讀求其兩科GE就得?定係一定要CSLC/ELC?,1,3,,,,,
GE Year1 sem2可唔可以一齊讀GELS+PAVE￼,🐶,係,🙄,"我睇過GE 簡介PowerPoint, 佢話只可以讀GELS/PAVE其中一個, 啱啱reg 科reg到1個GELS+1個PAVE, 系統又冇事發生, 想知道係咪即係俾我同時讀?",,,,,1,2,,,
求放INS4051 O2E 薄酬,😊,跪求,,,,,,,,,,1,1
中學英文教班,⛑,Tg,🙈,Tg: isknnh,🙈,"想請中學英文導師👩🏻‍🏫（教初中／高中）地點：粉嶺（火車站行5分鐘）時間：星期六（09:00-11:00 am）日期: Oct  16,23,30          Nov 6,20          Dec 4,11          Mar 5,12,19          Apr 9,30          May 7,14薪金：$350-450/1hr*英文level4 or above就可以apply有興趣就tg我自介～～揾得有啲急！有興趣就盡快contact我啦～",1,3,,,,,
To Hing Kwan Alastair 俾分點樣？,😞,GEJ佢暫時最少人揀，我係咪揀錯人？見到另一個lecturer好快冇位,🍵,好鬆手,🍵,A-,4,8,,,,,
Gamesoc 打手柒夠未 4間hall都傳緊😂,🍮,尋日完咗傾莊大會應該少啲出現game soc嘅topic㗎啦，佢地都已經招到下莊，不過我嗰組oday好似冇人上呢枝莊,🍠,真 個個post都有份💩,🍿,其實比人講嗰幾個都幾撚慘😂😂,4,7,,,,,
想問下係度點報ielts,🤗,😹😹😹😹😹,👦,上google search ielts hk…,🐲,如題thanks,2,3,,,,,
🌶,🌺,就建議有個穩定嘅網絡啦會reg得好啲快啲嘅,🌺,得嘅 你只要開到esis reg科嗰度就reg到啦,,,,,1,2,手機可唔可以reg科？,,
￼暑Sem 以前有冇中文￼course 開？￼,🐐,係長開定係間唔中先開下？,🐸,有，現代漢語,,,,,1,4,,,
調Hall專區,🐼,男:住宿時間：whole year有宿舍：Hall C房間類型：2人求宿舍：Hall B求房間類型：2 人有意PM/signal 66015629,😙,男:住宿時間：sem 2有宿舍：Hall B房間類型：3人求宿舍：JC求房間類型：2/3矮會加7000蚊有意PM同埋tg : https://t.me/pp54415837,💂,pm,67,247,,,,,
求GEJ靚grade tutor,🐟,喺GE Consolidation入面,🐫,唔該有冇人可以答我？thx😭,🐫,想搭單問下喺esis嗰度，點解冇gej可以搜尋？thx🙈🙈,1,5,,,,,
賴志成係咪killer?,🕵,GEJ都有佢份,🕵,就算佢未必係killer但都肯定佢係伏,🐐,快撚啲死啦賴共成,11,27,,,,,
點睇￼Minor translation,🍉,LML...,😼,"LM, 我都想知(⁎⁍̴̛ᴗ⁍̴̛⁎)",👼,會唔會多killer,2,3,,,,,
☠,🍗,師兄真係講中晒我心聲 有冇興趣做個朋友,🍗,你點知的,⛑,中 數 常通,4,40,,,一年容易又招莊 一人一支伏莊,,
Cheung Hiu Yan Alice好唔好？,🎂,中文科嚴 cus科鬆,🐤,嚴,,,,,3,7,,,
P,👷,@princejoyce,🍆,綠袖子啦,🍓,instrumental (adj.),7,9,,,最近有咩歌好聽,,
無禮貌係而家啲候選hall莊嘅特色？,💃,你邊位呀,🍼,你乜嘢新鮮蘿蔔皮😹😹😹😹,😆,下我見到佢地同每一位經過嘅人都會打招呼同派禮物，淨係我都收咗兩份喎,3,16,,,,,
CSL 揀邊科 CSL1050/ 1034,🐴,🙁,🐴,1) Partnerships with Agencies in Community與社福機構同行Course Code    : CSL1050上堂時間：6.30-9.30（星期一）2) Transforming Children Through Reading Stories in English CSL1034上堂時間：2.30-5.20 （星期二）嚟緊sem two 實習要揀，邊科好啲？,,,,,2,2,,,
😐,😦,你咁講啲真相出黎，啲人會跳制又崩潰嫁😭,🍎,其實你哋咩都唔知就唔好喺度鳩up1.校巴冇加價反而減左2.唔俾錢校巴根本就唔會蝕錢學校一早同我哋簽咗約學校係咪都會俾咁多唔夠學生俾錢或者比唔夠錢唯一嘅分別就係會用咗自資課程去交,😔,你呢個假設同依家盤數見紅嘅關係肯定唔會大得過鳩開班次嘅問題，所以你一用「就算」呢兩隻字去論述就已經可以topic ended，小巴巴士做唔掂會cut班，校巴啲班次執完都係圍到收咗一至兩架車，然後繼續單向個位數乘客，個個畀足$7.2都無際於事啦。仲有，我都無話過認同搭霸王車，唔好一理虧就惱羞成怒好無？我shame on your brain就真,40,56,,,教院已死 校巴加價單野冇人講？,,
想問點樣reg gej？,🍳,"Thanks so much,感恩🙏",🐣,Ge consolidation,🍳,我係esis look up course 見唔到有gej代號，請問可以點reg？唔該晒🙏,1,3,,,,,
🐥,🐥,Pm,🐥,+1交流下?🙈🙈🙈,💂,First year識人都好重要🥲,3,12,,,有冇人都覺得入到大學唔上莊唔上Uteam 同中學冇分別,,
一人一個英文講得好撚好聽嘅人,☠,ICT村長(都係上過Game Soc莊),😫,聽聞 Game soc 個財政 Abe 啲英文都幾好聽（發音準確度果方面）不過佢中文係一pat 屎（呢個我見識過）,🍢,中教Hugo,1,7,,,,,
🌝,,,,,,,,,,,fm想知sem 2 hall嘅application係咪過左,,
幾時先可以開返比人book琴房,🐬,想問點樣book,👱,N Hall 好似聽日開返,,,,,1,2,,,
一人一個你覺得好難頂嘅人￼,🕴,呵莊,😽,咩莊,💀,會唔會係呢個post見到任何一個老師嘅名？,6,18,,,,,
TLS 3055 (21E)找groupmate,🌱,有冇人都係上TLS 3055 (section 21E)(星期二8點半堂）?請問有冇組仲差1個人，可以收留我?,,,,,,,,,,2,1
元朗 小學＋幼稚園普通話補習,🌶,已pm,🌶,已pm,⛹,PmPm,8,,,,,,
有冇人讀過 TLS 2068？,🐘,難唔難？Workload 重唔重？,,,,,,,,,,1,1
教大Fitness Introductory Course,😖,次次去都係得幾個人，其實冇人會理你㗎，大隻佬都冇個。,😪,放心，玩Weightlifting應該會畀人屌得仲勁,🤑,我兩年前上左 而家係咪仲可以叫staff幫手出信😲,2,23,,,,,
千祈唔好揀賴志成啲course,港島彭于晏,can't agree more,👹,你係靚女嘅話就會有靚龜,👵,講嘢啲立場觀點都成個何君堯咁,4,15,,,,,
Psy有咩靚grade lecturer?,🍹,Sarah Wan 俾grade正常嗎？,😁,Simpson,😋,Henry - Professional Issues,14,12,,,,,
九巴優惠站,🐕,有壞咩，前兩日都仲用到,🍅,係咪壞咗，整返好未？來回俾多4蚊道氣chok住chok住,,,,,1,2,,,
HallA宿生iwork,🤑,退宿幫到你 幾號房？,🐰,想請人幫我執房(檯同衣櫃mainly)同埋掃地拖地，100蚊一個鐘，有意pm，長期有效🙏🏻🙏🏻🙏🏻,,,,,1,2,,,
"其實讀完小數A5B058, 可唔可以加個PGDE教埋中數",🌿,係到假小人真係勁嘔🤮,🌿,唔好on9啦，有邊個返工唔為份糧架，講到好似為份糧返工係錯咁，只要個老師為份糧之餘又對得住班學生未得囉，睇份糧返工有錯？我唔信你apply工會唔留意份糧囉9588,👼,有人肯同佢生先算😂😂,2,187,,,,,
有無報到Globel Lens Phase 2+3？,🌶,係咪完成到Phase 2要做嘅野就可以直入Phase 3報海外服務團即係LEAD同SEGA咁樣？好似係30號中午deadline？,,,,,,,,,,1,2
想問點申請GPA transcript 報Non-Jupas,🌝,上網試下search“eduhk apply transcript”啊,👺,"想申請Non-jupas但要交GPA transcript, 可以點樣同學校申請？唔該曬🙏🏻",,,,,1,2,,,
想問下中文教育學士出來可以去cu讀中文研究碩士嗎？,🌲,你的major是什麼？,🐔,"如果是讀左中文minor, 可不可以報MA?",🐋,中文相關都得,2,7,,,,,
Fm無知一問,👧,鄺梓淇係叫fat ball,😮,呢個又乜水,🌰,國王有乜特別？,2,10,,,,,
Hall b 有賊長期偷嘢,👨,有個叫Louie已經去左hall c,😺,我係八樓都有,😯,10f,1,6,,,,,
想要hall b sem1,😻,女住宿時間：sem1 有宿舍：jc求宿舍：hall B,,,,,,,,,,1,1
😝,🍊,因為已經過咗可以成個sem去exchange嘅機會😭你有冇去過summer呢3個？,😌,如果唔想成個sem去exchange嗰啲其實可以考慮嘅,🍝,成班垃圾冗員搞啲垃圾活動 到學生有嘢搵SAO求助就當你無到,2,9,,,有冇人join過summer exchange？,,
tran prog一問,💁,好既 thx 🙏,🐲,建議你同你AA（ academic advisor）或者你而家果科嘅 subject coordinator 或者programme leader傾下先。,💁,想問師兄師姐們知唔知tran prog既事？🙏🙏,1,3,,,,,
￼點解yellow￼冇得做組媽嘅￼￼,😘,Ict yuki？,🍷,Yuki 姐😂😂,🐳,Yuki 做到,1,11,,,,,
想搵吓game soc 副主席！,😶,個Gen sec都好似好型好靚仔呀😍😍😍 聽講好有錢😍😍 唔知可摸耳包養我😍😍😍,🐰,其實game soc 個文書睇落好撚可愛呀 好想抱他返屋企訓呀 如果我細佬好似他咁cute就好啦😍😍😍😍😍😍😍,🎈,唔好扮我啦 我有女朋友架，唔該,2,9,,,,,
🙏,🍸,女Hall C 全年 budget 想轉任何其他Hall😣🙏🙏,,,,,,,,,Hall C 全年轉其他hall,1,1
覺得最kam嘅莊 留名,🌳,想知佢哋點自high法😂求details,🍹,早知報去睇吓，btw你玩成點,🎃,入面玩咗啲咩咁悶呀？,1,23,,,,,
急🔥想知大家用填咩原因調hall,🙁,寫咩病😂,🌵,睇醫生囉....,Happyjaiyeah,可以點樣整到張醫生紙😭,1,4,,,,,
乜依家玻璃房唔比食嘢咩,😈,肺炎之後好似係,⛑,今日買lunch係玻璃房食+上堂，有個食蕉哥哥入黎每間房話唔比食嘢,,,,,2,2,,,
如果打完針出左事，教大係咪會負責賠錢?,🍌,同師奶搶免費樽仔,Foodpanda,檢測係咪教大俾錢?,🐲,多謝你資助,2,7,,,,,
申請調hall但唔批 可以點？🤮,🤖,返屋企啦！,🌻,唔好住,,,,,1,2,,,
LIT 2003 王良和,eolhc,？,🐷,冇上過王良和嘅堂即係冇讀過教大,😓,真！ 直情批鬥tim la,1,7,,,,,
上水小學私補,🍋,Pm!!,🌲,你好 我pm 吾到你 可以tg 我？rappoe,😽,上水彩園 小學三年級 跟功課星期一三四五 一星期揀三日2至6點180個半鐘家長好nice嘅 無壓力有興pm～,1,3,,,,,
男 hallb 3人調JC 可補錢,💀,推 可加錢 有意pm,💀,男住宿時間：whole year有宿舍：B有房間類型：3人求宿舍：JC求房間類型：任何類型有意請pm,,,,,2,3,,,
Hall部冷氣機好廢,😖,唔知點洗入面,😖,洗左隔塵網，同外面d塵,😯,你有冇洗過啊？,1,15,,,,,
👶,🐟,中四⋯⋯,🐢,中學生仲要sen開150/hr會唔會低手左啲呀😂小學生都唔係呢個價啦,👷,有無year 1想搵私補呀（如果其他year都ok）❤️個小朋友既家長想搵教大既同學仔！主要跟功課同溫習地點：馬鞍山雅景臺時間：一星期2-3日，每次1.5hrs人工：$150程度：小朋友有特殊學習需要，讀緊特殊中學中四- 平時都係跟下功課得閒就溫下英文數學- 考試就會補多啲同埋全部科都會溫- 一星期兩日，考試就會補多幾日（通常補1600-1730/1630-1800有興趣就pm我~,3,,,,私補推介🙆🏻‍♀️,,
Moodle晨早流流就死咗,😑,黐線，名乎其實新不如舊,⛑,越整越差,😣,啱！！！有人同我一樣諗法,2,6,,,,,
畢業之後⋯⋯,🐿,好灰⋯⋯,,,,,,,,,,1,1
☺️,🙉,FM 頭嗰幾日唔識就梗㗎啦😂😂,🐍,不嬲架啦,🐄,🤣🤣,1,6,,,啲人知唔知咩叫校巴規矩,,
🎈,😺,https://www.eduhk.hk/ocio/education-technology-tools#Auto-tracking%20Camera%20(Pilot%20Use),😺,📷,😺,📷,1,5,,,教大嘅課室有冇裝到CCTV?￼大家留意下！,,
今年最垃圾Ocamp,🍗,最子洋係咩玩法,🦁,Details,🙂,留名想知更多😹,4,55,,,,,
其實學生會有咩用？,😒,有冇例子，作為學生又真係想知呀！LM,🐜,警世 唔好交學生會費 唔好俾人當水魚咁劏,🎉,一個under學校做學生事務，另一個係學生幫返學生，當學校玩9學生嘅時候SAO唔會救你,1,8,,,,,
其實點解呢度可以有咁多SAO打手￼,🐺,點先可以咁，我啲post 有時都係咁,🍔,仲要唔知咩原因我俾人沉咗底大家知咩事啦,,,,,2,4,,,
教大推行國安教育作為必修課程！,🌾,GE 嗰堂基本法 Lecture 講,💀,算啦 教大咁多港豬 玩完架啦,🍉,絕對支持啦,1,17,,,,,
☠,🌼,成班爛仔咁....,🌞,唔洗係到講咁多野 有野投訴咪直接落su當面講,🌞,其實佢地幫大家做左好多野 你地唔上想咪唔好上,2,7,,,學生會支莊大伏黎，千其唔好上,,
fm想問交完學費之後系統幾時會顯示你已繳費?,annave,我係用網上銀行過數,🎃,應該冇 交完佢有張收據,annave,咁su 會費交完都會send email confirm?,1,5,,,,,
求小常靚grade course,🌴,冇啦....,,,,,,,,,,3,1
FEX1161 係咪要自己搵mentor,🌲,想參考下🥶,🌲,大家又可唔可以分享下mentor俾啲咩你地做,🍆,我覺得如果你揾中學老師做你mentor都可以，起碼中學同小學嘅運作似d，不過最緊要其實係mentor肯放手俾d野你做(例如：幫手做教材，響d活動度幫手，出席老師會議)，咁先學到多d野,2,12,,,,,
換房,🍖,女住宿時間：whole year有宿舍：B有房間類型：3人求宿舍：hall B求房間類型：2人可加錢有意請pm,,,,,,,,,,1,1
JC屈蛇方法,🐚,去第五宿舍,🍣,喺度講完就冇架喇，學校啲人會睇😹,🐒,燒烤場嗰度有樓梯上落（冇保安 冇閘）,1,6,,,,,
有冇人報PGDE 2022,💂,我估係，你可以試下係其他考試個度列個成績出黎👍🏻,🍬,咁我BLT 80分係咪有著數？,💂,背基本法,1,7,,,,,
😫,😔,王良和周立葉倬瑋林善敏,👴,不過會加你印象分,👴,叫，有好多問題,60,92,,,中文咩tutor好,,
有冇人想要數碼遊戲初探，因為撞左時間我要drop,🙄,星期四堂,,,,,,,,,,1,1
雷雄德返嚟母校教書,🎉,上堂吹水當教書,😃,較大變咗老人院，專收啲退休冇人要嘅教授,🍈,咁樣係咪教大又然？😎🤟,1,3,,,,,
🌝,😭,Design for living Dr. Min Jeong SONG 教好唔好？,進擊的排球,Thank you😬,🐩,"Brian教既話好讀, 好多人A-",1,4,,,Design in living 好讀嗎,,
Fex 1161,👶,本身呢一科比較kick 邊個教都影響唔到呢一科係垃圾嘅事實,🌰,我覺得問邊個教得好，可能會容易d揾人答,,,,,5,20,,,
😩,🐤,可惜呢個sem用英文教,😛,早quit 早著,🍁,Dr.so jeng,1,7,,,Understanding digital games…,,
有冇人想出Pool,🍚,我都想識下女仔,🍿,男 PM？,🙁,Online下好難識女,19,,,,,,
想知GEF1009嚴至誠Yim Chi Shing有冇伏,💂,入邊乜嘢course嘅comment都冇🤣🤣🤣,👦,幾好,🌰,冇人用goop個reg course function😂,1,3,,,,,
一人一個EdU生活潛規則,🐐,我相信唔係淨止呢間u嘅潛規則係咁。。。,🐱,EDU 潛規則？現實中唔敢judge 上嚟匿名 鳩叫好撚解壓,🐉,ICT Yuki yip 就係一個真實嘅例子,3,11,,,,,
女fm尋找一個gym mate,🍚,女🙋🏻‍♀️🙋🏻‍♀️平時都有做下占😋,💁,感謝！,,,,,2,17,,,
急!! Year 3想問實習時間,😋,thank you🙏🏻🙏🏻,🍁,一至五就一定係full day,🐿,Depends on placement school arrangements,5,5,,,,,
⛑,😠,CUS 100187053想轉 87057薄酬🥺❤️,,,,,,,,,CUS1001調堂,1,1
Final Year要拉GPA 有咩科易靚grade🙏🏻,🕵,GE科?,,,,,,,,,,1,1
男識女，女識男，留下自介，每人只可pm一人,👾,要識下,🍂,Hi,🐫,複複姓 羅富國 名皇 字子洋 號國王 雅號臭老泥 洋名Yo Gor,8,18,,,,,
