参数1_文本,参数3_文本
"https://lihkg.com/thread/3432697/page/1
Post 1 精華:
#4 介紹
#220 Zoom Interview Day
#242 上堂前一日
#352 Day 1 洗腦日
#526 Day 2 洗腦日
#640 Day 3 洗腦日

https://lihkg.com/thread/3433034/page/1
Post 2 精華:
#406 Day4 洗腦日
#665 Day5 洗腦日 + Day6 創新生活面談

呢D課程由細聽到大，但到而家都聽到有好多人被昆上去，直到有日有個朋友同我講佢讀左個課程，話個課程好好改變左佢，令佢人生好正面積極，搵返人生目標，幫到佢好多，叫我都去上堂聽下，體驗下，我一聽到就知係洗腦課程，佢仲話幫我比埋錢，有咁嘅機會緊係唔放過啦，睇下入面點樣洗人腦，亦公開平時網上好難搵到嘅內容。

我上完個課程，奉勸大家收到朋友呢D“邀請”，千萬唔好去，因為如果你定力唔高，抗壓力唔高，頭腦唔清醒，分析力唔強，就好易比人洗到腦，因為入面黎黎去去都係疲勞轟炸，再利用群眾壓力同埋環境氛圍，催眠慢慢令你跌入佢既圈套，咩圈套？最終就係令你覺得課程非常好，想你比更多既錢去讀佢其他課程，同埋會用催眠方法去令你介紹更多朋友去讀佢D課程，令間公司不斷有收入，但最終收錢只有老闆。
中心有3個核心課程：
基本課程 - 察覺
高級課程 - 突破
領袖行動課程 - 蛻變



而基本課程價錢$4800，一星期上主要既5堂，
星期三至五 7pm-1200am，
星期六10am-1130pm，
星期日 10am-6:30pm。
+
星期一：創新生活面談（任揀時段2小時）",去左人生洗腦課程，記錄晒入面所有內容細節 (3)
跟住落黎件事係咪完左，呢個po係純討論,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
"爆哂佢地D搵食技倆 希望樓主冇手尾跟…

樓主一生平安",去左人生洗腦課程，記錄晒入面所有內容細節 (3)
"樓主記得定時定候報平安俾信得過嘅人
驚你出事",去左人生洗腦課程，記錄晒入面所有內容細節 (3)
報國安就搞掂啦,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
"係啦，比中過招既人/朋友講返出黎又好，講多啲入面既事出黎又好，總之比多啲人知道呢啲課程唔係學野，而係呢啲公司利用學生作為搵錢工具不特止，仲扭曲埋價值觀，影響一生。
希望我既冒險經歷多啲人睇到，唔好有人入去受害。",去左人生洗腦課程，記錄晒入面所有內容細節 (3)
果D洗腦公司有背景？,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
除左做搵錢工具 有冇學生做埋泄慾工具,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
好呀，多謝有份睇過我既冒險經歷既人，多謝你哋支持,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
好文 推,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
用腦諗下都知唔會冇,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
某d有黑社會,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
想知多啲高級+領袖黑幕,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
"我好窮好孤寒，又貪錢
會點說服我俾學費",去左人生洗腦課程，記錄晒入面所有內容細節 (3)
"追晒你嘅po，樓主Ho Ball！

BTW 聽你描述好似同啲教會都幾相似",去左人生洗腦課程，記錄晒入面所有內容細節 (3)
Mola mola D女比教主食哂,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
"冇背景會咁惡咩
起碼班狗當睇唔到先",去左人生洗腦課程，記錄晒入面所有內容細節 (3)
"吸引力法則
比出去嘅錢先係你嘅
冇投資就沒有收穫
知識係搶唔走嘅財富
心態決定境界
之類啦
我有時都會咁樣餵雞湯畀自己同啲朋友
間唔時飲下都補身嘅
飲太多就熱氣唔好",去左人生洗腦課程，記錄晒入面所有內容細節 (3)
"Ig private左
好彩 private前 follow左",去左人生洗腦課程，記錄晒入面所有內容細節 (3)
https://www.hk01.com/藝文/874320/以神之名-紀錄片-如何解釋信徒盲信行為-避免成為下個受害者,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
好撚精彩,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
講起耶教，我以前返過一段長時間教會去了解入面既運作同做記錄，因為我覺得耶教存在好大利益競爭，例如十一奉獻，最後發覺最終都係為錢。我次次返教會，我都話唔信教，最後出動到牧師單獨同我入房傾，半傾半迫要我信，呢間係正統教會，但所有記錄我唔可以公開，公開我應該比人殺,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
有小朋友既家長真係要從細開始教導d小朋友要遠離呢d濕鳩人生導師，唔好立亂跟朋友上去聽埋d洗腦講座。,去左人生洗腦課程，記錄晒入面所有內容細節 (3)
有小朋友既家長真係要從細開始教導d小朋友要遠離呢d濕鳩人生導師，唔好立亂跟朋友上去聽埋d洗腦講座。,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"引子

每年都有好多本關於愛情嘅書出版，唯獨呢一本書被翻譯成34個國家嘅語言。呢本就係佛洛姆嘅作品，《愛的藝術》。佛洛姆有兩個身份，佢係一個反對佛洛伊德嘅精神分析學者、亦係一個社會心理學家，佢對於個體心理同社會文化嘅扣連，有獨到嘅理解；寫過《逃避自由》、《自我的追尋》、《馬克思關於人的概念》……又佛洛伊德、又馬克思，你就可以知道佢嘅視野非常廣大。

如果你一心想從《愛的藝術》了解點樣可以識男仔、女仔，又或者點樣可以用花言巧語呃到伴侶，咁就誤會大了。因為《愛的藝術》唔係專講男女之愛，仲有講朋友愛、親人愛、上帝愛......喺最初出版嘅時候，《愛的藝術》仲有個副標題，寫住「an enquiry into the nature of love」，大概係「探討愛的本質」嘅意思。書嘅正文只有百幾頁，想用百幾頁解決千百年以嚟咁多方面嘅核心問題，老實講，我一開始係唔覺得佛洛姆可以成功。

睇睇下，我會話《愛的藝術》看似通俗，但唔係愛情雞湯，而係一碗顏色似可樂嘅中藥，個老細聲稱唔苦，飲落都唔苦，嗒(daap1)真啲就有一翻滋味。只要你去細睇呢本書，你就會明白我點解要講完神話先講呢本書。佛洛姆喺理論部分，會嘗試檢視唔同社會（原始部落、資本主義）點樣影響人對愛嘅理解、人類嘅根源孤獨，導致人必需要愛……但今次我哋未講到，只能夠先去思考點解愛係一門藝術。然後你會發現，呢本書唔係要教人做愛情浪子，而係解釋點解咁多人會成為愛情浪子，以及教人做一個人，一個用一生去愛嘅匠人。

據佛洛姆嘅助手所講，《愛的藝術》係為咗學術界同埋受過高等教育嘅人而寫。書中內容對應住當時嘅美國社會，順便測試大家對美國社會有幾了解。內容包括：

佛洛姆認為美國社會對愛有三大錯誤預設
從呢三個預設，《愛的藝術》呢個書名就注定會構成好多誤會，牛某：「咁譯成「行仁技藝」係合到個意思……退而求其次，可以承襲古人所用嘅語句……咁樣就會譯成「愛愛技藝」……再退到牆角，或者可以譯成「去愛技藝」。」點解我咁講呢？

佛洛姆點理解藝術同愛？

依家，我哋一齊進入到《愛的藝術》，從一個大量談及愛嘅時代，思考愛、重新理解愛。喺開始之前，我想問你一個問題：

愛係一個名詞、一個對象，定係愛係一個動詞、一個過程？

你嘅答案，會顯示你係唔係佛洛姆想去提醒、嗰個錯愛嘅人。",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"牛哥講經志於編寫廣東話文章以及用廣東話去為香港人講講書本，內容主要有關歷史、政治、哲學。希望每講一本書，唔只做到簡介／推介人去睇呢本書，我更想以我嘅理解去講講呢本書有趣嘅地方、值得反思嘅地方，希望真真正正同大家去了解一本書。用思考，去陪伴你過一小段時間。

近排仲增設youtube，用心製作，有興趣可以睇睇。

牛哥講經Youtube
今集無youtube

牛哥講經Wordpress ￼
（排咗版同加咗啲相，我會不定時修改內容，請以Wordpress版為準）
https://cowgortalk.wordpress.com
依家會將完整文稿放到patreon，大家都可以自由觀看

牛哥講經Podcast ￼
（內容已經製作成Podcast，有興趣可以聽聽）
Apple Podcast: https://podcasts.apple.com/hk/podcast/%E7%89%9B%E5%93%A5%E8%AC%9B%E7%B6%93/id1572447901
Spotify: https://open.spotify.com/show/0yFR7YKUcAhkoEM6HWlJPA?si=A-rx6vM9R1qK0UQNJqC--g
KKBOX: https://podcast.kkbox.com/channel/HXptHA4hSuBHVkYNQU
Google Podcast:
https://podcasts.google.com/feed/aHR0cHM6Ly9hbmNob3IuZm0vcy81ZDZkYTIxMC9wb2RjYXN0L3Jzcw
牛哥講經IG ￼
（歡迎畀comment / 參加投票講邊本書）
@cowgortalk: https://www.instagram.com/cowgortalk
平台連結可以去：https://linktr.ee/cowgortalk",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
The art of loving 真係一本個個人都應該要睇既書嚟,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"愛，一門藝術？
佛洛姆喺正文嘅最開頭就提出以下嘅疑問：
「愛是一門藝術嗎？如果是，它就要求知識和努力。還是說，愛是一種愉悅的感受，一種偶然發生的經驗，是人在運氣好的時候會「墜入」其中的東西？」

兩個選項嘅差異都幾大。
如果愛係藝術，咁愛就係一個動詞、一個過程，因而需要人學習同練習嘅能力；
如果愛係愉悅嘅感受，咁愛就係一個名詞、一個對象，係偶然、使人愉悅嘅感受，唔需要學習，人係生而知愛。

弗洛姆好清楚知道大部分人（大眾）將愛視為名詞。咁樣唔表示大眾覺得愛唔重要，反而，係因為大眾對愛充滿住渴望，企圖將愛當成一個對象，以此接觸愛情。所以，人會觀看無數講述愛情嘅甜蜜同痛苦嘅電影，去感受愛情嘅甜酸苦辣；聽住數以百計無用嘅愛情歌曲，唔係出軌就係被車撞到、唔係愛情變親情就係做兵單戀、唔係單純嘅甜密到盲眼就係苦戀到無淚……唔係佢出咗軌就係我想出軌，以此得到情感抒發。

點解會出軌？因為伴侶唔好。
點解我會開心？因為伴侶對我好好。
點解我會傷心？因為暗戀對象唔鍾意自己。
點解愛情變親情？因為時間耐咗就係咁。


歌仔都有得唱：
https://youtu.be/94ySNwJhmI4
https://youtu.be/koiB1SHg1i4",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
寫到咁老少咸宜 真係唔簡單,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
Hi牛哥,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
牛哥,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
你好,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
今日子,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"幾乎都係暗示住愛情要著眼於對象同埋愛情嘅喜怒哀樂係命運女神時刻玩弄人間，人處於愛情當中，就成為愛情大海當中嘅浮萍，無處安定。愛情展現住人係被拋擲到呢個地上，充滿住無常、無力。呢種愛情現象（視愛為偶然嘅名詞）會盛行，其實係有三個前提。

被愛
第一個前提係：
人認為愛嘅關鍵在於點樣被愛，而唔係點樣去愛。

喺愛情當中，人會不停去諗自己點樣去被愛、點樣變得可愛。通常都有幾種途徑。
有人會建立社會地位、追求金錢或權勢嘅成功（通常係男人會咁做）；
有人會透過打點身材同衣著去令到自己變得更有吸引力（通常係女人會咁做）；
有人會培養風度、幽默、樂於助人、敦厚（男女通用）。
其實，令自己變得可愛，同追求成功嘅方法係相差無幾，就係要獲得朋友嘅青睞同埋影響別人。「實際上，在我們的文化中，大多數人心目中的可愛，無非是指成為一個既為大眾喜愛又有性吸引力的人。」（頁46）


吸引力取決於嗰一個時代所推祟嘅生理條件同精神氣質，所以唔同時代嘅吸引力都有唔同準則。

喺1920年代，美國推崇會食煙飲酒，好似脫韁野馬嘅性感女性，之後又推崇溫文爾雅；
20世紀初期嘅男性要具有侵略性，之後又推崇男性要善於社交同厚道。

換言之，時代潮流對「可愛」嘅理解會不停變改，看似客觀，但其實係由主觀堆砌而成。潮流嘅可怕之處，就係會去侵略每一個身處其中嘅個體。",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"多謝樓主分享 個podcast幾好聽 啲內容都整理得幾好好難得有廣東話嘅讀書podcast
但建議唱少啲歌",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"收皮喇
得呢條片有唱咋嘛
洗唔撚洗你條魚毛出黎建議呀",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"感謝支持
我之後唱返少咗",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"巴打 雖然我好感謝你維護我
但唔需要語氣咁激動
同埋我自己聽返嘅時候都覺得唱多咗 所以之後兩集都唱返少啲 取個平衡

btw 聽嘅同畀意見嘅人對牛某都好重要 並非魚毛",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"多謝樓主推介
睇完你篇文之後有興趣
收工去書局睇下有冇得買",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
感謝樓主理解我都係俾下意見 想個Channel進步 冇任何批評意思loll,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
牛哥搞到我成日買買埋埋好多書,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
大書局應該都易搵到,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"就算係批評都唔緊要！
有批評先有進步",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
買咗邊幾本,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"於是，有人為咗被愛，放棄自己嘅獨特，將自己變得平庸。因為「可愛」係大眾所給予嘅標準，要成為可愛嘅人就係要將自我融入大眾嘅要求、犧牲真實嘅自己。明明懶散，裝作勤奮、明明直接，裝作婉轉。所謂嘅嘅潮流，就係大眾趨向同一，將自己扮成一個平庸嘅大眾，飾演相似嘅談吐，化起相似嘅妝容。……看似主動作出好多行為，但呢個主動只係為咗喺愛情遊戲當中成為被動角色，等待他人喺眾多面具當中，揀選自己。若然經常被人喜愛，就係自己值得被愛，變得自豪。自己知道他人揀選自己，係因為自己嘅面具，會嘗試堅持戴上用心裝扮嘅面具，但係面具可以戴幾個月、幾年，戴唔到一生。最終除低面具嘅一刻，雙方就以磨合唔到作為理由分開。

有人放棄被愛，或者係因為感到勞累、或者自覺天生條件唔好……無力追趕大眾嘅要求，認為無人喜愛，就係自己唔值得被愛，因而變得自卑。喺《粉雄救兵》當中，水原希子就提到日本有女性會選擇「捨棄女性」，即係放棄成為一個女性，覺得自己幾認真裝扮都無用，放棄去愛嘅可能。

愛情變成一場講求運氣、弱肉強食嘅選美大會。為咗勝出比賽，有人用盡全力變得可愛，有人放棄競爭，有無令你諗起我哋喺s1ep4、5、7所提到嘅《成功的反思》嘅才知者同非才知者之爭？如果有嘅話，你就好捉到佛洛姆嘅用神。

愛情遊戲當中，自己除咗係愛情遊戲嘅參賽者，自己亦係評審之一。",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
戈登,點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"對象
所以第二個前提係：
人都假定愛嘅問題，係對象嘅問題，而唔係能力嘅問題。

依家嘅人習慣認定去愛係易事，而尋找自己所愛嘅對象／被自己所愛嘅人所愛係一件難事。咁係因為人著重喺「愛情的對象」嘅選擇當中。只要選擇到一個好嘅對象，咁愛就自然會生成。

有趣嘅係，本來喺維多利亞時期，愛只係個人經驗，但多數唔會走上婚姻，就好似羅密歐愛茱麗葉係唔可能一齊。婚姻就係兩方家族考量之後嘅結果，多數要求門當戶對，而只要結完婚，男女雙方就會自然建立出愛情。所以，以前嘅婚姻唔係因為愛而結婚，而係要因為結婚而愛。換言之，「愛情的對象」係唔多重要，人係相信同邊個都可以愛，同異性嘅朝夕相處，就會有愛情嘅萌芽。

到開始自由戀愛嘅風氣吹響，大部人就追求浪漫嘅愛，要有為對方心動嘅個人經歷先會考慮婚姻。咁就會去放大選擇「愛情的對象」嘅重要性。所以，浪漫嘅愛雖然依家聽落平常，但其實對於人類社會嚟講，係一個幼稚（處於初步發展嘅）概念。",點解咁多現代人會迷失喺愛情遊戲、出軌成為常態？你會做愛情浪子，定係一生去愛嘅匠人？丨《愛的藝術》
"對象
所以第二個前提係：
人都假定愛嘅問題，係對象嘅問題，而唔係能力嘅問題。

依家嘅人習慣認定去愛係易事，而尋找自己所愛嘅對象／被自己所愛嘅人所愛係一件難事。咁係因為人著重喺「愛情的對象」嘅選擇當中。只要選擇到一個好嘅對象，咁愛就自然會生成。

有趣嘅係，本來喺維多利亞時期，愛只係個人經驗，但多數唔會走上婚姻，就好似羅密歐愛茱麗葉係唔可能一齊。婚姻就係兩方家族考量之後嘅結果，多數要求門當戶對，而只要結完婚，男女雙方就會自然建立出愛情。所以，以前嘅婚姻唔係因為愛而結婚，而係要因為結婚而愛。換言之，「愛情的對象」係唔多重要，人係相信同邊個都可以愛，同異性嘅朝夕相處，就會有愛情嘅萌芽。

到開始自由戀愛嘅風氣吹響，大部人就追求浪漫嘅愛，要有為對方心動嘅個人經歷先會考慮婚姻。咁就會去放大選擇「愛情的對象」嘅重要性。所以，浪漫嘅愛雖然依家聽落平常，但其實對於人類社會嚟講，係一個幼稚（處於初步發展嘅）概念。",呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
,呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
下世‧食好D,呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
佢係咁飛 應該唔係天牛,呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
某一款的 白條金龜,呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
"Flower Scarab 海麗花金龜
https://hknature.weebly.com/beetles.html",呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
"花紋match 勁
補埋個學名Euselates schoenfeldti",呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
Thx 好勁,呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
巴打救我 呢隻咩嚟,呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
咩特徵都冇 仲要咁細粒 google表示冇能為力,呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
"無計 好細隻 盡力zoom了已經
同時有好多隻 識飛 細過蚊",呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
蚤蠅 搞搞下水道/去水渠啦,呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
"應該點搞？

同埋佢地好鐘意痴係玻璃門",呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
"出red fox, 食左佢",呢隻係咩蟲？ 黃黑直條紋，識飛，好似蜜蜂咁大隻 飛嗞嗞聲
"出red fox, 食左佢",［有片］呢隻係咩蟲？
"https://streamable.com/h1144r
喺屋企廁所發現",［有片］呢隻係咩蟲？
下世小心D,［有片］呢隻係咩蟲？
拖鞋伺候啦,［有片］呢隻係咩蟲？
月經post,［有片］呢隻係咩蟲？
"真係衣蛾
https://zh.m.wikipedia.org/zh-hk/%E8%A1%A3%E8%9B%BE",［有片］呢隻係咩蟲？
搭單問下,［有片］呢隻係咩蟲？
搭單問下,［冇圖］睇左好多年聖經 你問我答（8）
"真樓主已經潛左水7006個回覆

[冇圖] 睇左好多年聖經，你問我答
- 分享自 LIHKG 討論區
https://lih.kg/3169634

［冇圖］睇左好多年聖經 你問我答（2）
- 分享自 LIHKG 討論區
https://lih.kg/3176928

［冇圖］睇左好多年聖經 你問我答（3）
- 分享自 LIHKG 討論區
https://lih.kg/3194940

［冇圖］睇左好多年聖經 你問我答（4）
- 分享自 LIHKG 討論區
https://lih.kg/3302397

［冇圖］睇左好多年聖經 你問我答（5）
- 分享自 LIHKG 討論區
https://lih.kg/3338219

［冇圖］睇左好多年聖經 你問我答（6）
- 分享自 LIHKG 討論區
https://lih.kg/3349455

［冇圖］睇左好多年聖經 你問我答（7）
- 分享自 LIHKG 討論區
https://lih.kg/3360990


繼續回應post (7) #553 班農胖虎

你頁係信？你問我係咪真係信耶穌係復活既主？我真係信。可唔可以分享吓點解會信？

#598 ［一］由別人口中認識信仰，播下種子。
#768 ［二］由自己讀聖經認識神，發現神真實可信。

［三］由生命高低起跌經歷神，同神緊密連合。

（10）連一念之差，神都教導糾正返。

我自問心算OK，有一次係學校幫手加總分，悶悶地，走去諗下「其實我都加得算快丫」，再沾沾自喜左一下。過左陣，諗起好似聖經唔係咁教喎，#598［一］（2）咪講過囉：

馬太福音23:12
//凡自高的，必降為卑；自卑的，必升為高。//

果然，到老師再檢查有冇加錯，比佢搵到好多份都多左/少左10分，其中有一份離譜到差20分，果下真係𤓓到爆

雖然𤓓，但係有神係度，佢比我知道佢幾時都係我隔離，正如聖經講咁：

詩篇139:3
//我行路，我躺臥，你都細察；
你也深知我一切所行的。//

小結：原來神可以咁親近咁提點我。

（11）連走投無路，神都開到新既出路。

當年約好左去教會兄弟姊妹屋企過除夕，入夜之後諗住揸車出發，周圍得我一個，條街凍到結冰，正想開車門個鎖，就發現個鎖入面結埋冰，試極都係頂住放唔落條鎖匙，因為第一次遇到咁既情況，所以我就唔知點算。

於是，我就放膽向神祈禱，類似係咁講：「天父，你講過倚靠你既人必定唔會羞愧，而家我開唔到道車門，我冇野可以靠，就只有靠你，求你將你既榮耀顯出黎！」
我再試，竟然開到，唔係冇晒冰，但係啱啱夠位放到鎖匙轉到。因為祈禱前後差最多15秒，冇可能係自己溶，唯一合理既解釋就係神應允左，就好似我係聖經睇到咁。倚靠神唔羞愧，呢樣聖經講過好多次，我唔記得當時睇完邊次，類似係咁講：

詩篇22:5
//他們哀求你，就蒙解救；
他們倚靠你，就不羞愧。//

小結：原來神好靠得住。

（12）由玩鬥地主，認識神既威嚴。

有一次搵左教會既兄弟玩黎屋企玩鬥地主，玩到有少少夜，我竟然講左一句「奉耶穌基督既名宣告我做地主」，唔夠5秒，個兄弟就「唔小心」倒瀉水落部MacBook 度，之後我地唔識野亂㩒，成8000幾蚊買返黎就咁壞左。

我後來諗返轉頭，其實咁既「唔小心」動作，我唔係第一次遇到，之前第一次就係以前屋企試過，當時我同爸爸各自坐係廳，然後我「唔小心」撞到佢張櫈，咁佢轉一轉過黎，然後「咁啱」電視就播人開始唱一首歌，歌名就係爸爸。我感覺好奇怪，好似我係知道首歌特登叫佢聽咁，但係我又唔係喎，解釋返又唔係，好奇怪，結果我地都冇出聲就咁聽歌。講真，邊有咁啱得咁橋？果時仲係唔係好認識神，但係我就覺得實有一股力量令到我「唔小心」撞埋去。

兩件事一齊睇，再加埋諗返起聖經入面十誡第三誡講到明：

出埃及記20:7
//「不可妄稱耶和華－你上帝的名，因為妄稱耶和華名的，耶和華必不以他為無罪。//

於是我就明左，我實在係妄稱左耶穌既名，所以佢冇當我做冇罪，用左一個「唔小心」黎話我知。

小結：原來係神面前真係唔可以亂黎。

仲有幾件事原本想講，
（13）父母去外地開銀行戶口好唔順利就黎放棄，一祈禱就搞掂晒兼職員斟茶遞水，話比我全家知佢係度。
（14）人生最唔開心覺得絕望，神用一首詩歌安慰左我，話我知佢係度。
（15）神用我個女既說話，話我知佢係度。
（16）……（仲有其他不過依一刻未諗到）
不過再講落去都係一樣，講都係想比你知神係幾咁真實，反正對我黎講已經真到冇得再真。再者，神成日都做新既野，唔會有講得完既一日。

見證神真實既人，唔單止我一個，周圍都係。

希伯來書12:1-2
//所以，既然我們有這許多見證人如同雲彩圍繞着我們，就該卸下各樣重擔和緊緊纏累的罪，以堅忍的心奔那擺在我們前頭的路程，
仰望我們信心的創始成終者耶穌，他因那擺在前面的喜樂，輕看羞辱，忍受了十字架的苦難，如今已坐在上帝寶座的右邊。//

作為完結，我鼓勵你去信，因為可以因耶穌既名得生命。

約翰福音20:31
//但記載這些事是要使你們信耶穌是基督，是上帝的兒子，並且使你們信他，好因着他的名得生命。//",［冇圖］睇左好多年聖經 你問我答（8）
點樣令到呀媽信耶蘇，有乜嘢章節啱用？,［冇圖］睇左好多年聖經 你問我答（8）
"鬥地主唔算賭博咩？
我識啲基督徒話連鋤dee都唔玩得",［冇圖］睇左好多年聖經 你問我答（8）
有無人可以同行,［冇圖］睇左好多年聖經 你問我答（8）
"我爸爸媽媽都未信，最緊要係祈禱。神既時間同工作好奇妙。

最中心我諗係講神既愛，例如

約翰福音3:16-17
//「上帝愛世人，甚至將他獨一的兒子賜給他們，叫一切信他的人不致滅亡，反得永生。
因為上帝差他的兒子到世上來，不是要定世人的罪，而是要使世人因他得救。//

羅馬書5:8
//惟有基督在我們還作罪人的時候為我們死，上帝的愛就在此向我們顯明了。//

當然仲有罪既經文。

羅馬書3:10
//就如經上所記：沒有義人，連一個也沒有。//

傳道書7:20
//時常行善而不犯罪的義人，世上實在沒有。//

以賽亞書64:6
//我們都像不潔淨的人；所有的義都像污穢的衣服。我們都像葉子漸漸枯乾；我們的罪孽好像風把我們吹去。//

其他就真係視乎情況，例如佢覺得有冇神，神係點，有冇其他信仰，講咩話題聽得入耳，等等。

神係創造主。

創世記1:1
//起初，上帝創造天地。//

華人尤其上一代重視家庭關係又可以講下。

以弗所書6:1-2
//作兒女的，你們要在主裏聽從父母，這是理所當然的。
當孝敬父母，使你得福，在世長壽。這是第一條帶應許的誡命。//

我一路打一路諗，福又可以講下。

馬太福音5:3-10
//「心靈貧窮的人有福了！
因為天國是他們的。

哀慟的人有福了！
因為他們必得安慰。

謙和的人有福了！
因為他們必承受土地。

飢渴慕義的人有福了！
因為他們必得飽足。

憐憫人的人有福了！
因為他們必蒙憐憫。

清心的人有福了！
因為他們必得見上帝。

締造和平的人有福了！
因為他們必稱為上帝的兒子。

為義受迫害的人有福了！
因為天國是他們的。 //

人生道理又可以講下，例如箴言同傳道書。

睇下你有幾熟聖經，覺得唔熟既話不妨睇多D。

你自己份人係點，佢又睇在眼內。",［冇圖］睇左好多年聖經 你問我答（8）
