参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Award Presentation Ceremony,🍨,出咗啦話要business attire,😮,😅😅點解要無端端衝出嚟柒?,👮,email就寫唔好短褲 唔好踢拖,3,59,,,,,
學生會離收皮又近一步?,👾,Hello Hong Kong,🎅,立法會首讀及二讀嶺南大學修訂條例草案　將廢除學生會定義https://news.now.com/home/local/player?newsId=511574&utm_source=nowNewsAppShare&utm_medium=referral,,,,,1,2,,,
嚴選Hall E三大男神,😲,可惜佢基,XOX,豪教,🌷,小圈子🖕,1,5,,,,,
學校考完ielts係咪咩都唔洗submit,🐈,係,,,,,,,,,,1,1
有冇人申請過Testimonial,🍧,係,🐏,過左七日係咪無人通知 自己直接去攞就okay,💁,可以授權 授權人要帶埋你ID copy好似仲有張form要你填埋咁,1,16,,,,,
有冇人可以講下CLC9017 個present 要講d咩？☹,😆,下堂見,😩,又話唔做,🐒,佢陣間又話要教書就無時間比你pre完全班 🫡,2,17,,,,,
用掃把掃下地係咪真係咁難？,🎉,不如講低邊棟hall🙏想過嚟睇live,🍼,好 睇你表演🙏😅,🐲,再嘈屙屎喺你門口,2,17,,,,,
☠,😱,入紙姐係點架💀😭,🍚,Intro to econ每年暑假都有 冇事,😗,一係你入紙囉,1,5,,,原本想暑sem reg個intro to econ同gov,,
🌝,😽,好似有,😎,唔係hallD有冇得join?,😎,真係陳伯,3,9,,,HallD個嘉賓究竟係邊個,,
Lue4002 ass2,😟,Ok thanks,🗿,Prof 抽兩至三題畀你,😟,喺咪要全組揀幾個discussion topics嚟傾？,1,3,,,,,
Chen Zhiyao 教成點,🎅,讀緊FIN 2200或者BUS 2201入黎討論下,,,,,,,,,,1,
oxford summer p ro g rara m me,🌝,Title搞笑Xd,🐉,有冇人postgrad同學報左Oxford summer programme？,,,,,1,2,,,
住hall嘅人可摸耳有啲質素🙄,🌲,SLS,🌲,來大學讀偷嘢,🌲,冇L得救,2,7,,,,,
新宿mj -1,🤗,新宿mj -1,,,,,,,,,,1,1
WJY 6樓d人麻煩用完common個￼鋅盤￼執垃圾,🤒,Suppose係要執既～衛生黎 冇理由要幫人執食物殘渣架,🤒,以前見過人地直接倒食完杯麵d湯 完全唔理d料🤮,👳,見過啲杯麵料塞住個去水位😂,1,7,,,,,
成個campus又死Wi-Fi,🐠,解放军杀到喇,🤖,我嶺wifi世一,🍛,Push,3,6,,,,,
想問暑sem點睇嗰科係喺session 1定2,🐤,官網咪有,🐳,應該,🐳,session 1係一星期2日,1,4,,,,,
LSIP 間 Shinewing intern要人出差？🫢,🀄,Shinewing 本身就中資lol上中國唔奇,🍢,有offer？,🐎,audit what u expect,1,8,,,,,
SEW ILP仲差1.5點算,🐟,等 mass email,🍵,又唔見佢有新talk可以reg...淨係得之前嗰啲嗰啲又full曬無得reg,,,,,1,2,,,
￼聽日有fire drill,Bigbrother,響撚完未,👾,火鑽頭 殺傷力極強,🐿,都話會有伸手黨 google translate一隻字都懶,3,10,,,,,
實體ilptalk喺咪通常有得walk in?,😦,Push,,,,,,,,,,1,1
有冇人試過學校嘅康齒洗牙,🌮,我打去話排洗牙 佢地話冇位話下個月得唔得 跟住冇左消息☺️尖沙嘴旺角兩件都係 寧願出去洗,🙏,依家間間都排到7 觀塘仲要8,🍆,等勁耐，我去到六月,1,8,,,,,
有冇人收到阮德虹financial assistance?,🌝,唔該兩個Ching因為見上網好似無咩資訊 t所以少少好奇,🐍,好似係冇得自己報嘅,🤑,Nope,1,7,,,,,
🌱,🍤,橙,🍋,見周圍都無價 炒價都照食🫠,🍤,xddd我急買都買左380！,1,7,,,放nct手燈,,
想問Peer mentor interview會問咩？,🐗,True,🐗,任何活動都係㗎啦 都會要你用一個鐘 因為係用來做buffer time 有時有啲嘢好難講 突然間，如果D candidates or interviewers 好多嘢講就可能真係要一個鐘,🌰,😂我個mentor都冇揾過我,1,8,,,,,
係咪以後都冇富泰宵？￼￼🥲,🦄,政府根本冇發小販牌，點樣攞牌🥲,🍀,是,🍀,都真,4,38,,,,,
有人print完嘢漏咗八達通喺新24,🎅,Find it laThanks,🎅,I still in SEK ah,🎅,可以聯絡我嗎？,1,11,,,,,
Hall C一男想調Hall B🙏🏻,🤑,私調或者Send Email比Osa！！！,🐺,仲有得調咩？,🤑,重push一下,1,4,,,,,
請問LUE3003 sc2 幾時？,🍌,今個月尾,,,,,,,,,,1,1
🀄,☺️,Thx!,🌜,買緊,🌜,有,2,4,,,今晚有冇富泰宵？,,
🦄,🐚,congregation就統一喺11月同一日的，但sem2畢業嘅最早可以8月31攞畢業證書、summer畢業嘅就要11月15先有得攞,🍅,Oh 明白～咁假設如果yr 4 summer 先補返啲credit就唔係正常時間畢業？,🐚,sem1完、sem2完同summer sem完都會計一次畢唔畢到業的，你今個sem未夠佢下個sem會繼續計多次,1,10,,,Credits 一問,,
Peermentor interview使唔使著formal,🙂,Thanksssss🙏🏻🙏🏻🙏🏻,🙌,*句,🙌,循例傾2個 多數都pass,1,6,,,,,
☠,🐆,同佢地講嘛 同我講做咩,🗿,男聲女聲都有 成堆人嘈咗勁耐 5點幾可唔可以俾人訓覺…,,,,,1,2,JY 11樓成班人凌晨5點幾嘈到…,,
有冇遇過咸濕Professor？,🌿,教BBA的利申: 正人君子,⛄️,會5會妒忌靚仔😂,🐻,佢對女仔好偏心 特別係靚女,2,9,,,,,
想問下exchange,😼,上緊堂冇聽到 佢會問咩架,🍑,今日OGE冇打畀你咩,😼,請問下申請Exchange嗰3個Sections 有 2個 Pending咗10日，洗唔洗提吓Prof 定係Pending咁耐係正常？！😢😢,3,28,,,,,
想知SOC 4329係唔係唔點名,🐨,係,😤,如題thanks！,,,,,1,2,,,
7Mar執到我八達通嘅人入。,🐗,後續點啊,🌮,唔該,🐝,"唔見張卡之前連過八達通app, 注意個紀錄係一日更新一次，唔係即時",4,42,,,,,
8014 unit quiz難唔難？,😀,Pm,👱,pm a range,😨,How much??,1,23,,,,,
對面房成日搞到個廁所好撚核突有冇得投訴🫠,🦄,正,🐬,唔係比慘，不過痾得準係馬桶度都真係算係咁,😿,🤮🤮🤮🤮🤮🤢,3,13,,,,,
🌝,🐒,8013 grade A sample of the independent research reportPmOrTg:Appledgllrpqc,🐆,Good,鈎污龜,唔緊要，you are so nice,2,50,,,8013 research report’s grade,,
Hall F小賣部其實有冇開過,👧,都冇莊,🐨,搭單問 JY store係咪都唔開,🌽,之前有通知 話暫停營業 唔知幾時開返,1,4,,,,,
HallF 5樓邊撚個晚晚食螺絲粉？！好撚臭,🍦,食開屎,🍦,晚晚都聞到勁臭,,,,,1,3,,,
chatGPT 做essay,🦀,No,👨,唔會,😀,turnitin會唔會detect到（會改D字唔係成篇照交^^）,1,3,,,,,
BUS 2107 midterm點考法,🤓,清咗concept就得,🐵,想問係咪考long question 同埋可以點準備🙇🏻‍♀️🙇🏻‍♀️,,,,,2,2,,,
有無人做過城市的悲憫求救 LCC2010?🥲,☺️,網上都有source,👹,啱呀,🦄,睇你點延伸,1,27,,,,,
有冇人會踩單車返學？,👧,學校咪有位泊,孔子F仲尼,其他問題可以dm,孔子F仲尼,"我踩住架2萬幾嘅mountain平時放AM出面，冇鎖成個星期都ok,不過好容易整花。建議貼frame protection",1,14,,,,,
請問2nd recruitment幾時有結果？,🐗,四月中,,,,,,,,,,1,1
日本exchange,🐩,sem2 関西外大,,,,,,,,,,1,12
請問BUS1104派咗mid term 未？,🙉,Thanks🙏🏻,,,,,,,,,,1,1
想問下富泰酸辣粉有無開～,😟,btw 依家多咗阿叔s 之後好似基本上都有開,😟,其實冇留言嘅話 有時真係唔知條問題係邊一日問,🎃,有,2,3,,,,,
LUE4001 Ng Hoi Ling係咪kill,👹,Michael 🚮🚮🚮,🐽,成個 lue 4001 最好嗰個就係 Michael Lichtenstein😍,🍹,知佢有睇Goop 想講你解釋啲asm講得好清楚好好啊 希望唔好咁緊手感謝🙏🏻,1,11,,,,,
呢個sem ILP有冇人有收到credit,😓,等佢加個分都有排等 又煩,😓,依家啲ILP加咗reflection report嗰d之後,😓,我問做就話通常一個月處理,1,5,,,,,
BUS1102代做,🀄,Can do (a grade),🍁,"pm,can do",😭,Pm can do,1,4,,,,,
CLD9012 有償,🐳,pm?can help u,🍈,Pm?,,,,,1,2,,,
未fulfill畢業要求洗唔洗做啲咩申請defer?,🐙,比起其他學校算係咁 都係用返ugc 學費除返,🐙,都係defer 以前要每unit俾錢睇片寫感想 而家唔知,🐀,如果ilp 唔夠會點？🥲,2,14,,,,,
想知credit上限係幾多？,🐲,好似唔同department係唔同,🐠,123,🍧,有冇人知？,1,3,,,,,
scholarship,🐂,有自己apply 有nom 有唔洗in就有的,💃,啲scholarship係自己apply定點😶‍🌫️,🤑,每個scholarship 都唔同requirements,2,17,,,,,
入唔到moodle？,🦃,Portal入,👸,試下用無痕,🎈,今日有嘢要交突然間入唔到？？,1,4,,,,,
想知JAP 1大概去到咩程度,👴,咁大概知道啦thanks,😟,係呀我都覺,🍠,應該係n3?我n2讀覺得幾輕鬆,2,11,,,,,
campus好多女唔敢除罩 笑,🌹,好心你班仔戴返個口罩啦 搞到我上堂都冇心機啊🤮,ppnarak,喂 潛左水窩,,,,,2,34,,,
有冇人試過exchange搵intern?,🍞,大公司正路會有online interview,🐃,有回音話我知😂,😝,大灣區intern歡迎你,1,9,,,,,
exchange credit一問🙏🏻,🍉,Cluster 好似好啲 啱field都ok,🐣,21fe一定夠啦輕鬆,🐚,我應該tran唔落majordum曬去FE算,2,11,,,,,
有冇poker 友？平時得閒可以一齊打♠️,🐃,咩hall？,👹,Friendly 場 PM 我 有興join 嘅話,👹,通常夜晚打居多 當識個朋友吹下水,1,12,,,,,
WJY11樓班女人咪成日嘈嘈閉得唔得,😞,真係可以一日至少兩轉 每轉都講緊至少一個鐘咁濟 到底係有幾多野講？？,😠,啲人可能覺得自己成世止步於此入咗嶺南唔讀書唔努力乜都唔做日日玩social 聯誼,😠,正,3,29,,,,,
病咗可唔可以乖乖哋戴口罩？,🙉,啱呀唔該真係拜託圖書館室內地方耐唔耐咳一聲 嚇死人大家好忙唔好整病人唔該,😋,問題係我嗰堂嗰幾個都係local嚟，連啲NDS都頂唔順,🌵,佢地內地唔洗點戴 唔習慣就成日戴得好差 又成日除 除左打乞嗤又唔冚口,2,10,,,,,
各hall inaug,🍜,聽人講係因為佢請歷屆好多老鬼去,😼,聽講好似係最多人去嘅inaug,,,,,13,,,,
想問下暑sem想住hall大概幾時可以申請？,😴,thx🙏🏻🙏🏻,🍙,上年4月出email,👺,遲啲自然有email,1,4,,,,,
George 比分幾好,🍜,唔係踩佢 但老實講佢真係教唔到嘢,🍜,弊在佢本人唔識教,🦀,啲PowerPoint全部都係有度過,1,4,,,,,
有無去過立教大學exchange嘅同學？,😳,一係12cred 8科 一係15cred 10科😅,😻,關於reg 科一事dm thx🙏🏻,,,,,2,2,,,
CCC8013 research project form,😋,Pm,🐯,想問吓呢一個form係點樣填？前嗰幾堂因為屋企有事所以無返🥲🥲而家完全唔知講緊啲咩🥹🙏🏻,,,,,1,2,,,
Chatgpt plus $64,🌚,ChatGPT 升級Plus $64Wa.me/85261746719過百顧客 信心之選CHATGPT 成日都話用唔到 唔俾用🥺郁啲就要我等一個鐘🥺想要ChatGPT Plus既功能🔥USD20一個月 有冇人想一齊夾呀？🥺🤖可用性更高：即使在需求高峰時，ChatGPT Plus 也能保證可用性。🎭回應速度更快：ChatGPT Plus 回答問題的速度更快。🚀優先使用新功能：ChatGPT Plus 的用戶可以優先使用到新功能。,,,,,,,,,,1,1
8013MT,🌬,好难阿老铁,mmmry,难唔难,mmmry,大家嘅试卷系咪同一份？,1,7,,,,,
想問有冇人做過Ssc3319嘅SL?想問會做咩🙏,😊,JRP？唔清楚，但聽人講唔係喺JRP揀SL，workload大好多,😹,同問,,,,,2,2,,,
下年Term1 exchange instruction,🌛,呢啲睇對面間學校,🐆,應該係 等多陣就有㗎啦～我frd都係比我遲幾日,😯,?,1,9,,,,,
有無人報左PGDE,🐋,勁🙏🏻,🤓,2022 fresh grad 上年報pgde佢唔收今年反而比我讀🤣,🐋,請問你係今年yr4?,3,24,,,,,
Gov 2101,🍩,🙏🏻有冇人知？開始左寫但冇word limit 同guidelines 唔知點先approach 到高分 問tutor 佢又話唔知😵‍💫,🍩,想問下term paper 有冇咩structure 要跟咁寫 prof 係li lian jiang 🙏🏻,💁,Present 炒左都A-,1,10,,,,,
Bus 2108可唔可以唔上堂,🗿,養狗唔可以嫁獸醫？,🍄,冇人逼到你去上堂,🍄,Paul is also ok,1,8,,,,,
Lue4003 WC1,🤖,同問,🍄,ysss arr,thvgf,4003？,1,4,,,,,
其實ilp睇片係點運作?,🐱,同问,🐒,總分夠但係細項差0.5 差1咁又怕之後冇相關ilp 有冇得睇片,,,,,1,2,,,
阻大家少少時間  FYP問卷🥹🙏🏻,😍,Done！加油🤎,😫,thank you thank you🥹🫶🏻,Selye,做好了，加油🙌🏻👍🏻,1,6,,,,,
ccc8013 mid term點考？,53202,7/3 // 9/3,🌛,8013幾時mt,🍼,mc 睇返ppt就可以,1,4,,,,,
ELSS CEAL好廢,🌶,好似咩都唔識咁,🌶,上次去完全解答唔到問題，嗰條友着係咁自己上網搵,,,,,1,2,,,
SOC3336 3337 好唔好讀,😋,3337真hea,😋,好,🍞,soc 全部hea科,1,6,,,,,
今晚想打牌,🍲,where,👦,如題，可以小賭或者0。,,,,,1,2,,,
今日上ISM終於見到靚女😢,🐕,2！,😹,養吓眼都好呀，上堂都感覺輕鬆啲,🍩,見到但唔屬於你,3,14,,,,,
Bu Reju入History,🍖,16,🐍,18入到啦,☺️,https://www.ln.edu.hk/admissions/ug/f/page/39/2637/2022-admissionscores.pdf,1,5,,,,,
🌝,oooyy,有人上下午的介紹會嗎,👶,有,Viny,🙋,1,3,,,Summer exchange SNU 有冇人👋,,
🍼,🍖,title係 Introduction to musics of the world and sustainability,,,,,,,,,CLB9033 伏唔伏？,1,1
late penalty點比？,🐿,唔記得咗交冷氣費，個penalty係計落要交ge錢到定係另外計？,,,,,,,,,,1,1
Exchange 日本相認區！,🙏,大家好！,,,,,,,,,,1,1
Hall C 1/F 尖叫,👳,間房,👳,Seems NDS,👳,CLS,1,6,,,,,
3227Sterk&4001Angel,🍩,，,🍩,，,🍩,讀緊喇而已求下TipsReg左了Xd,1,9,,,,,
Hallf打牌-1,🍨,好啊 嚟囉 今晚邊個打牌鳩叫就即刻call wo 到時你同佢地當面對質 到時睇下邊個要住圖書館聽鳩毛聲囉,🌝,我屌你猩猩，你全家都係猩猩呀，屌你唔想聽到聲走去圖書館啦，又唔使俾宿費，靜撚到你鳩毛跌咗都聽到呀，咁不滿當面對質囉。,🍨,dllm 打你老母啊 晚晚嘈嘈嘈 叫叫叫 成個未撚教化過嘅大猩猩咁 咁撚鍾意叫落樓下叫晒畀北宿所有人聽啦,1,3,,,,,
year 1 禮貌問password test,🐷,唔該晒,🐠,4年,,,,,1,10,,,
法國exchange 相認,🍀,Push,🍀,PM!,🙋,有! Pm?,1,4,,,,,
Course code 後面得3個數字嘅科,😿,Life既人讀,😠,For master course?,🦂,唔得,1,4,,,,,
Iris,🙎,ig呢,😺,邊個？,🐗,有冇人覺得social Iris好靚,1,4,,,,,
TRA FYP project approval form,😡,份form唔係5月先交咩,🌻,其實都想問翻譯嗰本書應該係拉把借定買一本方便啲,😥,我想問吓係咪要交咗form之後先至好去搵個academic advisor去lock住個plan？定係可以直接自己填？🙏🏻🙏🏻,1,3,,,,,
🌝,👦,Ban得好!,🍸,傾兩句都俾人ban,🍙,陳澤群鳩痕又無聊咪落黎ban人hall囉,3,7,,,Halld呢排搞咩,,
hall d都幾撚戇鳩😵‍💫,🌼,Ban得好!,😢,好!做得好!,🎂,做得好,1,8,,,,,
求go Chinese 2010 ans,🐳,Pm,😈,Pm!,🐖,Pm plz,1,34,,,,,
BUS2211 OM Mid-term 係唔係f2f,🍗,yes,,,,,,,,,,1,2
聽日仲戴唔戴口罩上堂？,🍙,可以自由選擇都仲要問問問做慣狗唔識做返人,🌜,其實只係比返個選擇自由啫,💀,雖然法例已經冇要求，但我自己仲用緊安心出行,4,20,,,,,
Act3300 company law,🍇,PPT 同Notes 就okay係紙本就okay 我嗰陣無買書以上係Helen教嗰陣嘅安排Benjamin就唔知了 但應該唔大出入,🌯,其實要唔要買個本書？考試係淨係可以帶嗰本書？定係可以帶自己notes/ppt,🌯,Thanks,1,5,,,,,
psy,🍶,summer term選Introduction to Macroeconomics 可否transfer 掉Introduction to economics ？,,,,,,,,,,1,1
☺️,🍨,Where,,,,,,,,,dllm住hall又加價,1,1
學生會派condom隻牌子點,😴,同問,😐,hall e派過 覺得唔錯,🕴,小心畀人整穿過,1,7,,,,,
Ilp夠分但係RE差1分點算🥲,😯,re係咩?,🐅,defer 讀埋佢,😺,嚟緊都會有唔驚喎,1,5,,,,,
ILP可唔可以walk in ?,😕,好似有d係得ge,😋,可以呀，尋日先walk in完，實在唔放心嘅話可以email問吓,⛹,唔可以,1,3,,,,,
Exchange (UK),🍀,🥲,🍵,有無人Manchester,🐥,有冇人係exchange 緊,1,7,,,,,
Summer Exchange result圍爐 (加拿大),🐙,第一次去加拿大唔知有咩玩 應該好凍 同埋個programme萬幾都唔便 🤣,🍟,我都係Regina,,,,,1,18,,,
moodle又死咗,🐉,成個banner system都用唔到😓,,,,,,,,,,1,1
幾時會再有PTP 嘅workshop?,👲,係咪叫online crisis awareness training?,👲,Moodle邊度有？個名叫咩？🙇🏻‍♂️,🌝,淨係報osa搞嘅internship嘅prerequisite,1,9,,,,,
有無同學打羽毛球?,😅,要book,thvgf,想問打羽毛球係咪就咁walk in😆👋🏻,🐭,https://t.me/joinchat/Fdrmqk350dZPGqQL,2,33,,,,,
Pw test,😵,我7號考都未出,😵,點解會有啲出左有啲未出,😺,啱啱打咗去問佢哋叫我等到三月😵‍💫😵‍💫,1,5,,,,,
Exchange fail一問,🍳,Push,🌭,想問下有冇人試過係咪真係要還? 佢要我還嘅話我諗我可以體驗20歲就破產,🍡,sad,1,6,,,,,
cla9015lecture會點名嗎,🦃,yes 同埋對寫作嘅啟發真係幾大,🦃,情感與書寫,👲,情感與寫作,1,15,,,,,
Hall e 音樂,⛹,啱啱仲彈緊 cls 夜晚彈到朝早,⛹,一開始以為係播歌,🐲,有 以為播收音機,1,4,,,,,
仲有無1cred course?,🐔,Mpa,,,,,,,,,,1,1
點解d人￼食煙唔行開少少咁自私￼￼,🤐,見過Nds 係門口食雪茄,🐰,Hall A 6樓咪撚再食煙啦 係咪想quit u,🐩,煙鏟就煙鏟啦 扮乜型同懶深沉咁 聞到你啲煙味都作嘔,4,31,,,,,
Psy3205 midterm,🙎,想知難唔難🙏🏻有冇ching分享下🙇🏻‍♀️,,,,,,,,,,1,1
CLD9030 quiz past paper,🐨,Push push push,🐨,Push push push,🐨,有無人讀過？介吾介意分享下點考,2,3,,,,,
有無人報2nd round exchange?,🐫,報2nd recruitment可下sem就去？,😘,會去邊,😣,Here 已經交咗application,3,4,,,,,
PGP又唔出糧？,😐,跟學校報過intern，由佢話會出嗰日計起等咗兩個月先出糧😇,🎍,2月簽claim form成個月都未出到糧？告得㗎啦喎,,,,,1,2,,,
CLB 9035 Mid-term冇考 有冇人一樣,👧,去咗都唔識🥲,,,,,,,,,,1,1
Summer exchange 23 uk Leeds 圍爐,🌳,Pm!,Rerrrer,DM DM,🌳,Me! 🥹,1,4,,,,,
丹麥exchange,😝,Hi pm?,ahweiwei,有冇人sem 2去南丹麥啊🙌🏻,🍓,Hi 我都係去Aalborg university!!,1,15,,,,,
有無人有BUS2201 MT Pastpaper🥺🙏🏻,🐜,想要！thx🙏🏻🙏🏻,⛄️,呢科真心易，上個sem hea 讀都拎A,👦,幾時mt!,1,7,,,,,
你自認自己有修養嗎？,🐁,你估下,,,,,,,,,,1,1
想問每年LSIP interviewD問題係咪都一樣,🀄,好🥲,🀄,係,🎈,其實係唔係問Stand out嘅attribution,2,31,,,,,
有冇同學可以上hall平教Cello？,🙃,，,🙃,，,🙃,初學Grade 7左右同學也可，Pm,1,3,,,,,
冷氣費係咪交落A/C meter?,🍦,ys,,,,,,,,,,1,1
Summer Exchange Result,😷,有冇人係leeds 🥹,🍗,轉做waiting list係咪有機會最後變no offer,,,,,1,2,,,
Hall A有冇人打麻雀？,🍉,你有冇其他腳？,🙀,有！,😻,冇,1,3,,,,,
有冇人已經搵到summer intern？,🤒,上海商业银行,👲,邊間啊做PE wor,🐒,Private equity,1,10,,,,,
搵人夾ChatGPT PLUS月費 $78,😭,搵人夾ChatGPT PLUS月費 $78https://t.me/lifeismoness,,,,,,,,,,1,1
學校counselling o唔ok,angelooo,唔使客氣😄,🐊,Thanksssss for your answer,angelooo,咁都係,2,23,,,,,
🌱,🍛,係呀🥲 pm plsss,🐹,Sem 1！竟然有伴🥲,🎄,sem2 Hanze,2,21,,,荷蘭exchange,,
比利時exchange,🐉,有無人sem1比利時exchange🙌🏻🙌🏻,,,,,,,,,,1,1
exchange study plan,🐉,OK！唔該啊,👲,剩係Mark低你去exchange呢樣野就得,🌛,Exchange個study plan你有host institution嘅offer letter再填都未遲😂唔急,3,18,,,,,
有無Hall C 男想私調？,🐙,Pm,🕵,我,,,,,1,2,,,
香港人比少少公德心,😋,"咁啲老師點解唔做野嘅？🤔 點解冇人肯幫手,淨係掛住食花生嘅？🤔咁同啲人渣有分別？🤔唔明喎,點解嘅？🤔不如開個名畀我避一避雷？🤔",🦀,你地忍到咁又係度講？但係又唔當面講？所以係忍到定忍唔到😂,👦,唔gur咪直接當面講囉😂喺度講完咪又係喺度忍😂,4,27,,,,,
fin2200 test 1,🐶,佢有冇講過係咩,🙈,I don't think so,🐶,係咪全mc,1,4,,,,,
有冇人執到隻usb,😽,推,😽,有冇人前排喺拉吧或者新24執到隻黑色usb,,,,,1,2,,,
有冇人仲未決定好exchange地方,🐪,Yes,😦,問oge？,🍜,真係剩返唔係好多,1,10,,,,,
Social science courses 平價代做,🐳,ChatGPT can help and it's free,🐡,Pm a range,🙇,B都要代做？,1,5,,,,,
Morar advisory meeting,🐠,想問邊度見佢，唔見mail有寫，thx🙏,,,,,,,,,,1,1
新宿有冇人打麻雀，三缺一,🌻,兩枱邊夠,😟,不如開2枱,🍘,叫多一個唔多！,1,8,,,,,
SRES claim,🌱,大家send 多次email 問SERS,🙃,等我都sd多次email問先,🙃,拖咗咁耐😩,1,9,,,,,
Pw test,🙌,3星期內,🙌,Ceal 話係一批批咁出,🍖,有排先出result,2,4,,,,,
Hall c 1F 偷野,😛,& hall g😭 買咗好多條芝士腸但係突然有日離奇地冇咗好多,🍛,你開過人人哋唔知㗎…,👾,😈😈,1,15,,,,,
暑sem course要點reg,🐍,3月幾,😍,有冇話幾多號,🐹,同reg平時嘅一樣咁reg,2,5,,,,,
收LUE3004書,🐼,pm,🐊,Pm,🐋,7成新100,1,4,,,,,
想問下今日AO intern interview問左啲咩？,😬,3.3x咋,🍫,想知你gpa大概幾多 懷疑係gpa問題冇nom,🍫,冇 笑死,1,14,,,,,
其實點解我哋校舍甘細,🍟,如果大家想搵intern，推介大家用jijis.org.hk 同lingu嘅job platform。我全靠佢兩個，已經番左4 份intern,🍟,*所以有心真係可以拎到好多資源,🍟,我諗Lingu好過其他U嘅係，只要你肯報，都幾乎收硬你，同埋有好多人一係就唔睇email，一係就成日係hall到挽。所以真係好易有好多資源,5,70,,,,,
尖room要申請嗎,😶,搵強記join rowingTeam  你就可以用校隊身份隨便入,😦,要去睇片，有特定時間，你可以去問吓。睇完第二日先可以做,😡,要參加一個ilp活動攞咗牌先可以入,1,5,,,,,
終於搵到LUE4001點解咁鍾意M+嘅原因,🍯,謎底終於解開,蘇格橋底,📷,,,,,3,2,,,
專業學術論文 功課 Online考試代做服務,🐘,有分別，平過你，好過你仲任改唔使比人呃,🐡,ChatGPT同真人做出嚟嘅成品係有分別的,😚,chat gpt幫到你,1,6,,,,,
fyp一問,🐼,好嘅唔該曬你,😀,係 我個陣係yr 3 sem 2 中尾段先收到簡介會,🐼,ic 所以其實都係summer vacation個段時間甚至係yr4先知？,2,5,,,,,
Soc grade點樣,😶,"咁講啦:1. 每科都有人靚爛🐢，但佢的科靚🐢比例低啲啫。2. 我同意唔可以一概而論，所以我冇講過""有心讀就自然靚grade""3. 至於讀上去/深造學術方面，我諗會係分數優先。 本身gpa係大學system，就被認為係代表你學習表現。 4.  興趣高，係易高分。 但有好多因素影響興趣，例如課程內容，老師作風。 如果老師畀分緊，壓力大，興趣就會下降。5. 咁冇人講過，亦唔會hea住讀但高分。 不過唔意味住你認真讀就高分，或獲得高分嘅機會同其他科一樣。",🙄,我同意Chen Hon Fai對學生要求唔低，但每科都有人靚grade 有人爛grade，比分鬆唔鬆根本冇得一概而論。如果樓主想讀上去甚至做學術，學習同知識應該係優先過易唔易靚grade。而我自己經驗係有興趣、啱自己嘅course 就會容易靚grade，因為你會願意花時間學同睇reading。但想hea住拎靚grade咁Chen Hon Fai嘅科就一定唔啱你。,😼,唔會,2,36,,,,,
Go Chinese 壞左？入唔到去,🌷,Edge都得,🍏,要用google chrome,🌷,唔好用safari入,4,,,,,,
BBA faculty 咗 scholarship未？,🦁,"Ok, thanks a lot!",🦁,佢係話potential 好 唔該晒🫡,🐤,有一個收到話keep you updated yr3,1,38,,,,,
Summer exchange interview 會問乜嘢,🍩,有心跳都去到,🍒,有冇人知其實summer exchange 大約有幾多個quota😂,🦀,多人揀同一個program 咪跟gpa派,3,13,,,,,
Sem2 exchange,🍦,Aalto!!!,🐞,Anyone Mainland??,🐏,相認下,8,12,,,,,
CDS4010 (CRN:172)分組,😩,"有冇人仲未有組求收留, thx🙏🏽🙏🏽",,,,,,,,,,1,1
嶺南係唔係搶錢？,😰,System error,😋,*咁,😋,📷,3,5,,,,,
有無故宮forum 嘅check out link?,🍣,謝謝！,🌼,https://osa.ln.edu.hk/attendance/33b0cbbd2b8cb310e297d500571cb2c7xta46pcgxx,🌼,你还要吗,1,4,,,,,
暑sem exchange interview會問咩？,🐥,想知太概會問咩,🐥,吓 即係in得好差都去到？😂,🐵,好緊張 我都唔知😂😂😂 但係好似得好少人去,1,10,,,,,
情人節表白區,👩,beta男只會網上圍爐 叽叽,🌿,傻尻,👵,5 ho la.......,2,28,,,,,
🕴,🌛,4月完sem 仲未考試,🌛,無平機票了,🙊,考完試去西藏,1,6,,,今個sem幾時考完試？想去旅行,,
臨grad嘅你返過幾多份intern,🌹,1,😤,0,🌜,0,1,15,,,,,
BUS2211 asm 1係邊submit?,🍬,In class hard copy,😴,你係section幾？,,,,,1,2,,,
點樣late drop,田大一心,唯有搵counselling prove 你心理壓力 建議drop科,🗿,但係我15cred,💁,或者建議 去約見school counselling services 問counsellor 意見 睇下有無咩support到你 可能心理/生理都幫到寫supporting documents 再交比 registry,1,8,,,,,
Econ2101 Quiz,🙎,唔計,🕴,知唔知計唔計分？,🎄,有無人已經做左？,1,3,,,,,
有冇同學都有領展獎學金？,🌝,冇成功過,🎉,No lol,😵,但你之前有成功拎一次？,3,14,,,,,
想知有冇人試過睇學校嘅普通科診所有a酸食？,🌽,長陳係咪淨係可以朝早排隊walkin,💣,如果係有經濟考慮 可以睇長沙灣陳醫生食a酸應該最平係佢,💣,淨係試過睇學校皮膚科專科,3,4,,,,,
求新宿屈蛇方法,🍱,有時啲保安都有野做 有啲行開咗 所以拍少張卡都冇人知,🍱,有 有tricks,🐪,匿埋喺個喼度，再搵人推入去,1,5,,,,,
