参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
點先可以resit,🍪,係🤔,🌚,係咪ocas 炒左exam幾高分都冇用🥲,,,,,1,19,,,
"有冇人申請咗pass fail,最後可以取消度",😴,自己申請冇諗清楚㗎咩,😴,講左冇得取消,,,,,1,2,,,
Retake101組隊,🐐,當年yr1都係靠識啲retake嘅人俾tips先過到關🥲,🐐,往年都有 仲真係tips咩就100%出咩咁,😌,點解今年冇,2,26,,,,,
OU cut Hons Grad,🍼,Fail咗好似一定要retake返先可以grad喔 🧐🤨,😪,我之前聽就話係可以F 1科既，但ou網唔見有,😪,點睇？係今個sem gpa定係。。。？,1,5,,,,,
🍭,😅,讀完year3 佢會有email send畀你,👰,其實你科野係咪top up year 3?,🍐,問學校,2,4,,,無hon degree可以轉有hon？,,
臨時Event Helper,🍅,Hi pm,🍎,pm plz,🍅,Pm,1,10,,,,,
有冇人101fail 2次？,🍟,狂俾🥶冇啲咁嘅事,🐉,So 9 sad,🐉,Wtf,1,11,,,,,
多唔多nursing 同學自殺,🌜,算啦 都係唔好咁mean🥱,😸,得個講字真係好🤣,😸,佢地講到自己為左錢 乜辛苦都唔叫辛苦😌,1,43,,,,,
想問如果summer sem retake一科黎唔黎得切畢業,🍘,佢意思係話Summer讀如果pass嘅，佢可以同5/6月已經完Sem同學一齊11月畢業之不過個畢業證書/證明果啲遲過佢哋拎，明白？,😦,即係可以去畢業典禮 無遲到？,🙁,唔會defer 呀，唔會gg,6,15,,,,,
☠,😺,Range會俾,😂,Thx🙏,🐌,唔洗背range,1,82,,,不如嚟抽問下200 一齊溫下書？,,
101resit可以讀211嗎🥲?定唔過40就唔讀得￼,👻,retake先會冇得讀,👻,可以,🍻,有35-39分,1,5,,,,,
🌬,咩名都有人用啦,此post已完 樓主親身證明咗Physio好低調,🤐,原來今年已經收咗生都唔知,🌾,考完101覺得好似只係得nursing啲人陣亡 前後都冇見過同course嘅physio同學真係好想八卦佢地有咩感覺🥲🥲🥲同埋有咩心得,1,3,,,physio究竟有幾低調點樣先可以知道佢地嘅消息,,
200 Alison其實有冇比過tips,🍿,thanks ah,🍊,Last 3 digits,🐕,Yes,5,39,,,,,
🍌,🎉,個d10credit科一年開一次,🎉,實要defer,🐴,係要但你剩係retake 101係有機會defer因為你有得讀year2 courses唔代表你似其他同學足夠時間順利完成個program。你要等cc同你傾點夾時間先知洗唔洗defer,1,21,,,我讀mental ，103retake 係咪一定defer,,
有冇312同學仔聽日合作？,🤗,食屎食得多傻左,zw,傻閪閪死毒撚,zw,都唔知你入黎撩咩交嘈，現實比人欺凌得太勁想搵人發洩定現實冇朋友要刷存在感,1,18,,,,,
200 fail左係俾幾錢retake?,🎂,你老母9999,🐘,應該99999 優惠價,💁,30000,1,6,,,,,
大家點tip 101啲題,🌯,佢5月20咪有堂講大概咩重點,🍌,係邊啲🥲🥲,🐎,冇tip 信佢講嘅重點,1,4,,,,,
☠,👵,舊年第一次written 係on campus,👽,舊年online assignment,🌳,舊年冇溫過都pass 到,1,10,,,N103F,,
🍳,🐬,pm!,薯仔好好食,Hello (⁎⁍̴̛ᴗ⁍̴̛⁎),hataze,pm咗你,1,11,,,美食T01搵朋友😺,,
女仔 Reg左電競T02 求組隊🥺,🐄,Sorry 岩先睇到 暫時2個,🐸,組隊pm,😽,打野 男 T02 tg:@ghggghhhg,1,12,,,,,
想知剩係fail咗103 practical 2會點？,🐐,Retake 103,🍗,Fail ocas好似要defer,🌼,咁如果ocas唔pass呢？,2,8,,,,,
美食 T02 想轉去美食T01,🌰,push,🌰,push,🌰,anyone？,1,3,,,,,
268創業 T01 揮個手,👰,hi 同是T01,🐨,感激🤞🏼,🙉,👋,2,6,,,,,
ACT 304究竟點溫？,🍲,ACT 304 d內容咁多，大家點溫？完全記吾到,,,,,,,,,,1,1
278 電競T03 to 美食T01,😲,美食t02換可唔可以🥲,🌿,pushhh,,,,,1,2,,,
想知OU嘅Law點溫🙂,🍏,有冇人讀Law B334F好苦惱緊點溫啲note...,,,,,,,,,,1,1
音樂T01換跨文化🥲,😺,Push,😺,Sorry我讀過同一個field啦,🗿,swap 242 ok？,3,4,,,,,
Ou intern,🍾,仲未收到offer,🍾,咁係咪已經冇機會🥲,😪,我覺得如果你仲係yr1 2唔洗灰心 yr3會機會大啲,1,10,,,,,
🐷,🙊,Year 3?,🀄,拍片功課又唔肯出錢又唔肯出時間，結果累大家拍咗條垃圾出嚟,強尼很強,條友同我讀同一個programme 做gp prj佢本身做好個part 到臨present前15分鐘先同我講覺得自己寫嘅好似有問題 成part del曬 要我幫佢執手尾🖕🏿,5,40,,,分享OU豬同學們,,
召集所有讀gen電競嘅同學,🙀,請問幾多人一組,🍖,點解咁講,,,,,10,26,,,
T04 電競組隊打機認識下,🐿,主要睇sup 配唔配合到，小弟只係一個玩lol玩左十年嘅老餅，試過鑽石,👻,咩牌位阿,🐿,我都淨係打lol ，對排下路😂？,1,6,,,,,
電競 278 T03  絲打 組隊or入Group,😮,pushhhh,😮,push,,,,,1,2,,,
電競t03換t01,🌳,t04換t03🙇🏻‍♀️,,,,,,,,,,1,1
有無人讀過b235cf ？,👵,！,👵,！,👵,Want T02 有T04,18,45,,,,,
電競t02換電競t01,🍸,still want？,🍒,02換01 求,🐈,😋,1,9,,,,,
電競t04換電競t03,🐎,t03有冇人未form好gp,🙂,Pm,,,,,2,6,,,
🍄,🙆,係咪6月個add drop period先搞到,😣,同佢夾好時間放同add,🙆,push,1,6,,,搵到人轉t但唔知點轉 求教,,
電競T04 換誇文化T01,🐂,推,👷,有冇興趣換創業？,🐂,推,1,12,,,,,
328 弟四份 Q2c  你地係？,😣,最好五年,🌬,Asm2唔係個個都寫2年咩，咁asm4 Q2c應該都跟返寫2年啦？,🎍,我consultation佢話你前一份寫幾多年 咁你今份就寫番幾多年咁我對上歌份就係寫五年 所以直接跟佢講寫,2,4,,,,,
有冇唔係人讀過B235CF,🍥,我覺得幾難 轉咗pass fail,🐭,拎A- 算幾好讀,😢,上年summer讀輕鬆A-,2,4,,,,,
有冇人知Gen A209f music讀咩,🍷,可能有summer sem嘅人少掛,🍷,Summer sem嘅ge 好多都冇人分享,🍗,但係點解好似冇人讀過咁🥲,3,20,,,,,
🕵,🐫,租/買OU畢業袍，幫襯邊間好？有冇介紹？,,,,,,,,,畢業袍介紹,1,1
B267CF 大家咩分數,😏,有冇人知幾時會出GPA,🍊,63-69分就b+，如無拉curve,🐩,佢話gen科易高分，80以上先有A,3,66,,,,,
🐴,🍞,新手,😆,想做 但唔知ou附近邊到有得做同埋平😆,,,,,28,46,有冇女仔做gym,,
🍰,👴,呢啲文史嘢上網揾兩揾已經有啦，利申：冇上過堂拎B+,🍊,功課易做 唔太洗上堂都識,🍊,個lecturer 好好人,2,8,,,A212CF  古人想甚麼 幾好讀,,
有無人想試finance intern ?,🍉,五個牌都齊曬準備離開呢行,😘,我year 4 都想join 返2-3 個月😂,😘,聽你咁講完搞到我好想去...,1,35,,,,,
有無人番過Lipace intern,🍯,上個星期in曬,😽,使吾使interview?,🍯,今朝已經有電話叫我返,18,,,,,,
FIN B280 入 小弟sem頭唔努力😭,🍄,同*,🍄,請問summer sem用常規即系autumn果d有咩分別？,娘子,因為用黎加速畢業,3,17,,,,,
B200f 地獄,🐀,reflective learning journal要做咩先pass?,😟,Ohhhh!!!!唔該晒你呀🙏🏿,🐏,分別睇M9個總分， RFJ， 同埋600分嘅總分合格,2,12,,,,,
想問Fail N200F 係咪要defer?,🍔,上年fail個d都未補返,😈,Yobie 好啲定Agnes 好啲架,🐢,叫Agnes,3,18,,,,,
🌝,🐕,見過拎熊貓M記文宣新聞都冇post過又近運動兩周年 唔知佢地會點呢 做港豬？,,,,,,,,,SU黃？真心想知SU人邊個係深黃撐手足？,1,1
💀,🍩,thx,,,,,,,,,TC 311F 幾時 Exam,2,6
Summer Ge 揀咩科冇咁伏？🤧,🍐,5月20,提摩子,有冇人讀過音樂/電競？,👳,我kitty教都係60頭,5,29,,,,,
求N200F Exam PP*會用Yr4 source交換*,🐟,所以依家有人比你未？,😗,Pushh,😗,Pushhh,2,25,,,,,
⼀有冇ou幼教師兄師姐 求救,cct552,就系班老師叫我哋喺實習期間冇gen要讀，但學校系統又唔俾我哋系5月20號reg summer 嘅gen,🐭,個個讀BEd都要係實習嗰陣上堂㗎啦，如果用辛苦做籍口學校係唔會理你。,cct552,感覺實習讀好辛苦,1,33,,,,,
入拉把既人可唔可以靜少少？,🍼,講到尾都大學生啦 去圖書館仲唔自律 冇同理心 嘈住人,🍼,見過pair情侶喺lib 開箱MacBook…心諗jm9…,4rr,拉把D staff 根本母用,1,7,,,,,
Lipace summer intern,😒,定係想做文書,😒,你地想做counter service?,🍋,見佢冇講position,1,9,,,,,
399都幾頹😂,💁,越講越驚 🥱,👨,同埋assignment/ quiz考過嘅絕對有可能再出 所以大家唔好skip左佢 以為出過唔會再出,👨,然後cost leadership + differentiation assignment大家有做過 相信都唔會陌生 依兩樣都重要嘅,3,14,,,,,
🤑,👮,Push,🐎,"有N310 assignment topic,sample,grp project topic",🐎,收200F too,1,6,,,高價收 nursing source,,
🌯,😮,記得我地小班教學，成班都覺得個老師係old seafood ，嗰陣仲係f2f 寫到好差 唔知佢仲有冇係度教緊,👿,唯有考好啲等佢冇機會fail我啦😔,😣,寫完就肥佬,1,11,,,sem尾evaluation 問卷記名？,,
Ou intern,😫,收到通知了,🎍,應該未出晒interview 其他department 都仲通知緊,🎍,有冇人知道其實interview 問咩,3,34,,,,,
美食轉唔轉pass fail 好,yamazaki,report 低分到,,,,,,,,,,1,1
有無人retake過animation production,⛑,學分10 應該無分,🍠,你係後半部份定前半部份,⛑,如題,1,3,,,,,
BA 買賣/交換source,🍋,...,,,,,,,,,,1,1
N309CF比人調咗去T12,🌭,本身同T識得嘅得自己調咗去咁後….,🍍,由一開始check 就已經係T12💁🏻‍♂️,🙇,我都係比人調咗去t12😪,1,6,,,,,
🌞,🐺,有興趣 邊度有得in,😥,咩廣告,👸,咩offer,1,8,,,OU搵人拍廣告 有無靚仔靚女介紹,,
有無人支持學生自發聯署向eason及各位來賓道歉,😌,我發現每個post都有你留尼句 私人因怨咪重,😨,g持！,,,,,33,30,,,
🐱,🌼,以前讀過Assg 1 96Assg2 100,🍲,我未試過100..,🙉,讀10幾年書第一次英文作文100分...,2,24,,,E243F assignment one幾多分?,,
Summer sem GE安排,😟,兩科都係2字頭,👧,不過其實可以揀二字頭嘅 ￼,👧,Same,1,6,,,,,
究竟200點溫....,🍢,求tips😢,🙂,Ot 考得多唔多？,🙂,Tips真係出曬？🙏🏻,3,6,,,,,
有冇人想夾band?,🐊,Pm expired,🐊,要bass/guitar?,,,,,1,33,,,
上堂點計attendance (無poling)🤔,🐁,Metoo,😠,唉 好多堂都冇做過polling 淨係掛機,🐶,Nursing應該最後畢業先埋單計數🤔🤔,2,9,,,,,
Econ A232F搞唔掂,🐠,Keith依家響城大教書,🐴,大大力吹奏keith,🐴,keith is the best,3,22,,,,,
🌝,🍇,😖佢pre完自己嗰part即刻閂cam,🍀,😂,🍀,Lecturer 俾佢7住 present ?,1,37,,,妙趣 on 9 仔,,
🍔,🍪,Yes,🙇,Garland EE 係咪退咗休了,🍍,其實garland tutorial教嘅野mid term exam都會出,28,87,,,一人一句有關garland liu,,
GIP 酒店之旅,💁,咁大個人check下email la 封email咪講咗,kzz232,堅料？,💁,Round 7之前去就得 之後就用兩個禮拜zoom代替,5,497,,,,,
🌵,😰,可以試下轉！ 🤟🏼,😰,明白明白，但因為覺得自己好似唔會入行，想用啲時間進修其他野,非洲人,Eng Ed,1,10,,,同院校year2想轉科,,
🙏,🐤,Porter Robinson & Madeon,🐍,Alan walker,🐿,"Trance, hands up",19,25,,,有冇EDM愛好者？,,
有冇year 1/2 要請槍？,😓,睇pm,😓,唔得 sor,😄,畫畫o5ok?,1,7,,,,,
399可以點溫 有冇過來人有tips,kzz232,笑死成班人離晒題,🤖,好明顯今季無認真上堂又知能力唔夠 然後大機會defer一年 不如依家有時間做多幾份part time 儲下一萬蚊再捐比學校起多楝多媒體大樓啦 咁咪再黎多次機會認認真真咁考399🤟🏼,👦,啱呀 無得出貓成班人就係度嘈要屋企考 跟住拍片自己出事就再屌返學校做乜屋企考唔搞on campus exam😆,1,16,,,,,
有無人填過學資處更改學費表格,😐,但聽講填唔填都一樣🥱,😐,上網打 更改課程資料表格,🌴,邊度有表格？,2,28,,,,,
⛑,😯,伸手黨？有問題做咩唔直接send email比tutor？,🐜,有無依科同學係到🥲,🐜,唔係好識點做 有無人可以講下應該點寫🥺🙇🏻‍♀️,1,3,,,B309F extended essay,,
有無人都用唔到ole app (Ouhk ibc),🍖,吓死人 今日仲以為手機出問題。。。。,🍾,無嘢啦 宜家好翻,😐,㩒入notifications求其一個message 再返出去course就load得返,9,,,,,,
🐖,🍫,所以我咪直接回絕左😂,😿,對方直接你都可以直接姐,🍫,我試過  對方一黎 就問可唔可以追我，唔係太熟😂講真呢次之後，我明啲女仔點解唔鍾意男仔一黎就太直接,24,41,,,如果有人追你但你對佢冇興趣，你地會唔會殘忍拒絕？,,
10樓lab爆炸？,😕,警鐘誤嗚,😕,冇事了,🦁,MC?,2,5,,,,,
打hpv 針,🐡,Same 不過比咗就算啦,🐈,我果陣4200打 結果一比完錢之後周街都做promotion 3000頭就有🤦🏻‍♀️,🤔,我去左私家打3000幾蚊個診所會係我面前開針每次都會留翻支針上面嘅label+醫生個印比我做record安心啲,1,13,,,,,
急要$15000 有咩方法？,🐃,Pm我,🤑,上面又真係harsh左啲，真係急要既話，短期最快拎到錢可以1. 銀行低息借貸 2. 瘋狂返酒店/放題pt 3.做陪酒 4.賣身   以上只屬個人意見，並不是任何理財、賺錢或者投資建議,🍓,政府借錢,2,24,,,,,
N200F asm 到底幾時先想出分,🐦,Zoe之前話考試前嘛都慣啦 有排都唔會有,,,,,,,,,,3,1
有冇人用AlipayHK 交學費,😥,我,🤑,Pps,🐃,次次拎中銀debit note 係 ou 交 😂,1,4,,,,,
扶青下莊搞大人個肚🤰🏻,🐺,???,😎,Vallombrosa is the best,😼,而家一定服侍到條女好舒服,60,119,,,,,
Gen S150 Assignment 1 分數,🍚,入u後第一個100分，🤦🏻‍♀️,🐢,系你交150功課個個位，然後系assignment status個度,🍚,😀？,2,5,,,,,
B398F 有無人讀過？聽聞係intern，可唔可以入嚟講下,🍱,我嗰科係就住你intern嗰間公司嚟做，題目可以另定,👧,唔知你點,👧,我係個tutor會額外俾個guideline咁....,1,46,,,,,
POCT test attendance 😢,🐔,邊個有名,🐎,大家睇OLE update 左有最後一次機會自己去睇啦～,😐,冇乜嘢嘅,1,20,,,,,
bba溫past paper有無用,😦,而且佢年年既題目都有唔同 佢年年都整好多唔同嘅伏位,😦,冇 都冇答案 都唔知啱唔啱啦,🍾,當然有用la,1,6,,,,,
🌝,☺️,未啊,🌛,我都有成31個,,,,,45,78,有無人收到第二期loan?,,
🌺,🌯,幾時開sem幾時有notes，就同平時上堂咁,🐡,幾時要比resit錢？係咪有通知,🍳,咁等下,9,12,,,有關重考的問題,,
有無人收到non-means?summer sem🤯,山哥,上次我打去話四月中，結果又係未交,🍞,打電話問就今個月底 姐係最尾下星期五30號一定會交資料俾學資署,👿,想問下係點申請架,1,12,,,,,
OU的食物好通便,🌵,年幾前食過幾次咩事都冇,🐃,從來唔食😂,😛,Mc 次次食到肚痛,1,9,,,,,
GIP問題,😪,你miss左平時星期四要上嗰啲 定個briefing miss 左,😪,無,😂,有無人收到email 關於GIP study tour 問題，話你miss 左 tutorial,1,3,,,,,
Year5 psynurse入黎報下in咩cluster😛,🐃,Push,,,,,,,,,,1,1
￼免費share chegg ￼答案,🍀,Pm!!!,🌶,咩泥,😪,pm,1,15,,,,,
442 1b題,😚,有無人做緊？,😚,442 1b個題點搞啊？,,,,,1,2,,,
Intern 黎講  Intertek or SGS 好d？,🐼,I記啦，workload少啲,,,,,,,,,,1,1
有人收到公大金牛喜氣虛擬年宵禮物未？,🌲,我收到份禮物，但入面冇夾埋張coupon嘅🥲🥲🥲,👵,好多活動好豐富,,,,,2,47,,,
有冇nursing year1 嘅同學一齊交流下？,🍅,pm,🍅,me,🍷,Pm,1,8,,,,,
PolyU 校園擴建到OU地盤啦，仲要係地鐵站隔離,😣,連三大爭住返細行 嗰啲交銀 創興 都冇得in,🌴,真係得翻啲保險同唔知咩9工 intern超難搵 我都好怕失業,🌴,我覺得老師都幾好 係intern真心難搵,1,75,,,,,
要resit,牙籤仔,prof. 會email同你講,🙎,sem 1 知道fail咗 幾時收到通知？,🌳,好，唔該同學😭,1,8,,,,,
BBA考試係咪係屋企考？,😫,其實吾覺有少左,😫,之前online都係2個鐘，四題compulsory 分a b part 🌚,🙄,兩個鐘嘅話題目會少幾題,1,59,,,,,
有冇EN同學收到ha interview email?🥲,🌹,見到RN fg都開始in 仲未收到email😵,,,,,,,,,,1,1
中國古人ge唔駛考試？,🦂,原來係咁！多謝Ching,🍶,唔知你係邊個古人，但係古人想甚麼我記得係唔使,🦂,考試時間表冇show到呢科定我睇漏眼,1,3,,,,,
"Quiz夠鐘但係無sumbit,比系統彈出去。會唔會0分",🍳,你彈出去個吓如果有autosave/submit嘅話佢會有寫幫你submit咗,🐢,儲定錢先啦 乖,🐮,我問過professor。。佢話唔知=_=,1,13,,,,,
邊個campus嘅lib係溫書最好,🐑,JC自閉位唔錯,⛄️,冇,🐈,IOH有冇圖書館？,1,11,,,,,
5000蚊消費券用來買咩啊,🐛,消息指only,🍡,可以綁定WeChat 交學費嗎,🍡,係喔,1,9,,,,,
有冇人報咗CLP intern?,😄,間間學校都會有offer 唔洗擔心,😄,Year 2 入過 不過好hea 冇咩做,🍯,加油,2,13,,,,,
中國古人 有冇考試㗎？,🐸,認真 咁姐係唔使考？,🍙,Btw 宜家仲有冇計attendance 益或只係計做工作紙,🍺,"Ching,  好幽默喎🤣🤣",1,5,,,,,
有冇咩gen科可以真係學到嘢？,🐽,讀左，有用,🐂,Law?,,,,,1,2,,,
OU幼教究竟有冇靚女,🐷,有 但你唔會識到😂,😩,上年有去in過星期六冇咯本人都唔係靚女同埋被reject左同校另外有個女就pass左 不過都唔係公認靚女嘅果種,👾,你係咪靚仔先？想識,1,4,,,,,
想問如果在學期間死咗 學資處會唔會追返啲學費？,😗,想請問呢如果下個sem defer嘅話grant and loan會點計？休學都要比返？,🍿,*時間,🍿,唔好死住啦！我咁負面都未死得去，中學嗌死嗌到而家defer都未死🥱加油呀，人生係難捱⋯⋯我完全明白！係會痛苦，但只要堅持到，同時期鬥長命，你就贏！撐住呀～,4,45,,,,,
🌝,🍺,去Exchange係咪有得申請roa,👩,就算有都應該係得大灣區,🐪,我都想知有無exchange,7,8,,,想知OU有無得去外國exchange?,,
又到星期一， 今個星期出唔出pending呢,🎉,咁你唔洗擔心啦 大家都未出,🌷,係，一樣未出,🎉,但你啲同學都pending梗咩？,3,33,,,,,
General Nursing Yr1 Study Grp,💂,Me too🙈,😷,我禁咗剔,😷,🙈,1,33,,,,,
A107F 同 E244BF 好唔好讀？有幾多asm?,🍛,真 份asm搞左勁耐,🌰,無,🤕,請問a107有無present㗎,2,5,,,,,
ou 可5可以快D落實考試模式,⛄️,我嗰陣讀好睇重呢啲,⛄️,同埋一定要用自己文字,⛄️,VRIO  Porter Five Forces 個啲,1,67,,,,,
求B267CF source,🐃,Push,,,,,,,,,,1,1
有冇人後悔入咗ou,🍯,bba真係不了 好撚後悔唔讀asso,🍖,IT其實唔差,🍿,ou都係得nursing屌得過咋。,2,118,,,,,
🌚,🎍,咁有自己識嘅學校/母校！當然好啲啦！🤣,😨,Ou 一向要自己搵,😨,佢派果d 會好麻麻,15,70,,,OU教育系￼畢業前景究竟好唔好￼,,
B267CF assignment,😅,睇返啲條例好似係第二樣嘢,😅,Nope,👳,獎品算唔算餌誘式🤔,2,4,,,,,
學資處啲人返工未,🐫,聽講有,SKK9588,Retake有得借既咩？,🍀,今日收到,8,120,,,,,
☺️,😴,大家係咪唔記得今日咩日子咋,🎈,🙅‍♂️,🍦,Fake news,1,6,,,(突發)教資會考慮將都會大學￼￼納入UGC￼計劃￼,,
GEN B167CF基礎投資 仲有邊組缺組員,🍫,😢認真 有無人都想轉gpmate,🍫,我都好想轉gpmate！！,🍉,屌 asm2可唔可以轉groupmate,1,4,,,,,
E142CF 妙趣好讀？,🌜,點解啊,🙇,咁你drop啦,🌜,唔好讀,3,42,,,,,
🐥,😋,幾倍,😋,同佢地一齊做既時間系自己做既幾部，仲要follow下佢地有無開始做,🐘,一樣，最後仲要共享個gpa比佢地，我寧願係asm自己用多少少時間做,3,35,,,點解有d group mates可以咁自私！！！,,
急 ou 電影 同 浸大 film hd 二選一,🐇,用腳就知BU啦,😿,咪入OU啦 貪佢學費夠貴咩,🐢,可以唔係ou 就唔好留係ou喇,1,4,,,,,
有母人覺得fyp  individual 會好D,😘,我系吾想一個人present先想group姐，如果齊交report緊系individual好啦,🐴,你遇到啲濕尻groupmate就唔會咁諗,🐴,咁你好好彩,1,13,,,,,
MC1樓部釘裝機,🍛,些些大大,AlexanderT,/ IT Department,AlexanderT,FMU,1,4,,,,,
有冇讀緊Gen Ielts 嘅同學,,,,,,,,,,,,,
中國文化導論好唔好讀,🦃,今年係個人present 每人十分鐘,🌝,係個人present嗎？再次感謝,🐿,Year 2讀過表示有present，冇記錯好似要半個鐘。依家year 4唔係好記得喇😂,1,7,,,,,
B267CF test,🌝,第一part唔係只係基本法咩 🥺,🌛,唔洗開啦依家 不過1045-1145 icac 講座要 可以睇番 marking schemeQuiz分2part1 Ch1司法制度歷史加基本法0920-0950 15題2 Ch2上 合約法 notes p1-24 1000-1020 10題另外tuorial講過嘅題目都有機會出 ching今晚努力溫書啦,🌝,而家唔駛,1,4,,,,,
332同313 quiz,🎍,我想問有無人覺得ACCT 332同313 quiz d MC好難？好多吾識，好驚吾合格，點溫好？,,,,,,,,,,1,1
有無人收到學資處錢吖~~~~,😸,咩關愛基金嗰啲都係,😸,佢嗰啲生活資助真係有啲少不過好過冇,😸,不過我都唔睇唔透佢哋啲學費點計俾咗三萬蚊我 我暫時交咗兩次一萬幾我諗佢應該係預先比多左我,1,11,,,,,
⛹,🍩,請問去咗邊啲地方同做過咩😁？join 唔到，但想plan來去下🙇‍♀️,,,,,,,,,有冇人有去ou個香港文化遊,1,1
summer sem有咩business elective科,🍶,話要自己apply咗先再學校決定,🎂,咁要問registry了份表只得咁多科,🍶,無我想讀ge,1,9,,,,,
想大學出pool,🍂,😂,🍂,看破別說破,💀,😂,1,11,,,,,
如果遲交assignment會扣幾多分？￼￼￼￼,kzz232,有冇睇第一句？,🌮,因爲ou 係有教無類🤣🤣,🍝,我誤會咗course document係指assignment guideline🤦🏽‍♀️,1,19,,,,,
fail core科一問,🌲,Fail 咗科,😐,Yr 4完都未讀夠credit囉,🙎,咩情況要defer?,1,13,,,,,
幾時知道自己有冇入dean's list？,🍵,搞唔掂🤦🏻‍♀️🤦🏻‍♀️,🍣,等全校出哂gpa再等2個月左右,,,,,1,2,,,
B396有冇人要返去重考？,AlexanderT,打俾學生事務處問可以幫到你,🙇,咁應該點樣填張form？,🍳,好似後期先加開,3,124,,,,,
🌝,🐗,唉咁多野 由邊到溫起,😂,Yup3 hr on campus,🍘,😱,1,6,,,N200F考試 大家覺得？,,
☠,😬,你地retake elective？,😬,341,👽,你要retake邊科？我之前打過去問,1,14,,,關於retake。,,
Fail 果d 同學可唔可以參加驗證考試？￼,🍅,咁其實elective科summer sem有得讀？,🌵,OU有賺錢嘅機會點會放過啊,🍵,吾好咁天真啦,1,13,,,,,
Result 見到pending 姐係點 要重考？,😸,絕對不能同意更多。barry 絕對係不折不扣嘅一個大仆街,😮,咩方式考？,nan,yes,1,43,,,,,
學術問卷兜搭女生　占卜轉運氹飲酒大肆非禮　男大學生被捕,😸,聽講係yr 1,😔,摩牙 year幾？,,,,,3,17,,,
有冇人233美食拎A??,👵,想知nurse邊間u唔太睇hon🙈,🙀,睇你咩科 Nurse好似不太睇hon（當然又唔好太差⋯）,👵,想有得揀就first hon,2,18,,,,,
Yr 1 (bnurs) autumn term gpa🤔,🍪,有take home asm嘅話 過3基本嘢,😎,4,👰,Ok thankyou 😂,2,10,,,,,
邊度可以睇果科下個sem開唔開?,🐿,要等email？,😀,有科要retake 點知下個sem開唔開?,,,,,1,2,,,
😃,😼,馬騮仔係咪廢噏架 潛左水咁耐,🐽,求花生，但個po 2019年出架喎,🍫,以我所知 最不切實際就係你上莊 而唔係你嘅上莊,25,34,,,啲上莊可唔可以收收皮先,,
B368F 答案公開,🐣,你inbox 我，第二題太簡單，我以為個個都識,🐣,都有機會錯，自己判斷啦，我幾個同學都計到一樣嘅答案，你有其他答案歡迎同我講，再提提你哋唔好照抄，改返個格式,JA123,錯的，自己計下先la,2,11,,,,,
想問hkcc入OU science 啲科gpa大約要幾多,😘,入來送錢啦,🐰,有報名就必有offer 唔需要擔心gpa 但係奉勸唔好入ou,😘,無腦都得,1,13,,,,,
讀會計 大家依家apply左邊幾間,🐜,目前得中資銀行有offer,🐜,"Apply 咗同會計無關嘅企業  黨鐵, 名牌連鎖店MT 仲有中資銀行文職",,,,,2,2,,,
有無ou bba bm yr3上個sem拎到gpa3.2以上,🍅,4,🐛,3.1,🌶,2.9,1,6,,,,,
☠,😷,你打去問下我kcc返緊tuns了,🐷,Thx💕,🍮,一月嗰份email嗰兩個電話,1,11,,,KCC TUNS,,
OU 有冇出過youtuber ?,👷,Busboy條傻9 lo,🎉,福正,☺️,藍仔頭？,3,7,,,,,
actb416f authenticism exam 一問,nan,考試video,連尼住,What is 視頻？,🙍,小弟未錄到視頻翻去考 miss話考文字題 想問有人知 20文字題 定系past paper果種,1,3,,,,,
🍡,科科攞A,我本身係chem stream intertek 有兩個department 一個food 一個chemical有冇人做過？ 可唔可以分享下做d咩 同比較下邊個好d？ 同埋人工大約幾多？thx,,,,,,,,,做intertek food定chemical 好 人工幾多,5,1
有冇人仲未攞到健身卡,🍣,但而家佢喺度寫住更新中,🍣,係咪喺學校S AO體式能健身課程網站嗰度正常應該有表格下載?,hahahahhahah,係,2,62,,,,,
大家搵私補用咩platform?,🎈,不過要有心理準備人地未必揀你🤣（ps揾左差唔多一個月都未配對到）,🎈,"tutor duck,中介只係收首堂",🐒,朋友介紹咋 唉,7,7,,,,,
嗰youtuber busboy女朋友琳琳好cute,🐃,同感,🦀,你咪busboy?,🍙,who,1,5,,,,,
其實OU bba係咪真係好廢,👾,你指今日報紙話OU bba攞咗冠軍代表香港參賽？,🙀,ou 唔係問題係ou bba 垃圾,👴,冠軍喔，自己唔掂姐,1,29,,,,,
b365f pending,🐈,根本就係,🌴,b365f pending星期三tutor打黎話下星期五要返學校完成d procedure先有grade 話係核實身份 有無人都係咁？？驚係authentication exam,,,,,1,2,,,
B405F 完全聽唔明,🐐,好多科都系齊聽tutorial同靠自己溫書,👱,我都係聽tutorial,🌚,大把professor 重差過佢 有d連照讀都求其佢都算唔係最差 sad,1,5,,,,,
BSCI A123F Course Grade!!,🎃,Push,🐑,Fail resit 嘅話洗唔洗defer?🤧,🎃,好低,1,4,,,,,
有冇IB B391F authentication exam,🎅,你都係預左重考先，上年我都係咁情況，SU都同上面講，最後都咪重考多次,👻,希望有正面回應，雖然唔抱太大期望,👻,焗住要考嘅話一定會考，但唔會有感激佢比機會我,1,14,,,,,
