参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
招study partner一齊摺lib,pm,Hi,pm,1,33,,,,,
零朋友既我☹,橙褲真係柒咗啲,點解咁講呀,自己鍾意自己咪得,1,6,,,,,
__,hi,Wow thank you!,hi,2,15,,,有冇postgrad 朋友仔係中大呀？,,
Econ2011幾多分有A range,Siu4 Thank you for sharing,比大家嚇死,屌 exam72分 最後A-左,3,13,,,,,
冇朋友好辛苦呀🤧🤧🤧🤧,pm,Pm,Same uc,4,46,,,,,
想問依家仲可唔可以轉roommate😵‍💫,佢衰乜,😂😂😂😂,有冇人知UC點轉roommate,1,7,,,,,
"搵人夾youtube premium,",如果有人有兩個位可join,,,,,,,,1,1
__,sem2有吖,只要有心 每個星期都可以係reading week😉,,,,1,4,點解我地冇reading week😩,,
想要FINA3010 resources thx,+1 Chris Leung,想要chris leung,想要+1 mok ka ming,1,4,,,,,
I house 冇朋友,我間房有3個，不過唔出門口好少見,Me 1🤦🏻‍♂️,Block 幾？,2,13,,,,,
GENA112 Exam,自己上cuhk lib個網睇吓past paper啦，主要都係兩條essay,上年俾咗兩條essay 返屋企做 今年唔知,Lm,1,4,,,,,
今日紅日cu邊度可以影印？🙏🏻,進宿囉😅,,,,,,,,1,1
其實hall tut 有乜用,正常kam lung 都唔會理你,要管埋啲宿生咁都真係幾kam,見啲Hall Tut成個Kam撚咁,1,5,,,,,
想問下放假CU有邊到系開，可以溫書？,黎山城角樂啦,Thx,佢地間房,1,8,,,,,
阿sir走堂,根據手册，5點前落波，6:30pm或之後嘅堂如常,分唔清楚真定假膠,咁辛苦番到學校，又壞火車又多人，趕得切準時6:30pm返到課室，阿sir竟然走堂！還我車錢呀😫😫,1,3,,,,,
UC排湯陳恒伯，結果中咗恆生,Meee i wanna live cchh!!!,有冇女仔想住陳宿 搵我唔該,sad,2,12,,,,,
Business school 抹殺哂我地努力 0尊,曼狗怒到,咁輕鬆你唔揀？柒頭,Cls架 一句cancel hope you enjoy就算 通左兩晚 睇下我地個deck都好啊,6,9,,,,,
書院辯論隊,但正常無論你係唔係比賽嗰個都應該要參與返嗰一星期既開會,可以中途quit嘅,比賽有無得自己揀參唔參加,1,8,,,,,
求 chem 1072 lsci 1002 source,"1002有上年lecture notes, 但聽講今sem prof.同之前唔同，唔知會唔會多左啲新野",1002撚有source咩…搵組爸媽教啦,,,,1,3,,,
殺到黎喇！！！！,咁多email鬼睇到咩 利申已針,啫係自己申報就得😮？,邊日 email 講要upload 針紙？,1,8,,,,,
照鏡望自己,搞唔掂 自己咁🤢,💩,,,,1,2,,,
低mean少少你會點諗,,,,,,,,,,
正常人喺hall一個人都唔識會點做？,你做asm既同時人哋喺房開party🙁,再唔係去返工算,做asm 打定sem尾term paper,1,4,,,,,
我係個冇人愛冇人理冇人想要既死毒撚🤢,朋友又冇 女又冇 自己咩都冇🙁,因為好sad🙁,因為你成日開埋晒啲無病呻吟嘅放負post🤮🤮,1,8,,,,,
我係咪應該要依家報big4,多d問TA利申 英文慢慢進步中,pacc?,fg?,7,4,,,,,
火車站驚見山城馬騮😳😳,樓主做咩嚇到走左入地鐵站,,,,,,,,2,1
__,hello can pm?,Okkkk,可pm,3,4,,,有無人下年會去台灣exchange 🙋🏻‍♀️,,
我係現莊 點先可以搞到條mk 上唔到莊,四舊？,紅色hall?,邊度,2,58,,,,,
⛄️,中国🥰🥰🥰🥰,,,,,,,gpa唔過3可以去邊度exchange,1,1
我好Kam呀,ok🥲,Make gor friend?,Me too,1,3,,,,,
諗住開個Discord server圍爐聽歌溫書放鬆,https://discord.gg/q2qUYXs 暫時開50人,Lm,Lm,1,29,,,,,
late drop揮手區,Both,Fac pack嚟🥲,審批嘅係學校啲行政人員定係個professor,1,36,,,,,
__,Who’s steve,識嘅人ex係professor,中意咗Edwin,14,15,,,有冇人試過鍾意左prof？,,
有冇人試個喺canteen 張枱屙屎屙,咁問得一係你見過，一係你做過，一係你想咁做，你係邊樣😂,冇,,,,1,2,,,
Fn第一次quiz衰咗🥺,"一次quiz就大驚小怪, 下次做好啲咪得咯",fn炒 冇exchange 冇scholarship 冇dean list cgpa低冇intern😰,Fn都唔計hon,1,16,,,,,
__,試下late application,cc，住離島，想住hall,,,,1,2,想問依家仲有冇得apply hall,,
Break 嘅時候同p￼rof 互射 好爽,Huh,Ok,你早洩,1,3,,,,,
IHOUSE1男尋CC人換宿,唔洗換，你去輔導處問應林有無空位,,,,,,,,2,1
__,建議下次開會嘅話直接講咩事,都未上任 動議咪得,,,,2,16,成莊一個禮拜已經好似散散地 點搞,,
Ugeb有咩推介,舊年zoom冇exam，mc同quiz係mc+sq+畫圖（electron diagram）+1-2題lq,咪選2380,姐係assignments同埋quiz exam都係mc+sq?,2,22,,,,,
有冇canteen有開?,Fusion有冇開,"原來uc有開😑我仲走咗去med can 同 fusion, shaw行落去好辛苦😵‍💫",暫時知既得UC其他唔肯定，冇消息,2,9,,,,,
唉啲☹☹☹,重有邊個☹,乜又係你呀,,,,1,2,,,
__,咁嘅時勢 你幾想讀我都係勸你諗清楚,睇官網啦 仲喺到問乜,Ok thanks 希望成功😢,1,6,,,Dse成績再報中大,,
有冇人想搞莊？,按個信封啊,Pm,pm,1,11,,,,,
打風邊度有嘢食？,無，得fusion有開,唔要食風,,,,1,2,,,
有冇人知med can有冇開？,Thanks!!,26036007,,,,1,2,,,
好鐘意喺中大奶￼廁所板￼,支持😗,正,,,,1,2,,,
ugeb同c 有咩hea 靚grade course推介,2361 is a must冇phychembio底 走曬堂冇聽過書 A-,"Ugeb2360 , 前提：中學bio 大概有5 +有專心利申 A",ugeb leng grade,4,12,,,,,
ACCT3142A 招group mates,毒撚💩💩💩,自己做啦死毒𠹌🙄,pm,2,7,,,,,
Grm field trip,有無GRM師兄師姐講下前兩年無oversea field trip係咪都係開meeting講？如果今年要開zoom meeting講係咪即係好大機會有得去?,,,,,,,,1,1
邊到有ipad 9買,原來有9th,駛乜行,上網睇有貨咪hold,1,9,,,,,
人哋分哂組做緊porject 然而我重未有組,應該上堂自己主動啲 依家其他組已經做緊了😦,email prof囉,同ta講,1,5,,,,,
我有三個女朋友 兩個男朋友 6p好爽,唔想估😐,試猜猜樓主係男定女,,,,1,2,,,
roommate好靚仔☺,死gay佬食屎啦,Pic,圖定老母,1,10,,,,,
fm想問8號返學安排,一定係八號…,聽日應該唔會8號啦,https://rgsntl.rgs.cuhk.edu.hk/aqs_prd_applx/Public/Handbook/document.aspx?id=1567&tv=T&lang=zh,1,4,,,,,
⛄️,想去咪去,,,,,,,有冇IE嘅人諗住yr4 exchange？,1,1
去唔去exchange😣,有錢又去到咪去下,其實自己冇話特別想去邊個國家，但身邊frd全部好似都打算去exchange,,,,1,2,,,
其實正常人既宿舍生活係點🙁,我就摺係房,,,,,,,,1,6
建唔建議join mentorship prog. ?,Yr1.有冇有經驗既人share下？thanks,,,,,,,,1,1
MKTG2010 F 招group-mates,Pm me if you’re in this class but haven’t formed group with others.,,,,,,,,1,1
Assembly helper 要做啲咩？,睇書院email,已經夠smart casual,Push,1,15,,,,,
自己其實都抗拒人接近🙁,雖然都冇人想接近我 心態🙁,,,,,,,,1,1
GENA 1112 online assessment,lm,答案,跪求mcq,1,3,,,,,
點樣可以同網上認識嘅￼中大同學相認,我知佢真人但係佢應該唔知我真人係邊個,吹水gp識 gp已退 同一個major 有幾科一齊讀  無啦啦搵佢相應又好odd,,,,1,2,,,
想出pool/識多啲人有咩方法🙌🏻,Same,冇 摺埋死咗去算😦,想識多啲人！社交圈子好小 利申有上莊無住hall仲有無咩方法可以擴闊社交圈子,1,3,,,,,
mktg2010 shenluxi,1,俾左分係咪2分攞晒？,又少幾個競爭對手,11,,,,,,
有冇人有stat1011 source? (可比錢買）,stat都要source🙄,有冇人有stat1011 source? (可比錢買）Tg: kat_bibi,,,,2,3,,,
如果係中大搞競技啦啦隊￼￼,！,"會練stunt, tumbling &dance",有冇人有興趣一齊玩？,1,3,,,,,
"""處""係咪真係咁重要？",*sigh*,其實 塊膜可能做吓劇烈運動都會破裂，同埋厚薄都因人而異所以有d人易破裂有d經過多次性交都可能保持完整嘅膜,香港其實係極度保守 性教育極度落後 只係少部分人西化咗先開放😂,1,19,,,,,
yia大堂個到可唔可以食野,YIA好多,有老鼠🥲,why not,1,3,,,,,
__,Musc chll1900 anth1020 dou ok,📷,當係fac pack讀就唔好啦爛味甚濃,11,61,,,求文學院fac pack推薦,,
U gym,遠,,,,,,,,1,1
唔知點講自己,same feeling,唉 唔知呀,,,,1,2,,,
想幫個妹揾私補,Pm,Ok,pm？,1,10,,,,,
Shaw組隊玩社區服務,Add me pls,Hi 你係讀咩架？🙈,我都有興趣 pm,3,17,,,,,
Shaw國宿：插咗Lan線都上唔到網嘅？,我都唔知，總之插得入，依家插返啱啦,rj45頭點會插得入rj11 port...,係插咗電話port,1,9,,,,,
Acct 3151  A  搵groupmate,"有無人今個sem讀acct3151A, 一齊form group 做asm？🥲",,,,,,,,1,1
有冇人想喺中大入面踩單車？￼,搵架loco山上鏟落山下🤘🏽,敬文嗰頭？,有啲路有單車徑,1,6,,,,,
陰瑜珈,男可唔可以join?,non-cc人reg唔到😭,🤤🤤😏,1,6,,,,,
Cu wifi 壞咗？,又黎,係呀屌😐,我連wifi 都join 唔到lol,1,7,,,,,
ugfn第二版同第二版(修訂版)可否通用,Email 問lecturer,我驚文本會有修改/段落有唔同,我之前都係用第二版（出咗修訂版），應該ok,1,4,,,,,
志文調ihouse/紫霞,有冇紫霞男想換志文,有無人知行想調紫霞 pm me🥲,志文男想搵rm...,1,23,,,,,
MGNT1020C (David)有冇朋友仔🥵,上堂上到好迷茫，咁快就要交HBR assignment，完全唔知點做，求救:-(,,,,,,,,1,1
UGEB 2401B Astronomy 求救,我都想join,pm?,,,,3,16,,,
點解我會冇朋友嘅,其他人一定難以想像我既生活係點失敗法,佢係邊🙁,因為你未遇到你嘅朋友,2,8,,,,,
總係覺得￼roommate 佢喺度意淫我￼￼,pm me want know more,呢啲人要落地獄,我唔enjoy 呀,1,24,,,,,
上星期二交完學費，CUSIS冇show繳款結果,依家去問下銀行點解會未show😞，明明交左變左遲交,係,我去恒生銀行現金繳款，想問咁耐未show我交，係咪唔正常？,1,3,,,,,
Reg Shaw locker一問,同問,想問今年shaw係咪冇得reg locker？想reg伍何曼嘅locker,,,,1,2,,,
__,條腿好正💦💦,做完gym喺更衣室撞到佢沖緊涼,點知的😳😳,3,21,,,GRM 男神,,
中大信用卡要批核幾耐？,一星期，申請後第10日收到卡,我一個月,如題,1,3,,,,,
文質人加我微信,We chat hugumak,We chat: hugo1991,,,,1,2,,,
收acct3142 source😭,求下🥺好想好想去exchange唔想今個衰喺今個sem到🥺希望可以平少少！,,,,,,,,1,1
放負係唔會令我識到朋友,萬聖節 聖誕節 復活節 中秋節 可以試下唔自己一個嗎😦,,,,,,,,1,1
報exchange,可以後補,想問報exchange嘅時候已經要有ielts成績抑或可以後補資料？,,,,1,2,,,
ibba exchange,MIT 哈佛,通常啲人會去咩國家，邊間u多🧐,,,,2,,,,
今年三大係咪得番學生報,好似得距地招莊,純碎好奇一問,,,,1,2,,,
Danso freshman team好難入？,入到嘅其實唔難ε٩(๑> ₃ <)7з,,,,,,,,1,1
重點係我連一個朋友都冇,Pm!,假 得個講字 冇人想同我做朋友🙁,我做你朋友囉,1,7,,,,,
Secret angel 一問,唔會，但抽中你果個會唔開心,有少少la😂,你有興趣😂？,1,16,,,,,
公眾假期CU有咩canteen開￼,遠,研can,,,,1,2,,,
Secret angle ￼點搵？,認同,用量角器👍🏽,Maths 1025,1,3,,,,,
人蠢有冇得醫,咩major 😂😂,same,屌 自己好蠢 學業又唔掂 社交又唔掂 咩都唔掂😦,2,9,,,,,
人生冇意義 好頹 好攰🙁,2012年,幾時世界末日,🙁,1,5,,,,,
唉,是,有咩好唉,,,,1,2,,,
danso多唔多人爭上莊,我驚太多人爭上唔到啊 唔係驚唔識條,係咪好chur架 會唔會爛grade,唔識跳舞都上得,2,4,,,,,
扶青好唔好挽,no,why,NO,1,3,,,,,
Nursing Year 5住唔住hall好,大家year5會唔會返中大架 定日日都係PW,,,,,,,,2,1
一人一個MUSC 1000 kam撚,我 不過唔係今個sem,全部大yo狗,push,1,3,,,,,
我唔係正常人,入到大學嘅都唔會係正常人…,瞓未,但係現實係無人會幫我 無人想理我,1,4,,,,,
夾租chegg,😂😂,咩網🙈,,,,1,14,,,
__,Heyy,Me,me,2,10,,,ugeb2401 find study partner,,
MUSC 1000係咪專出kam撚￼,有冇ig😝,唔係 全部都係音樂男神,,,,1,2,,,
UGEB 2401A 求救組￼,Ok,try try this?,,,,1,7,,,
請問ugfn電子版邊到有,TRUE,其實所謂嘅電子版只不過係張實體書scan咗擺上drive 然後再代代相傳咁解 唔係真係ebook,係,1,6,,,,,
今個sem幾時有得late drop?🤯,遲啲會公佈,冇,firm一定有？OAO,1,3,,,,,
原來就嚟要畢業禮,有冇得zoom畢業😹,但係冇朋友😹😹,,,,1,2,,,
志文男想搵志文女,知行男想搵知行女🤤,有興趣既pm呀,Hello 有冇志文女呀,1,3,,,,,
有無人仲未有roomate,UC,你咩書院,+1 未有rm,1,4,,,,,
有冇人未打針,有,有,有,1,4,,,,,
有冇人而家先收到email通知有宿,想知會派邊間宿,我都係na依家有！,有 na🙊,4,,,,,,
有冇國宿嘅缺牌腳？,好悶想join😢,,,,,,,,1,2
Cc陸運會工作人員,lm,同問,去邊到apply???,1,3,,,,,
cc換宿,新宿想換五高單人房 男,hi pm,新宿想換五低🙏🏻,1,37,,,,,
垃圾如我既生活☹,自閉☹,一個人都唔識☹,好討厭自己☹,1,9,,,,,
想睇精神科醫生,thanks thanks🙇🙇🙇,same.我都想去大學保健室睇 出面太貴一直無睇,去保健處睇普通科醫生，照同佢講下你嘅情況，佢會轉介你去精神科（中大有駐校精神科），都係免費。建議可以同事搵埋輔導處Anyway，加油，你唔係一個人,2,10,,,,,
有冇人想同我做朋友?,Pm,pm,pm,5,166,,,,,
宜孫打牌群組,有興就pm我,,,,,,,,1,1
☠,咁你識做啦😏,其實伯宿都係咁,真試過朝早扯住旗起身 姐姐喺我房倒緊垃圾,2,7,,,UC湯宿姐姐,,
"組隊參加case competition, 有興趣請join",Pm,,,,,,,,2,58
組隊玩case competition,Hi我有興趣玩！我yr2 社科人冇經驗 但係有讀econ course 想問有冇人仲爭人可以畀我join🙈🙈🙈利申唔會freeride,PM,Pm,1,55,,,,,
除咗住hall同上莊 仲有咩途徑識朋友？,聽講唔chur🤔,點解嘅？😂,Campus y,3,20,,,,,
逸甜究竟好無挽,興趣莊夠hea 玩下又夠宿分,又無咩活動 又寫唔到cv洗唔洗咁多人爭🤔 523甜品又係,莊*,2,16,,,,,
有冇人讀過mgnt1070?,push,"The prof is Professor CHOI Wai Shan	想知龜好唔好 唔該",MGNT1070 The Founder’s Journey: Entrepreneurial Mindset and Design Thinking,1,3,,,,,
有冇中大單車友/ group?,想踩返,,,,,,,,1,1
PwC grad job referral,PwC grad job referral1️⃣ skip screening and directly get VI2️⃣ skip screening and VI and directly get Superday (limited quota)3️⃣ mock interview chanceTg at https://t.me/pwcreferral if interested👏🏻,Push,Push,1,24,,,,,
新亞水運會￼賽道 時間嗰啲嘢係邊度睇？￼,當日先知,,,,,,,,1,1
MUSC1000 music journal點做,啱啱add乜都唔知🥲🥲,,,,,,,,1,1
收女宿 any college!!!,收女宿 tg: @Useajfj,,,,,,,,1,1
__,收女宿 tg: @Useajfj,可以留低Tg傾下！,,,,1,2,有冇人賣UC湯宿（女）？🙏🏿,,
未成莊己經鬧大交😪￼,利申巴,有咩所謂 我都有男朋友,我有男朋友,1,37,,,,,
__,Push,Add咗冇耐有冇人可以同我講返上幾堂教乜🥲🥺🙇‍♂️🙏🏻,應該都係9吹大會 利申fm,1,4,,,音樂系/讀過MUSC1000入,,
GRMD2105搵groupmates,Can!!,我地都差兩個，可唔可以pm🙇🏻‍♂️,Pm,1,12,,,,,
想問下UGFH阿康字數捉得緊唔緊 超過少少會唔會扣分,唔好超得太多就OK,上tuto 佢講過rj 字數呢啲嘢唔係大問題,,,,1,2,,,
__,基本上唔係Global Business會好難入，今年收咗唔少都係呢科，識人Qfin都入唔到,等佢招人個陣靠實力入,大家會唔會有referral介紹🥲🥺thanks thanks,1,3,,,點樣入BCG做PTA？,,
UGEB 2222 揾groupmate,Hello有興趣 tg:Harrychan1130,Push,如題差3個！有興趣留tg~,1,3,,,,,
搵搏盡groupmate玩case competition,Any yr3 wanna join case comp? Looking for experienced ppl (Me yr3 too),Pm,final year表示未玩過 有無隊缺人想join pm please,2,83,,,,,
AIESEC係咪個個都pass grp interview?,聽講個個都pass 又好缺人 唔知join 唔 join 好,,,,,,,,1,1
用信用卡喺e-banking交完學費要幾耐先confirm收到,係,入錢囉,請問係要將錢先轉過去信用卡戶口入面再交？,1,14,,,,,
湯宿求換陳宿,我絲🥲🥲,恆生ok嗎（巴打）,,,,1,2,,,
蕉rm煮宵夜比我食🥺,我煮,巧肚餓🥺🥺,,,,1,2,,,
段皇爺公開信已出,可接受 可改善 第一個肯公開譴責嘅校長,值得叫聲段校長,,,,6,6,,,
支持黃色經濟圈嘅入一入嚟☺️🙏🏻￼,黄色经济圈是垃圾,又係你呢啲垃圾 😂,原來係咁🙁🙁,3,10,,,,,
__,如題,,,,,,,有無人陳宿想換湯宿~,1,1
人哋開心既同時我唔開心🙁,懷疑自己出post,是,點會有人係唔重要呢我覺得唔開心既話可以同人chat下就算未必有實際幫助但係分享下唔好屈住屈住應該會好D,1,4,,,,,
KORE(I)嘅課程內容？,只係intro course only,Topik level 1都無😅,"This course invites students without prior knowledge of Korean to explore the basic features of the Korean language. Supported by audiovisual aids, students will receive intensive practice in spoken and written Korean through interactive class work, homework and online exercises with special emphasis placed on oral communication and pronunciation. They will become familiar with the basic concepts of Korean grammar and learn how to interact in some simple everyday situations.     Learning Outcomes  Upon successful completion of the course, students should be able to(1) read and write the Korean alphabets (Hangeul) without much difficulties;(2) talk about topics such as everyday greetings, asking/giving information, shopping in Korean; (3) compare and interpret the current Korean society and its culture.",1,5,,,,,
依家有冇網球班？,新手唔識打,想打可陪練,非PE,1,3,,,,,
__,唔該曬你呀！！🙏🏻,係啦,"""Students who are absence from class for three times will be subjected to a deduction of one sub- grade from the overall final grade of the course.""我想問大家佢咁講係咪即係一次absent唔會扣分？🙏🏻",1,6,,,請問 新亞 gena1112 缺席一次會點？,,
Shaw換房,Ok,dm傾？,男,1,6,,,,,
有冇人用過還書箱？,因為趕時間走，所以冇行去cc lib🤣Btw，件事解決咗啦，唔該晒🥰🥰,行過啲CC lib有自助還書機即時睇到結果lol,尋日喺yia上堂，趕時間順便扔咗本書落去yia個還書箱到，但係今日睇library record仲顯示緊未還書。想問有冇人都試過係咁？,3,3,,,,,
想問中大係咪冇soc 玩tcg (card game),我見中大好似有boardgame soc,Pm?,我有挽,1,4,,,,,
business莊同商科有關?,Year 4上唔上得,四小妖會好啲 marketing 名會靚好多,上莊對寫cv真係冇用...,1,8,,,,,
__,我都想知佢做咩份功課真係搞唔掂,,,,,,,有無人知wang xx嘅DSME 2030做緊啲咩,2,1
Nurs yr4入 想知yr3 percussion個lab,唔想上..,經歷*,冇經驗過，答你唔到,1,6,,,,,
放fn書,Price?,有意dm🤤,,,,1,2,,,
誠收medf 1011 書,求Basic Concepts in Biomedical Sciences I （2015 edition）～,,,,,,,,1,
伯宿想換房🥵,Pm,same here 😪伯宿ba,c,1,5,,,,,
我人生係零,起碼仲有人覆你,我都係,冇朋友 與世隔絕 冇人知我存在😦,1,16,,,,,
中大magic soc,Mo,有冇人買咗個啤牌，想問o唔ok🤔?,follow magic_sss09,1,5,,,,,
今個星期已經week 3,做乜咁諗唔開唔走堂？,返學等放學,一直倒數仲有幾耐完sem,1,6,,,,,
有無人讀緊高階普通話 覺得點,讀過 輕鬆 好grade,lm,lm,1,4,,,,,
遲交書院學生會Soc 費 有無後果？,無得拎 一本無q用既行事曆,參考下：https://www.facebook.com/CUHKSecrets/posts/cu1007-%E7%9C%9F%E4%BA%BA%E7%9C%9F%E4%BA%8B%E5%AD%B8%E7%94%9F%E6%9C%83%E8%B2%BB%E4%BF%82%E5%8F%AF%E4%BB%A5%E5%94%94%E4%BA%A4%E6%9C%80%E8%BF%91%E6%88%90%E6%97%A5%E8%A6%8B%E4%BA%BA%E5%95%8F%E5%AD%B8%E7%94%9F%E6%9C%83%E8%B2%BB%E5%8F%AF%E5%94%94%E5%8F%AF%E4%BB%A5%E5%94%94%E4%BA%A4%E7%AD%94%E6%A1%88%E4%BF%82%E5%8F%AF%E4%BB%A5%E5%98%85%E7%B9%B3%E8%B2%BB%E5%96%AE%E5%AF%AB%E5%88%B0%E6%98%8E%E5%A4%A7%E5%AD%B8%E5%8F%AA%E4%BF%82%E4%BB%A3%E6%94%B6%E5%AD%B8%E7%94%9F%E6%9C%83%E8%B2%BB%E5%97%B0%E7%AD%86%E5%94%94%E4%BF%82%E5%A4%A7%E5%AD%B8official%E8%B2%BB%E7%94%A8%E4%BD%A0%E6%B7%A8%E4%BF%82%E4%BA%A42/769015296535921/,可以email講唔交,1,10,,,,,
有冇人yr2先嚟tran科？,兩年嘅 major 都唔少嘅，仲有可能唔同 facaulty package...,看下你幾耐讀晒果科d major requirement咯 讀晒咪5洗defer,,,,1,9,,,
Case Comp Team同CCN 係咪神科圍內玩,ECON表示想玩,Ching一齊報？,唔好妄自菲薄，夠料嘅話咩科都會收你嘅！,2,4,,,,,
招ANTH1020 groupmate,4個係一早form咗？,依家有4個人差一個 有意pm!!,,,,1,2,,,
"Social work yr 3,4你咪真係咁chur?",揾食就 social work好 d,真…,IBBA,3,20,,,,,
Trans科,Pmpm,你又PHPC tran hist?,通常最盡可以比你爭幾多分,2,24,,,,,
放fn書、普通話clcp2703書,想要CLCP2703書,有意dm!,,,,1,2,,,
Veriguide話有problem點算好,唔記得啦 不過最穩陣就email lecturer問點做就實冇死,😂,兩年前嘅po都摷得返出嚟,4,10,,,,,
已經唔識大學生啲潮語了😦,係😂😂 但多數人學咗人講都唔知係出自jfft/ 唔識youtube五皇係邊個,多數都係jfftone😂,0尊,1,5,,,,,
放普通話中級書,Ok,pm,有意pm,1,3,,,,,
Year3上學生報莊會唔會好chur?,主要都係寫文、設計同埋印刷,仲有冇其他？同埋有冇話一個月要交幾多文？,學生報要做埋設計的,1,5,,,,,
__,有冇推介,Hi,,,,14,18,我想食大隻仔ahhhh (hehe),,
有得zoom仲返去上f2f係咪好傻,有fd一齊上就唔係,拎JULAC卡去求其一間大學嘅圖書館上zoom，咁應該可以專心到,係,1,4,,,,,
多唔多人自己一個去傾莊,會比人暗中笑你一個人去🥲,以前去過社服傾莊 大部分都係自己去🤣,成年人啦大佬 做自己想做嘅野洗鬼搵fd陪,1,11,,,,,
斷莊,你講全莊一齊quit嗰次?據聞係頂唔順啲上莊,SCBA好小圈子㗎 佢地只係會揀啲chur 嘅人一齊挽 如果見你摺啲毒啲 都唔會同你挽 同埋佢地好BA撚,,,,1,9,,,
多數人會上幾多支莊,投票掛 應該支支莊都係投票呢兩年逸甜特別多人 因為靚仔靚女多,年年都咁多人?,佢會點樣篩人,1,9,,,,,
有冇人做過LSCI4000 & UC fyp ？,可唔可以賣份paper比我參考下格式？完全唔知要做啲咩Tg: kat_bibi,可唔可以賣份paper比我參考下格式？完全唔知要做啲咩Tg: kat_bibi,,,,2,2,,,
MTR Travel Scheme,續咗lu,我卡都收埋,有啦,1,11,,,,,
CC换宿,OK嗎,Hi,Ihouse1 男,1,7,,,,,
爆cred,冇用過唔計,想問爆到去20 creds但最後淨係reg得17 creds下個sem係咪都可以照reg 18 creds定係會少咗creds reg,,,,1,2,,,
上短莊宿分可以加幾多,我睇曬個website都間唔到做短莊幹事可以加幾多宿分,,,,,,,,1,1
CHLL3411媒體寫作坊,push,push,請問可唔可以send course outline俾我？之前撞時間去唔到聽🥲tg：cccmm58,1,6,,,,,
摺毒kam應唔應該上莊,例如有啲咩莊,上啲唔chur識吓人咪算,大部分長莊一律chur,1,11,,,,,
⛹,係,如題 同埋下個sem先上pe 之前上ras reg咗個workshop 點樣先知自己係咪成功apply？,,,,1,2,想做gym係咪要join個workshop先入得？,,
傾莊唔順利⋯,咩感覺,但係真係鍾意嗰種感覺⋯又唔知點樣同人frd啲,傾莊人夾人 無謂勉強,1,11,,,,,
短莊難唔難上,要fd搭fd,lm,,,,1,2,,,
exchange花費太大,有 但唔多，除非你讀書勁加窮,幾千蚊一定有 想要多啲就睇吓你夠唔夠窮,乜有咁易攞咩？,1,7,,,,,
讀幾多科好,你點apply爆cre的😦,Self-learning Chinese?,Assembly??,1,14,,,,,
覺得新素can好唔掂,意粉仲好細碟 女仔食完都唔夠飽 🥲,價錢真係貴左啲,之前嗰間好食好多wor 全部野熱辣辣有味道 啲staff又nice,4,11,,,,,
有冇reg手語嘅同學？,要拍大概三至四條片 交功課 有個人有兩人一組 midterm就睇片答短答 考試就睇片答題 加七分鐘內單對單同老師傾計,Kenny Brenda very good,佢哋係聾啞人士，你大聲講屌你老母都得,2,26,,,,,
過咗交學費嘅deadline會點,俾多200,好似要比多個手續費,,,,1,2,,,
大家一個sem讀幾cred,點解冇得揀21cred?,Final year 18cred由 yr1 開始就每個sem都起碼17 cred 嘅工作狂,成班讀撚,1,9,,,,,
有冇人知中大茶樓有冇開？,本部/uc,咁多間茶樓，你講邊間呀？,有冇人知中大茶樓有冇開？ 價錢大約幾多錢？ 未飲過，想試下,1,3,,,,,
UGED2326 comic arts伏唔伏,好似好少人讀,,,,,,,,2,1
上莊係咪會成日攪到好夜？（冇hall住+住好遠🥶）,唔係,系莊都係興趣莊？,除宿生會學生會扶青其他都係興趣莊,1,22,,,,,
想問扶青好唔好玩？,chur,你預85%yo 15%social work,Chur爆,2,4,,,,,
系莊有咩做,聽講好忙,,,,,,,,1,1
☺️,想要fh,Fn有興趣,想買fh書，pm,1,8,,,平放fn fh 書,,
收fh書！,急求fh書…🥲,,,,,,,,1,1
與人文對話,Hi請問放咗未呀？,可以影相 有意pm,,,,1,4,,,
好羨慕人哋可以晚晚通頂玩😢,抵啊,依家搵你玩又唔答抵啦,今晚？你想玩咩,2,5,,,,,
日文教科書嘅疑問,原來係咁，過咗 add drop 就局人買都好大機會 😂,不過你等佢真係唔upload個下先買書都唔遲嘅,以前試過剩係會upload頭幾堂 homework,1,7,,,,,
其實食paper and coffee應該要幾點去等？,11:30去排隊 12:15先食到,朝早九點,喺未打蛇餅之前去,3,4,,,,,
幫幫手填fyp 問卷🙏🏻,Push,您好，我們是香港中文大學聯合書院的四年級學生。現正進行畢業課題研習，以探討港人追求黃色經濟圈對生活素質的影響。是次匿名問卷收集的一切資料只供是次專題研習之用，絕對保密，並將於是次研習結束後，將所有資料銷毀。填寫這份問卷約需五至十分鐘。麻煩大家幫手做一做同share出去🙏🏻🙏🏻辛苦哂https://forms.gle/Ec7Q9ft9n1q7ZwTEA,,,,2,2,,,
一齊上UGEDLogic🤚🤚,每班都無？？,呢排無 遲幾個禮拜會有返,上年 sem 2 UGED1111H 🙌,1,19,,,,,
有冇試過大麻😛,今天沒大麻在身,唔係yo既人 冇人搵我😦,成日聞到仲要我唔係住hall,1,10,,,,,
想問acct3121 course outline,我讀3142😖,見到了thx 你今個sem讀?,share point hv,1,4,,,,,
有冇人讀緊chll4410現代文學專題,唔好咁在意grade,點解咁少人enroll，係咪易爛grade😢,,,,2,,,,
收KORE1000書,Pm,Pm,有冇人有韓文1嘅書可以放🥺,1,3,,,,,
