参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
［認真］科大入面有diagnosed精神病嘅有幾多人,自己有咪睇下其他人囉,樓🐷做咩咁random無端端咁有興趣,我自己禁錢睇私家蠢左 科大邊度申請洗錢落我度︖ 社工完全無提到,2,22,,,,,
__,Push,Hello，請問你係唔係有isom1380嘅source？,,,,1,9,收 ISOM1380 source,,
Sell hall 3 female double rm!!,I want! I am male 😋,want pm?,Anyone want hall 3 female double rm?,1,3,,,,,
（轉租）大埔仔3K/month 水電全包 male only,有大埔仔單位轉租，2月-7月尾，有意可pm,有冇人有需求,要小寫pm,1,7,,,,,
有冇男一齊租大埔仔村？,有大埔仔單位轉租，2月-7月尾，有意可pm,Pm,Pm~,1,14,,,,,
有冇人一齊租大埔仔？,有大埔仔單位轉租，2月-7月尾，有意可pm,住大西北 無hall...,傲龍4房四五萬一個月都有啦,15,23,,,,,
__,有大埔仔單位轉租，2月-7月尾，有意可pm,有冇人夾租,,,,1,7,下個sem想住大埔仔,,
大埔仔村相認,有 可pm我 包水電免按金,知唔知仲有冇人出租🙏,我爸爸見我入亞洲MIT即刻買左層比我住,1,8,,,,,
我熬夜熬到會半夜狂笑,同埋好多mental illness 都係long term physical illness引起,樓主可摸以send下啲搞笑片黎 我好耐冇笑過了,但樓主認真要睇睇精神科,3,14,,,,,
Econ3334出grade,yes,u L2?,📷,2,8,,,,,
civl3510 已出grade,比想像中爛grade🤣,？ 放低你個放大鏡，依個舊po來,分同grade都唔識分?,2,16,,,,,
__,21號present完接近3個禮拜都未出grade係咪玩嘢,,,,,,,Econ 4364肯出grade未,3,
見到此po 大家｜運氣值+1000%｜,Ok,樓主應該講｜運氣值+1000%｜,😮‍💨,4,17,,,,,
有冇人讀過 envr4330 gis course？,Push,Push,Push,3,6,,,,,
有冇人覺得goop 開始變得冇營養,開埋淨低嘅7X，油頭見,lmao 我得5x,我得129 你貢能多。。,2,16,,,,,
想買女winter sem 任何 hall 位 價錢可議🙏,小妹都係🥺,我想食奶醬多,goop居然有女仔，仲要叫奶醬多,1,7,,,,,
Comp 1029V,Click on the fire hoop to chat,Pm,Tg: Gggg Wwwggg,1,11,,,,,
收Sosc2130Education and Society,🥹anyone,Push push,Push push,1,4,,,,,
Huma2640 出grade,A- 一般grading,有冇人打算email問下,,,,1,11,,,
FM 想問喺科大 點先算係一個好嘅GPA?,Diu,其實都唔一定嘅，見過cosc+math。 但cga得3.95都勉強apply到。,Not sure，但如果apply 美國啲cs master，例如ucla。ust絕大部分要double major cosc/cs+math。 同埋cga at least有4。,4,47,,,,,
__,95.26%,Overall 幾多%,Joseph Wong real trash,20,,,,LIFS 2070 溫書￼懶人包～,,
有冇人同我一樣,你痾尿起左腳定右腳？,左腳同右腳,左手同右手痴埋一齊都叫爽 ？,1,8,,,,,
[認真] 下個sem想讀comp2211,pm pls,多謝你先,Pm pls🙏,2,96,,,,,
Anna Yu Wai Yin 係咪killer？,幾好人,另一個anna超好grade喎,另外一個anna yu先係killer,1,17,,,,,
ISOM 2400 group,Pm,pm,,,,1,16,,,
收chem1030 pp,Pm,pm,have free midterm pm me,1,4,,,,,
轉：我個中同讀左科大之後就失蹤左,https://goop.ai/topic/cKY8/我個中同讀左科大之後就失蹤左?ref=goopapp,,,,,,,,1,1
羽毛球組團(仲有2-3名額）,Push,Pm,pm,2,8,,,,,
year1 cga1.5以下點算,唔係太介意,你當d warning係成就就ok,冇乜說服力😂,1,29,,,,,
收isom2400 source,pm,pm,同收🙏🏿,14,,,,,,
有冇人完全唔後悔入ust?,1,入到黎後悔就係因為你地班毒L 蝦女仔,無,1,5,,,,,
Core elective CC,Thx,可以Free elective=任揀CC讀,舊,1,5,,,,,
"放 Econ 2123, fina 2303 source",Pm,"pm I have his past exam paper, quiz, testbank, solution manuals, ebook",Pm,1,18,,,,,
__,我派source會另外開po,係咁你咪好，不過你讀過咩科？有咩source?我想要,同上同埋犧牲考試時間≠一定要畀錢買先得,1,21,,,買過最貴幾錢 source？,,
Hall waitlist 幾時先會郁,anyone want hall 3 female？,排150左右有無機,,,,2,2,,,
__,pm,you hv notes?,Push,1,3,,,收HUMA1100 notes,,
Fina 3103 final,Good grade,好難,,,,2,2,,,
HUMA1920 點評,大把yr3 4趕住grad讀,fm reg唔到架啦,FYI: HUMA1920 係 Moral Philosophy,2,4,,,,,
各路理科高手/製造業高手，小弟誠懇地有嘢要請教,恭喜，ust有愛,恭喜恭喜,感激🙏,5,19,,,,,
MATH 3423 2421 PETITION後續,Please remember to record,咪話要傾下到底有咩不滿咁囉,點照肺法？,2,5,,,,,
Fm想知Dean list有乜用,Thx anyway,On9 ust,咁等yr 2 declare major 之後hea讀算 😂,3,17,,,,,
civl3310 終於出grade,你咁嘅智商下年再讀過啦,係,你係咪覺得好好笑？,1,5,,,,,
2810 出grade,A,Fact chexked,,,,2,2,,,
收 ISOM 1700 exam source,Dm,Pm,Dm,3,29,,,,,
music course今個sem開始淨計art cc!!,垃圾huma1100，千企唔好讀,係今個sem先轉之前讀左應該無事掛建議上sis check record,上sem讀咗仲有冇得計huma cc?,2,3,,,,,
sosc1420點,anyone hv source？,好讀？,,,,1,2,,,
Cs 前途,做ptgf輕鬆過十萬一個月,小妹做滅鼠助理。月薪60k,,,,2,40,,,
其實ust有冇LGBT group?,想kill them all,想join anti LGBT group,Rainbow bird?,1,3,,,,,
放isom2500 sources,"have testbank (with proof: prof select q for quiz and exam), mock, past exam paper, all asm with model ans, quiz, 7 sets sample quiz & practice",Pm,Sorry shd be click my icon ( shd have fire ),2,11,,,,,
收今年fall sem 2421 YCW source,慘,1014 A+ 2411 A+ 2421 B-,多謝YCW,2,12,,,,,
ycw集中討論區,佢地講咩,大佬人地唔喺香港都煩到人 你做多左啦,MAEC,1,14,,,,,
有冇人宜家翻緊K記CP,大家開唔開teams group,Anyone 黃竹坑 MC?,,,,3,34,,,
想問mse幾時出result？,12月1日,sorry大家我已經搵到了,推🙏,3,,,,,,
放hall4 男hall位,Pm,Pm,Pm,1,4,,,,,
平放isom1700 source,"ISOM1700 A-Range Source includes 2019 2020 2022 IPRS quiz, notes, assignment",pm,"ISOM1700 A-Range Source includes 2019 2020 2022 IPRS quiz, notes, assignment",2,8,,,,,
有冇師兄讀過ISOM1700 winter? 想知伏唔伏🙏,"ISOM1700 A-Range Source includes 2019 2020 2022 IPRS quiz, notes, assignment",Pm,Pm,6,89,,,,,
收isom 1700 source,"ISOM1700 A-Range Source includes 2019 2020 2022 IPRS quiz, notes, assignment","ISOM1700 A-Range Source includes 2019 2020 2022 IPRS quiz, notes, assignment",Pm,2,5,,,,,
有冇isom1700 final sources,"ISOM1700 A-Range Source includes 2019 2020 2022 IPRS quiz, notes, assignment",pm,Pm,3,6,,,,,
Charles Zhang 十宗罪,.,🤡,?,4,4,,,,,
放ISOM1380 source,Pm,Pm,Pm,1,4,,,,,
大家第一份intern係幾時,博一博單車變摩托,second half correct only,水尻人,1,4,,,,,
__,pm,pm,Pm,2,9,,,放 acct3610 兩個sem A+ 齊sources,,
[突發] Charles zhang又教3021！！！,唔抵得人靚grade,Space明顯係呃人，唔想人reg Charles Zhang 刷grade,Space有一定可信性但charles zhang教得差係事實隨便喺gööp搜尋吓都揾到,1,38,,,,,
__,1-6都係咁,拉。小妹嗰日去錯男層唔識痾屎,陳年老po,4,23,,,大癲，Hall2有人唔識痾屎，有圖，吃飯勿入,,
DDP COMPGBUS,Owen Lee 世一,Daniel 大佬,COGBUS+AI nice：),1,4,,,,,
ISOM3400 jiajia vs james,James 又靚仔又靚grade,James 絕對係垃圾,因為咁代表你唔係第一堂之前學過有底,2,11,,,,,
ISOM3230出GRADE,James 不嬲都靚,This sem leng grade,,,,2,2,,,
寶琳男夾租,"interested, pm",pm,pmpm,2,16,,,,,
Gbus mse interview,應該係 btw good luck on ur interview!,可能關personal statement and Cv 事🥹,我都係但冇🥲,2,10,,,,,
入來放低econ3334 成科幾分同咩grade,👋,問左A+嘅cut off係86,,,,1,2,,,
Econ3334幾時出grade,有事請教🙌,上個sem黎喎 師兄,Hi,1,4,,,,,
下個sem huma有開anime,Yes,似伏course,自己去sit堂算啦,2,22,,,,,
收FINA2203 PI Lynn Sources,Both of them are good,shoutout to veronique,fina1303 >> fina2203 as a cc,1,12,,,,,
"讀Cs,cpeg or it有關入一入",push,邊到前途好,,,,1,2,,,
Lang4030 出左grade,Push,Anyone want appeal,Push,2,61,,,,,
yr1 reg comp2011有無得霖,你會習慣自己摸索啲code嘅話咁可以一試,"Comp1021 c+ -> comp2011 B+, both taken in y1 here",PHYS 3053 4051 都唔錯,1,21,,,,,
通常FINA course 幾多% A range ?,通常都係qfin嘅,,,,,,,,2,1
收Fall22 ISOM4300 JiaJia Source,"Have ISOM3400 lecture notes, practice problems, in class ex, assignments, and final with solutions, pm if need",PM,"Have ISOM3400 lecture notes, practice problems, in class ex, assignments, and final with solutions, pm if need",1,4,,,,,
收ISOM2400 source,收 有pls pm me,PM,,,,1,2,,,
讀中文既話LANG定CORE好D？,Lang111X 係for 2021或 之前入學嘅,一定係core1XXX,2022 入學嘅冇得take lang111X,4,12,,,,,
有冇人預咗爛grade最後靚咗,I predict B- -> A,Isom2010 B+ -> A,ACCT 2010 C -> A,2,45,,,,,
收Sosc1420 sources,求source,,,,,,,,1,1
Hall 3 female swap hall,Hall 3 triple room swap to hall 2 (double room可加錢）,,,,,,,,1,1
放mark 2120 joseph source,有test bank 想要可以pm,push,上個spring sem 兩個quiz,1,3,,,,,
"平放isom2010, 2020, 2500, 2600","pm me if want have past paper, asm model ans, testbank, etc",,,,,,,,1,1
Isom 1500 grade,有冇人蘭grade,,,,,,,,1,1
求救,要 pm 我,我有個test bank d quiz 應該係個度抄出嚟,nicole 應該ok,1,9,,,,,
Isom3210幾時出grade,出咗,,,,,,,,2,1
《civl2810重災區》預先開定,出grade 恭喜晒,洗唔洗頒個獎俾你？,至叻係你啦，好未？,3,9,,,,,
求Isom 2400 source,pm,Pm,Pm,2,16,,,,,
Above mean 0.5-1 sd大概係咩grade,B,Wt about Math 2421,math1003 b-,2,10,,,,,
MSE Fina GPA required,上年唔得,My frd 3.02 B+ got in,A- 冇聽過入唔到,1,9,,,,,
有冇其他人係同year3civl一樣剩係出左一科grade,懷疑D prof放曬假🫠 要我地D學生慢慢等…🙄,懷疑啲prof消失晒,是的,1,3,,,,,
新年快樂,新年快樂，天天開心,新年快樂🍒,🍄,1,5,,,,,
ECON 2123 Zhangwenwen 出grade,咁即係你midterm炒咗啫,But Marc Marco leng grade,This year robin poor grade me final highest A,2,14,,,,,
Finance Double major,econ useless,Fina + acct la,Fina + Acct 》 Ibank,1,4,,,,,
（認真）有冇人喺ust讀得好唔開心,📷,本次不发工资,我過啲我啲GDP俾你😋,9,96,,,,,
Anyone MATH 1012 L4?,,,,,,,,,,
Transfer to IRE,🙊🙊🙊,Ost IRE應該得一個,珍😂,2,23,,,,,
MSE一問,自己search下都懶 好難幫你喎大學生,Sofy 🫡,,,,5,13,,,
__,no need mse,,,,,,,大家MSE揀咗咩major ￼,1,1
GBus vs gBus,gaybus>>>all,Sofy > all,,,,1,12,,,
1012等grade區,🤡頂好心佢快啲出grade啦,,,,,,,,2,1
[認真]大家覺得大部份科大學生係咪都好無情？,我搵唔到,雖然係有，但我諗比較唔仆街嘅人通常都唔會用goop。就好似有人話網絡嘅普及未必令更多人變蠢，而係令蠢人更容易發聲。,已經知道所以而家反制得咗,4,86,,,,,
__,對一個入咗科大嘅人嚟講讀任何course都係致命性嘅,對一個 cga > 4.0 嘅人嚟講任何 A 都係致命性嘅,對一個cga >3.7 嘅人嚟講任何B+ 都係致命性嘅,4,34,,,Core 1402幾時出grade,,
Math1003讀Ecof,唔緊要啦，fail 左都唔會有事，GPA 夠高，照入～,"math test 都係limit, first/second differentiation",MAEC > ECOF GBUS QFIN CS DSCT IRE,14,,,,,,
求isom2400 final source,Pm,pm,push,1,5,,,,,
dllm isom3260,你老味咁撚辛苦做project爛我grade？,C range dklm,grade,2,6,,,,,
想問bba is major多唔多數要計？,Isom2010 先係group project,Isom2500 好多數囉,isom2500 冇數計 得gp proj 你搞笑？,2,14,,,,,
Exchange 條件,"CGA, interview etc",間間requirement 唔同,3.5 夠去USA?🙇🏻‍♀️,1,5,,,,,
[統計］ 今年sbm yr1 cga,4.3,real,應該係全UST最冇用嘅course,3,27,,,,,
讀唔夠cred有冇機會有得揀major?,MAEC > ECOF GBUS QFIN CS DSCT IRE,係咪唔夠43cred😢,唔係兩次mse都冇major先gbm?,4,11,,,,,
到底MATH1013 L8肯出grade未？,82 A-,你嗰邊mean幾多,"我83.8有a-, Ching你大機會有",2,5,,,,,
year 1 你的cga ?,cga,想知avg 是幾多,,,,2,2,,,
civl2810竟出grade,出年再讀過啦,乜又係你呀,,,,1,2,,,
2421出grade,,,,,,,,,,
[統計]今年engine year1 cga,有冇sbm/ssci,大佬有冇咁多人爆4,屌，原本我都有2.7，俾啲垃圾course拉到得返2.2，特別係Lang course,2,9,,,,,
多唔多人acct&is?,Me,Here,hi,1,4,,,,,
低mean 0.75-1SD 會係咩grade?,會academic dismissal,如果ycw應該F硬,"如果係COMP, MATH，F都有可能其他course應該C-，靚grade啲嘅有C",1,13,,,,,
isom3260 係咪唔出grade喇？,冇,有未,等咗大半個月都冇分冇grade係咩事😅,1,3,,,,,
CIVL3310出龜,祝你出年再讀過,又9up,get a life,1,4,,,,,
3423 Ycw派左幾多個F,呢2個幾好grade,3424 嘅話,下個sem睇下xia dong/Xinzhou GUO拉唔拉得返,1,31,,,,,
Labu 幾時出grade,等收皮,我諗今日應該唔出㗎啦,屌那星出未,1,8,,,,,
Math 1013 grade,不過我冇去paper checking，去咗咁啱加番分或者會有好細微嘅機會上B-😏,算靚，不過冇Phys 1112咁靚，踩mean得C+,,,,1,2,,,
3423出grade 好爛...,...,我gpa 0.3,1 已經好好,1,11,,,,,
☺️,pm,pm,hall 5 想 swap 其他 pm價錢,1,10,,,Swap hall 台,,
出grade加速器,EMIA2010A,不過佢1:70，又係辛苦啲嘅，但係都盡快laaaaaaaa,佢上次midterm 用咗一個月改,3,103,,,,,
fm想問下通常要幾多gpa先有船?,"每年唔同$10000: top 10 percentile, 通常3.6 頭$40000: top 2 percentile, 通常3.9尾",船係中大用語黎，所以無乜人明，講番scholarship 好D😂,呢個唔使面試，夠cga 就得，fall sem 一開頭可以apply,6,13,,,,,
SOSC 1960 mean grade係幾多,89 A- L2,L1,L幾？,1,23,,,,,
Fina2303 出grade,yes,A- 就一定揀到？,就會喺year 1 spring 讀,3,36,,,,,
LANG 2030 grade,Writing overall 6.5Presentation overall：5.5Writing一邊寫一邊搵讀honor course嘅frd問vocab，沒諗到最尾7757，輸係vocab上,冇諗到有A- wor，1字頭我都係C+,,,,1,5,,,
math 2111 final分 都未出 diu慢,73.6 b- wow,想知overall 幾多先有b-,我諗跟section拉掛🥲🥲🥲,2,130,,,,,
讀埋個AI有咩優勢，其實double major係唔係更好,出面啲人都唔理咩extend major。 咪就同minor big data差唔多。 一個多份intern，一個多份fyp。,可以享受多份fyp,Si,1,3,,,,,
Sosc1960 L2 grade,正常,Overall93得B-係咪有啲問題？,,,,1,2,,,
有冇人23年去澳洲讀master?,？,Pm,我,1,3,,,,,
Fail左之後應該點,有啲要同instructor留位retake,你咩科先？,等email通知retake？,1,3,,,,,
Econ 3143,做完堆proof，都已經冇乜時間剩,哈哈，係啊勁多variable，要你自己derive一次，不過其實呢啲題型算好，起碼上堂都講過下啲proof,"我以為我考緊math, 出咁多proof 做乜",1,12,,,,,
math1013幾時先出grade呀,L2,Oh 我都見到喇,利申L7,1,6,,,,,
收hall6 男,會加錢，pm,,,,,,,,1,1
求sosc1350 pp sources,need pm me if hv,,,,,,,,1,1
2421出左grade,係wo,,,,,,,,1,1
想知MATH1003 幾多分有A+,92.85 A,97.75 A+,,,,4,10,,,
civl3310出grade討論區,Get a life bro,ustthing,其實你真係好無聊，冇嘢做就搵啲嘢做啦好嗎？,1,5,,,,,
isom3400出grade,已含,,,,,,,,1,1
有無人讀過SCIE 3110,有啲野想問 有無ching讀過可以pm,,,,,,,,1,1
Lang2010出龜 點樣appeal,新嚟多數教一班,做得Course admin姐係本身教咗個course幾耐下同埋教幾班,ok thxxx,2,23,,,,,
LIFS4200 grade,Second exam should be many people full marks i think,40%,I think group project matters the most,1,8,,,,,
好想appeal mgmt grade,C姐,,,,,,,,1,1
MSE acct major,C+都揀到…,咁B-呢？🥲,"Yes,我B入",1,5,,,,,
__,搵小妹,上goop,屌到女,1,6,,,其實科大有咩機會可以識女仔￼,,
Fina 3303,Midterm below mean 20% 都有B 幾靚,半份卷空咗 slack無講過嘢都C+ 🤤,可能final真係太癲，反而最後grading幾lenient,2,12,,,,,
ACCT2010 派grade?,L2 終於派grade 但都係冇分,L9咩都未出,L15連分都未派就派咗grade喇,1,4,,,,,
MGMT科如何appeal,呢科好撚垃圾 上堂又悶喎,10% attendance (冇分出)10% participation (冇分出)20% midterm (出咗分)30% project (冇分出)30% term paper (冇分出),一定啦，呢啲嘢就係Professor/TA主觀俾分，基本上好難appeal成功。,2,13,,,,,
中lang嘅大家拎咗咩grade,CORE1421 C+ 🥲,1117 全一般 = B,core1416未有🥲,1,7,,,,,
Comp1021 爛grade,50 A+ wtf,85 A+ wtf,哭撚左，1021 冇A+,1,63,,,,,
住hall,賣俾我,賣hall位，賺幾千蚊,sell it,1,10,,,,,
mcga,是,fm想問sbm係咪所有school requirement course即係acct2010 econ2103嗰d都計mcga?🥹,,,,1,2,,,
邊度check MCGA,Hkust students app 都得,📷,thx 搵到了,4,8,,,,,
civl3310 已出grade,咁驚fail啊？,祝你全家生性病老豆老母癌症死，生仔無屎忽生女做雞,死傻閪祝你fail出年再讀過,1,8,,,,,
有冇fm覺得ust唔係真係咁chur...,事實證明你啲同學會越來越chur，同埋會越嚟越明白大學考試嘅玩法,我year 1 4.0口氣都好似你咁而家year 3呢個sem跌到3.5,少年你太年輕了,4,54,,,,,
mgmt 會唔會派D,會 食過,會,,,,1,2,,,
交學費,agger,Hall錢又幾時交？,例牌開sem遲個半月先交,1,14,,,,,
平放Comp2012 source,"平放Comp2012, lecture notes, program example,8份 lab同3份PA 問題連suggested solution, 8份pastpaper ，有意pm",,,,,,,,1,1
差0.005拎到dean list 應該點做,依家dean list 已經乜獎都冇，大佬俾500蚊我食餐好都好,Same，不過我得4次，聽講以前有ceremony 依家乜春都冇，得封垃圾信,,,,23,35,,,
收source,pm i hv,Pm,有齊2511 pm,2,14,,,,,
LABU 2060,Chut grade mei 🥲🥲🥲🥲,,,,,,,,1,1
邊個soc最淫,Push,Push,Push,14,20,,,,,
MGMT4210出grade,輕鬆A+,,,,,,,,1,1
Year4 得返fyp course可唔可以交少啲學費,defer 先可以逐 cred 計學費,📷,想問要點做🙏,1,6,,,,,
__,多謝你先,👍🏻,多謝你先,1,23,,,,,
Math4995 ye guibo,好爛grade,,,,,,,,2,1
求comp4332 source,"Have, pm",求source 有嘅pm,Pm,1,5,,,,,
Comp4211幾多分有a range,89.3 A,94.6 A+,,,,1,2,,,
壓力好大,小妹可以幫你紓壓☺️,識人透過跳繩改變心情,文具舖$20買到條繩,1,6,,,,,
唔撚想讀書啦,真 完全0識,civl3310我屌你老母累撚到我要defer,科科都同一個grade 上唔上心都同一個grade 咁我做咩仲比心機讀,3,13,,,,,
收rmbi4310 source,pm i need,"Have 3 years final pp, pm if need",Pm,1,5,,,,,
acct4510 出grade,其他course都有TA成版改漏😂點解唔比得人知,咁都得😅？,咁串？,2,19,,,,,
math3312報分區,92 Α,F左,,,,1,4,,,
civl2810出grade,Same,如你所願 出年再讀過,撚有grade,1,5,,,,,
Exam Paper checking一問,2411直接no solution and no paper check,智偉垃圾,jp,1,7,,,,,
Comp3111勁靚grade,I love Kenneth,Kenneth 世一,Kenneth😍😍,1,4,,,,,
Lsk/ Shaw 係咪唔使戴罩,咁無計，啲防疫巡邏犬真心煩,Libra不嬲shit，UST大把更加好嘅地方,佢地唯一作為咪就係捉學生無帶罩,2,11,,,,,
識下女仔frd,pm😚,小妹真絲,講錯小妹系c,1,16,,,,,
有冇人住hall8？想抱抱,嗚嗚抱,抱抱❤🤗🤗🤗,,,,1,2,,,
夾Netflix 仲有一個位,Hi,,,,,,,,1,1
__,一定要大大力生,響應三胎政策,Nikiny,15,34,,,同男朋友有咗bb,,
dse咩level先可以喺PHYS 1112拎到靚grade,5 -> 冇帶cal 機入試場考final C+,3 -> A-,,,,2,62,,,
Yr4 無朋友😢,Year 3 只有爛grade 其餘乜都冇,Year 2 Seng 冇朋友,珍🥹,4,40,,,,,
小弟想問下Comp3111Hoverall90有乜grade,原來係咁 感謝解惑,Project做多樣野,咁佢分h嘅意義係咩🫠,1,15,,,,,
__,永恆too 真心,Carry me,Pm,1,13,,,有無人一齊可以打傳說(至少戰場0星，最好25星),,
math1014 source,source超全 还有past paper 和asg答案 pm我直接发,1014,難有wor,1,8,,,,,
如果有Honour版math2023，會有幾深？,請將hhm加入排序到,Ivan教既course係比較難,Ivan>ff>ym,1,15,,,,,
Phys1003 幾時出project分,我仲要靠呢個course拉分,Lol,份野due咗一個月我全部course差佢呢個分Apply for graduation 嘅Cheung Man Fung 做野可唔可以快手啲,1,3,,,,,
聖誕毒撚一個落樓下食燒味飯都要被閃,好狠，好彩單身😂,因為ust學生都好有imagination,祝天下情侶下場如此。,4,8,,,,,
想問下econ要乜Grade先入到？,why,但係賺最多錢,對世界貢獻係0,2,16,,,,,
"今年ibank個市好差,有無人識咩人入到?",Jack lee 邊間,Jack lee入到,,,,3,11,,,
點解我個頭咁多支羽毛,🤡,屌你老母,多枝棍啫，唔好介意啦🥺,1,15,,,,,
有冇program transfer 成功例子?,佢係double啦,Siu 4,Gpa 4,2,23,,,,,
<求救>civl3510 0溫過,死傻仔,哦,肯定有加過分😂😅,2,44,,,,,
點解COMP 1021仲未出grade,除非你揀dsct or else 1021唔重要,school叫你點計就點計,年輕人唔好咁多陰謀論 要interview有cut off要cv一早同曬你地講,1,32,,,,,
Mech Industrial training 問題,一日前會send email比你，click入去就會收到qr code,我想問喺點樣攞到QR code？大家receive 咗health declaration email sent by HKPUIC 未？Thanks,,,,1,2,,,
__,我一科都未出😨,點解可以grade都未派曬就MSE緊,,,,1,2,派grade未呀,,
comp 1021 出grade,我成熟所以要成熟C😁,,,,,,,,2,78
MATH2421 Final Exam,因為太tedious,22已經upper quartile,3423份野其實望落去唔難，但最尾出嚟好低分😂😂,75,,,,,,
點睇今年House 1下莊,唔通要去征服宇宙咩,小貓小狗兩三隻 不成大器,Mk,1,17,,,,,
Math 2411 出分,考試調返轉,今年我感覺：mt: mc 易，long que 難,應該比以前易好多 以前mean好似唔過40,1,14,,,,,
Diu快啲出grade啦,統一拉curve 咁應該冇killer,Lang不嬲遲出grade，佢係統一出,都係果句 慢唔緊要 最緊要係派個靚grade,4,12,,,,,
math1013出分,C,掂mean 係咩range 😭,L9 都未有,3,48,,,,,
math 2023 出分,WHO?,仲有冇後續,,,,6,55,,,
Mark Major ￼可唔可以入一入嚟￼,Coz many ppl like use mkt as 2nd major,Yes,咁擺first係咪就應該可以入？,3,49,,,,,
Huma 1000b 出grade,Quiz2 mean無啦啦升咗咁多 14/16先median,成科都on9,我屌huma1000b d quiz都on9,1,14,,,,,
Chem1008爛grade到,得唔得,Overall 88 攞A,,,,1,13,,,
科大牙醫一問,拉,係 不過你唔撩就咁滴落去都冇人知🤫,打咗，好撚on9，到依家都要做快測,1,9,,,,,
{出定先｝civl3730 試後討論區,頭先我見到M字頭果條友話自己A,weak,,,,2,9,,,
Math 1003 grade range,Hiii wanna ask Math 1003 absolute grading ge range is what? Is it same as Math 1013?,,,,,,,,1,1
Math 1012幾時paper checking?,TRUE,成班大陸人改卷慢到差唔多兩個禮拜都未有分佢收錢黎做乜,分都未有wo,2,4,,,,,
Math2411 出分,89 B+,Also 86 B,"Mid term 81, final 72",1,6,,,,,
MATH2011 出grade,難得數course派咁多a range,咁應該70 a- 90 a 95 a+,fk me overall 91.75 A🙂,1,24,,,,,
Lang2030 出grade,"算啦 lang course 咁爛grade, 過埋個聖誕先出仲好費事影響心情",唔拖到winter sem前一日都算你好彩,第一次讀lang course？,1,7,,,,,
有冇人識?,You’re welcome son.,Thx,Thank you,1,14,,,,,
Math 係邊到check 龜,去HKUST個math dept website 撳 Teaching 入面嘅grading system,分,,,,1,7,,,
probation,圖？,cga高過2，tga低過1.5,Prof同我講,1,13,,,,,
math1003出咗final分,100分咪知A+囉,thx,L2,2,5,,,,,
有冇人讀緊Fudan virtual exchange,Timetable 唔可以撞時間，一個sem最多一個virtual exchange,可以 無衝突的,我驚唔夠cred,1,7,,,,,
收MATH sources,Pm,Push,可以PM我出價 or直接係到講,1,4,,,,,
⛄️,收🙏🏻🙏🏻,收🙏🏻🙏🏻,Pm,1,7,,,收econ 2123 zhang wenwen source,,
Honor course 爛grade到,龍門任佢搬,懷疑佢more than half 其實係啱啱好一半 同埋唔排除有人做bonus刷咗上A range🥱,似係skew right/left,3,48,,,,,
Econ 2113 Final Source,Pm,咩case comp?,揾人join case comp ，pm 我,1,7,,,,,
1字頭數學Course 改革建議,我唔係ff,Hi ff,推,4,32,,,,,
DDP 男神,Yum chun punk,Wilson,Daniel Sin,1,16,,,,,
required course 一問,但你係啱嘅,我唔會噉講我多數會講Best X Electives with highest GPA,Elective minimum required with best GPA,2,20,,,,,
b然后bcga 2.6讀唔讀到econ,Very good chance,A- 2.68入到,你可以試下讀FINA,8,,,,,,
幾時有pass or fail,Push,大家幫手send email啊,https://drive.google.com/file/d/1JtCtPdG5g-0eT_mYeHbor_PKYUmcOMw6/view?usp=sharing,4,33,,,,,
COMP3511 Final出分討論區,93 A+ ?91 A- ?。。。呢科真係名不虛傳,90.75 A-,overall 90.85   A-,1,18,,,,,
hall waiting list,我 男 870,男 二百頭有無機spring sem reg到,,,,1,2,,,
放MATH2001 Sources 連exam,PM,Want pm,"包Lecture notes, HW answer 9份, Exam 題目+答案（YM比嗰份答案有錯之餘仲要冇題目😅）",1,3,,,,,
SOSC 1960 出分好奇怪,L2 出咗,出咗？,差太多la,1,5,,,,,
有CHEM1020 Final source ￼賣,Pm,Pm,,,,3,20,,,
phys1112 review,估唔到mean咁低,"可能真係物以類聚,幾個fri一齊摺lib,最後一個38, 一個32,兩個31..",靠chur就得,1,7,,,,,
Fudan virtual exchange,Pm,Pm,F咪冇得trans返ust,1,15,,,,,
11:00 Argentina vs France,差啲跌兩舊🫠,📷,,,,32,,,,
收 math1014 sources Alipay only,Pm,Hi pm plz,Alipay only plz,1,3,,,,,
收fina2303 goyal final,pm,pm,Pm,1,13,,,,,
__,"phys, math course向來大部分人乜9都唔識",都已經有機會b+,理論上你高過22,3,86,,,phys1112 final炒車/含春/鳩叫大隊,,
Sosc1850 final 出分?,Paper checking check 成點,?,1sd have A range,1,9,,,,,
收ceng1600 final exam,Pm,Pm,Pm,1,14,,,,,
平放 ceng 1600 final pp $20,Pm,pm,Pm,1,29,,,,,
邊度有電線借！type c,big thx,LC,,,,1,2,,,
COMP4421係咪痴線,做唔切🥲又話會俾equation，然後係咁考記憶力,連格仔線都唔俾 畫完圖都已經冇時間,,,,3,2,,,
Fina B+ 可以入？,我想揾人join cade comp🥺,Same here haha,gbus有soft skills,6,23,,,,,
(年經) 一人一個垃圾major,qfin hell grading,maec,DDP,3,77,,,,,
