参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Ge2134 final Quiz,有冇人知第一題答案係咩？,唔識做，錯咗好多😵‍💫,,,,1,2,,,
畢業袍,Pm?,Dm,Dm 一齊夾,1,7,,,,,
有冇人有is4246 sources,收4246pp pm,,,,,,,,1,1
夾買畢業袍,Pm,🈚️,有興趣,1,7,,,,,
CB2101 hand write exam?,Pk mid term f2f 好L多人用chegg,真🥲同埋可以寫formula,Hand write易好多,1,5,,,,,
放3年MA1006 pp,邊3年嘅pp？,"買source前請問多啲細節同proof，例如grade, source 入面會有啲咩file/ folder (多+ 夠detail) , 邊一年嘅source, 諗清楚先好買1. 保護好個人資料 例如全名等等2. 提防fake proof/ 偷proof, 直接指名你要睇乜嘢proof (Cap 圖、相或者片），睇下係咪你嗰科會教/做嘅嘢，就算係都要保持警醒。3. (個人經驗）問下賣家嘅whatsapp 係咩，或者直接喺whatsapp 同佢傾點買source, 起碼佢無得del chat長期更新呃錢狗tg channelhttps://t.me/+G8PwkCom1vEzYmVl",* MA1006 Cal and Linear Alge for Bus (年年題型一樣）Tg: https://t.me/hehehaha1234789,1,3,,,,,
有冇人返過 asmpt hk ?,小妹有佢intern offer，想知間公司好唔好,,,,,,,,1,1
收LW3902 tutorial answer,Pm,Pm,有酬,1,3,,,,,
素海霖新av,face too big,我最support香港女仔😉,咁你唔好溝港女🙏😅,1,13,,,,,
如果coursework已經肥左，final可以點,下年加油,今個sem好似已經已經出簡單,Coursework 點肥的,1,13,,,,,
收ef3333 QB,pm,Pm,,,,1,5,,,
收CB2402 pp,放,,,,,,,,1,1
放MA1006 pp,Pm,PM,pm,1,6,,,,,
GE2134,有冇人知quiz點考？,呢個堅係fake,Fake sources,1,19,,,,,
收cs3481 source,Pmmmmm,收到可唔可以一起share,收cs3481 source,3,,,,,,
CS3481 fund. Of DataSci source,想買source,徵求source 好人一生平安😇或者交換source都得,,,,1,2,,,
收CS4186 exam pp,pm,50$ 放source,收,1,5,,,,,
今晚AC2有人跳樓？？！,你year 2?,ds好chur，難讀又多grp pj又咁多nds chur高curve😔,政府工,7,139,,,,,
收Cb3043 source,Pm 🙇🏻‍♀️,Pm,Pm,1,35,,,,,
收 CB2100 CB2300 pp,pm,pm,pm,1,18,,,,,
收CB2402 CB2300 Exam PP,Pm,Lm,Pm,1,13,,,,,
小王子畢業袍新團🎓夠15人就開團,Pm,黑店嚟 建議上網搵一搵小王子嘅評語先,仲有冇位,3,37,,,,,
你地今年打算點影畢業相？￼,係咪去畢業禮嗰陣時順便影埋？但係入校園得兩個quota 有啲屋企人想入去影都唔得 遲啲有冇得再去？定要係又一城影？,,,,,,,,2,1
申請去畢業禮去到20號，但大機會defer，應唔應該申請？￼,我都有兩科怕肥。。。,但未知結果點都要搞defer畢業禮？defer完又會變做幾時？,要,1,4,,,,,
EY summer internship,無,有冇人收到offer?🥲,,,,1,2,,,
有冇ac4301大神,👍,想知今個exam有邊D chapter唔考，我記得佢講過，但係我聽唔清楚🙏🏻,,,,2,6,,,
收mkt4637 event mkt past paper,Push,1,如題,1,3,,,,,
收ef4314 past exam,留名留名,同問,有嘅pm me,1,3,,,,,
收is2502quiz,pm,有 Question with solution pm,Pm,1,13,,,,,
收cb2100 pp,pm,With ans，有意pm,,,,1,2,,,
想收2402 macro final pp 有意pm,Fake,https://t.me/TY1134,Pm留Tg（All has Questions + Solution）齊備SourcesCB2100(FA) Quiz + Midterm + Final ExamCB2200(Business Statistics) Lecture Note + Assignment + Tutorial Exercise + Hand-written notes + Statistical TableCB2201(Operational Management) Review Question + Quiz + Final Project + PalsiCB2400(Microeconomics)Tick and learn + mid-term paper + Final + Essay questions + Extra questionsCB2402(Macroeconomics) Assignment + Problem Set + Mid-term + Final ExamCb2500(Information Management)Lecture/Final notes + Interim Report + Tutorial questions + mid-term + Final Report…GE1401(UE) All SamplesGE2402(Business Commu) A1 + A2 + Samples,1,30,,,,,
Intern一問,如果intern同major highly related先得🙈,如果你個major有course 係internship 可以計cred 咁你想靠個intern讀少3cred咪要report返比department囉,唔洗 先無啲咁嘅野,1,8,,,,,
放CB4303 past paper+answer+mock,如題 hv proofMy tg: https://t.me/wakakakakakakakakakak,,,,,,,,1,1
__,上次去拎有幾個毒撚唔敢reject就約左時間上去影相,佢畢業袍好平但你上去拎嘅時候會係咁sell你買佢影相個service,小王子黑店,2,24,,,有冇人有興趣團購小王子畢業袍🎓,,
SU欠錢唔L還,in soc，gym soc為多,insoc？,冇報ocamp… 但覺得好誇張 呢度已經近一萬 但係一定仲有人嫌麻煩唔追/未出聲😵‍💫,3,81,,,,,
招下年marketing fyp groupmate,sem b🫡,Sem a or b?,去exchange同本來班groupmate散開左🥲 有無組仲收緊人？pm傾,1,3,,,,,
收GE 1352 exam source,Pm,Pm,Pm,1,17,,,,,
收sdsc4107 sources,up,up,,,,1,2,,,
__,想知有冇人P圖 最後成功批咗？,有冇人知pending要幾耐,Send 住先,8,13,,,Reg hall作咗人數要交proof點算,,
cciv 論文,Ofc,引言同結論算唔算正文字數？唔該🙏,,,,1,2,,,
收ef4314 past paper,Pm if have,,,,,,,,1,1
收CB2402 A range source,收 CB2402 A range source with proof,,,,,,,,1,1
讀緊EF4484嘅入嚟,知唔知closed book定open book？,Pm,已經好耐無去上😂,1,6,,,,,
ms3111 test討論,easy,大家做得完嗎？,,,,1,2,,,
收SDSC3060Operation research,A😗,同收！,收exam pp,1,3,,,,,
大中GE1501 要點引用reference,Pm,Pm,Pm,1,9,,,,,
放cciv soyce,pm,Pm,pm me,1,8,,,,,
收ge2125 Bible sources,$50 收final,,,,,,,,1,2
有無人有興趣訂畢業袍？,Pm,Pm,Pm,4,56,,,,,
收cciv A range essay,pm,Inbox thx🙌🏻,pm,1,9,,,,,
收MA 1201 asm 3 ans,Pm,hi,pm me,1,5,,,,,
"收cb2240,2100,2402,2601 pp",Pm,Pm,Pls pm can’t pm you,1,8,,,,,
畢業禮個日真係無得帶人入去影相？？,申請qr code,Ask bear king,,,,2,6,,,
收cciv A range essay,pm,Pm me a grade have proof,Pm,1,6,,,,,
有冇人試過成功 report free rider,其實係有能力但唔想放係project度信得過你地,"試吓遇啲唔單只grp prj, final 都做得好 其他方面都兼顧到既人 eg intern case com… 呢啲時間管理良好既人根本㩒住你嚟屌打",但其實即使final勁都識飛也好 grp prj 無能力兼顧代表時間管理好有問題 出到去都係會露哂底😂,2,30,,,,,
收IS4650 Individual S r ce,Individual Report Source,,,,,,,,1,1
Free rider,L,up,要死全家,1,4,,,,,
收cciv A grade source,求A grade essay,,,,,,,,1,1
求收EF4484,Pm,Pm,Pm have,1,23,,,,,
__,pm,我都收到 諗緊做唔做,👍🏼,4,10,,,稅局 ird intern 做唔做得過,,
收Ef4471 source,PM,pm我有,Pm,1,3,,,,,
FM題目,初中數學題？？,HKB控股有限公司宣佈以三供一的比例和$0.31認購價供股，收市時股價是＄0.27。假設每股市價為$0.32•計算出此供股權對一名持有9000股此公司的股票的投資者而言的除權價。,某債券的票面值為100港幣 •期滿期限2年 •年息票利率5% •有一準投資者 ，他要求的回報率為10%•請計算出他最高支付該債券的價格•,1,5,,,,,
放2240 quiz13 full mark ans,Pm me if want,,,,,,,,1,1
畢業袍團購 -5人,差5人，星期五前截小王子https://chat.whatsapp.com/IC8xJtlcQq9DGjNc25RmcF,,,,,,,,1,1
Cambridge Summer School,Pm?,hii,唔太清楚credit transfer啲嘢🤔,1,4,,,,,
有冇人七月係歐洲 exchange / 旅行,pmpmm,here！,,,,1,4,,,
有冇人Lee Kuan Yew competition 🙉,Pm,Pm,Pm,2,16,,,,,
收Cb4303 Martinsons exam,好似係,Open book?,唔知點溫exam 好😿,1,6,,,,,
幾時完sem,pm,Stapps 過嚟嘅,Hi,1,4,,,,,
就到exam period...,hi,fuuu,,,,1,2,,,
CB團購畢業袍,https://t.me/+G3LSJTaCTwg2ODll,差5個,Hey 不如合group 我呢到有10個人俾咗錢,1,12,,,,,
有冇人單丁去IS business tour ?,pm,Korea,你的新加坡團友👋,6,,,,,,
有冇人仲搵緊￼團購畢業袍￼,差7個，$150一套小王子,https://t.me/+TMFt93Itp6FiZDRl,有冇人租tick your gown?,1,5,,,,,
放2240 hw12 $20,Pm me if need,,,,,,,,1,1
收CB3043 source,Pm,Pm,Pm have if need,1,4,,,,,
有無人5/6月係歐洲玩？,Pm,五月尾法國得唔得😂,七日咁多個地方…你確定去得晒😦,1,13,,,,,
收cciv 論文essay,CAH last sem A- here,pm,pm,1,15,,,,,
放畢業袍 女仔 商科,Push 可議,📷,,,,1,5,,,
有冇人一齊夾tick your gown 畢業袍？,Pm,Pm,,,,1,16,,,
Fm 點搵expected market return,James ?,應該係3410 ？,咩course 🙈,1,21,,,,,
收今個星期Python quiz,Pm,Pm,Pm,1,18,,,,,
收上SemA Ge1137 source,pls pm,,,,,,,,1,1
千萬不要reg LT3215,prof 嘅ppt 完全無重點   要自己唸每個ppt 講咩重要concept mcq 啲concept 唔知邊度嚟 short question 比分好緊,,,,,,,,1,1
收ge1209 source,Pm,Pm,收ge1209 source,1,3,,,,,
急 收cb2203 hw4 ans,$10 放,Deadline already la,放also,2,4,,,,,
我就快頂唔順🥲,靚嘅一早除咗啦,各位city靚女可唔可以除罩比我望下靚女🥲望下靚女心情都愉快d,,,,1,2,,,
收IS4246 Pastpaper,如題pm,,,,,,,,1,1
Advice,寫script 留一個人做checking / editing,過咗去 由佢啦,提前做完，triple check,1,7,,,,,
收EF4314 project source,唔係已經交咗？,Pm,如題,1,3,,,,,
想了解下依家戴口罩嘅人係咩心態,戴口罩自由選擇,唔打針，唔戴口罩d人可以累街坊點解可以同戴口罩d人一概而論？,戴口罩又真係唔會累到街坊wor,1,26,,,,,
收GE1202 IS2023 MobileAppsource,Real fake,?,This fake ga,1,15,,,,,
CB2100-GAP公司年報source,以前純quiz + exam,今個sem first time hv this assignment,求讓CB2100 financial ac case study- GAP 2021 annual report,1,3,,,,,
ge1125 收Arange source,pm,3 a range sources report,有冇人幫到手🙇🏿‍♂️,1,3,,,,,
有冇人知city點捉Chatgpt?,提早交,試下咪知check 唔check 到,Zero gpt 準唔准?,4,18,,,,,
聽人話土木係垃圾major,我覺得呢個major仲係幾好,,,,,,,,1,1
有冇人試過爆字數跟住將d字變做相?,appendix,加個,即刻變做一個字,2,4,,,,,
cciv essay,Pm,Pm,pm,1,29,,,,,
Easter package $20,Pm me if interested,包cb 2200 2402 2203 2240,,,,1,2,,,
Chegg 代查,Pm,Dmed,pm,1,6,,,,,
有冇Chegg代查,有嘅話pm,,,,,,,,1,1
Quit u一問,唔洗,Bear tour,出國,1,6,,,,,
有academic dishonesty是咪人生已完,想睇下,希望final 簡單啲,唔係數底 / program 底覺得難😂,3,41,,,,,
☠,Pm,Pm,,,,2,2,MA2181 need help,,
求PIA3123 source,如題,,,,,,,,1,1
求GE2402 A range source,And the syllabus always change,Each class needs different source,The GE english source always useless,1,19,,,,,
收ef3333 final,Have,收,have ，check pm,1,5,,,,,
收IS4650 individual source,係,係咪仲用緊TF 做group assignment,,,,1,2,,,
唔好意思 想問咩係bear king,Bear King,Why bear king needs to explain to you,Bear king does not need to explain himself 🐻👑,2,5,,,,,
放22-23 Sem A CB2100 Source,Pm,A range hv proof Pm if need,Ok m,1,8,,,,,
收GE2130 Happiness essay source,Pushjh,Pushhh,Pushhh,1,9,,,,,
收corporate finance quiz 4,收corporate finance quiz 4 Pm我,,,,,,,,1,1
MA2508 代考，pm價錢（cheap）,Pm,pm me,Any tg?,1,11,,,,,
cb3800 nom邊間？,有冇人都收到citic bank嘅nom？交通銀行同shinewing有冇人有nom？,,,,,,,,1,1
Cb2203 放兩個sem asm4,Real,今個sem 無上個sem 咁痴線其實唔駛買都做到真係多得上個sem 有人出email 投訴,自己心虛就話我on9,1,23,,,,,
放cciv A range source,pm,pm,Phobe,1,4,,,,,
有冇人有coursehero unlock,I have,pm,Pm,1,34,,,,,
ge1304 individual work,Bear king will punish you,咁你不如唔好覆sls💀,我都希望我學到你嘅自信咁🙏🙏,1,9,,,,,
Exchange 成績,Ohhhh咁樣唔show 係transcript 到，應該好過原本city讀拉低GPA🥳,Thank you so muchhhhhhhh🥹🫶🏻🙏🏽,我會話tran 爛grade 嗰d,2,8,,,,,
放ef3320 pp 滿分proj,放,,,,,,,,2,1
一人一個City Freerider,What major,Wong yiu pang isa major,,,,2,27,,,
想late drop 想問counselling要排幾耐,你用咩原因？,我試過，不過係week10 late drop,,,,1,4,,,
放GE2402,Pm,Pm,Pm,1,16,,,,,
$5放4303 quiz 有proof,乜都Fake一餐,On9,小學雞😓,1,43,,,,,
收EF4484 pp,Pm,Pm,,,,1,2,,,
Week12仲可唔可以late drop,可唔可以pm 我都想late drop🥲🥲🥲,原因：Fail左2次🤣,pm,3,26,,,,,
Exchange問題,Ok,你唔放心可以send個email比Angie問佢幾時會nominate你,其實睇你host幾時deadline 咁多申請肯定係出黎左deadline近個啲先,1,52,,,,,
有冇人想一齊訂畢業袍,Pm,pm,pm,1,13,,,,,
Source $2,PHY1201 PHY1202 GE1305 source 免費,📷,On9仔,2,17,,,,,
Cb4303 full mark $5,Pm,📷,pm,1,18,,,,,
__,咩 major,GG,啲panel問既問題都唔識答 食得屎,1,3,,,Present完fyp既咁多位覺得點,,
__,Pm,📷,Pm,1,16,,,Cb 4303 q3 full mark $30,,
懇求各位路過支持下比個like🥹🙏🏻,"我哋嘅「零售未來係以珠寶延續回憶的起點」 影片需要您既支持！我哋喺Team 10 - Lalaland，喺參加 “Retail Reimagined” Challenge 2023的隊伍。我們正與12隊隊伍進行網上對決，就「零售未來」提出創新想法，競逐HKRMA Retail Reimagined Challenge x Starbucks最具人氣獎! 您嘅支持對我哋十分重要，誠邀 您一齊欣賞 + 讚好影片：•	4月4日23:59前於HKRMA YouTube 頻道觀看 + 讚好我哋「零售未來係以珠寶延續回憶的起點」嘅影片：https://youtu.be/w5F99Td8sDk Team 10 - Lalaland",,,,,,,,3,1
Cb4303 Quiz3 $10,📷,https://t.me/googleseeach,,,,1,2,,,
Cb 4303 full mark ans $8,📷,This fake,即係點,1,106,,,,,
收準時CB4303題目 不用答案,This is fake source,$5 here have proof,have proof pm me,2,108,,,,,
自己做啦CB4303,咁你冇所謂 有咩好抄 直接亂做就算啦,冇所謂🤣🤣,所以今次咪零囉🤭,1,9,,,,,
__,Pm,Pm,有full,1,36,,,收CB4303 full mark ans,,
平放cb4303 quiz3,Pm,Pm,pm,1,103,,,,,
$20放cb4303 quiz 3 & 4,Pm,Pm,Pm,1,36,,,,,
收Cb4303 quiz source,有意pm,,,,,,,,1,3
長期更新騙子￼payme名,📷,唔想俾人呃嘅話建議每次買source之前掃呢個code睇吓佢最新改咗做咩名,📷,5,38,,,,,
收cb2240 final pp🙇🏼‍♀️,pm,pm,pm,1,22,,,,,
GPA <3.0 Exchange funds 點搞🥺,💪🏻💪🏻,Have financial needs usually have,九成有？,2,19,,,,,
平收CB2402+CB4303 pp,如題,,,,,,,,1,1
團購Gown revolution 畢業袍,我哋有4個人，想揾多1-6個人夾。5套270元，10套240元。有興趣可留tg,,,,,,,,1,1
Gown Revolution畢業袍團購,Pm,Tg: littleshineee,"Hi, 我地有4個人想訂。你哋現在有幾多個人?",1,4,,,,,
放Ge2402 source,Fake,Pm,Pm,1,12,,,,,
收EF4313 Wayne pp,收,,,,,,,,1,1
收4314 final,pm,,,,,,,,1,1
Reg hall洗唔洗交address proof,抽中你check 先要交,唔係一定要upload,見到reg gall嗰頁有一欄係比你upload document  入面有一欄係寫住household member address proof係咪一定要upload?定係到佢之後抽到先要交,1,3,,,,,
放AC3202 source,pm,Pm,I have last sem,2,23,,,,,
有幾多yr 1 BBA 決定or已經搵左internship,我yr2報嘅,請yr1?,有無人知natixis點樣,1,24,,,,,
__,Dm,dm,"A range source is available, feel free to DM~ :)",2,7,,,[Reg科］GE 1125,,
Hall application一問,Umm 佢抽查先check,120 or above,如果居屋作size 會唔會好易check 到？,2,10,,,,,
放Ac3202,Pm,有pp mid term project asm,,,,1,2,,,
GE project 問卷,GE?,Push,Push,2,8,,,,,
__,係去咩大學😂,,,,,,,有無PIA人summer school去Amsterdam?,4,44
有冇人今個summer school去Boston🥹,想知有冇隊友🚬,,,,,,,,1,1
EF4822,好驚exam 完全唔知發生咩事,都唔知佢講乜 咩Ar,想問有冇人識依一科？,1,3,,,,,
收cb2240 python Hw,放,Ok,,,,1,6,,,
Ac3202 MT幾分,Bear score,,,,,,,,1,1
有冇人收到EY intern offer?,三月中,你地幾時收到interview？,Pm,1,6,,,,,
收is2022 exercise,Pm,Pm,pm,1,5,,,,,
收EF4312 sources,急,,,,,,,,1,1
放 CB2203 PP,This is fake,Fake,pm,1,27,,,,,
阻大家5分鐘幫手做分問卷！🙏🏻,https://forms.gle/PtKsMHZf7aHmXrEP6,https://forms.gle/QRnbFSsJvudEmTc2A,https://forms.gle/cPiGBX9ErDMXXqkF7,1,3,,,,,
而加仲有冇得申請pass ／fail？,有D GE直接話讀唔嚟 壓力大就可以late drop但係咁遲先講的話冇proof就收皮,F左佢下個sem再努力啦,要有medical proof,2,7,,,,,
收IS2022 group project source,Pm have can preview,Pm,Pm,1,13,,,,,
【告急】學生會招莊,📷,SU IG story 精選仲po 緊 阿布泰 邊個仲5毛過我 😂🤙,五咩毛呀依家學生會喺學校有say咩😂冇吖嘛 咁同接咗有咩分別😂😂,2,16,,,,,
Blaw asm grade,Real,因為你係on9仔,,,,1,5,,,
2240 python hw 有冇大佬可以救下命,Pm,Need help! 差少少,Pm,3,32,,,,,
Cityu 點plan exam timetable,試過24h考3科要死咁,你又浮誇左吧,試過2日考晒6科,1,23,,,,,
有冇人收到Sem A STEM allowance?,有冇人收到🥲,,,,,,,,1,1
有冇人可以影今日cb3410 participation q,咩tutor,可薄酬,,,,1,2,,,
升級ChatGPT plus！！,pm,pm,送$100俾你,1,13,,,,,
收cb2203 hw3,Pm,我收 pm我,,,,1,2,,,
Cb3410 chiyoung midterm 幾分,15.5/25?,Final加油就可以啦各位,之前15.5 midterm final 60幾 ，A-,1,12,,,,,
EF3320 hw2,Pm,Pm,我都有可以pm me,1,11,,,,,
新手點樣開始投資,Pm?,想買nvda,,,,1,2,,,
收IS2505 assignment,已PM多次,Pm,Pm,2,4,,,,,
Anyone check 2203 check ans?,Pm,Pm,Pm,1,10,,,,,
Intern 一問,謝謝🙏🏻,呢個唔係要自己搵？,AC4383 AC Professional Internship and Professional Attachment,1,10,,,,,
收EF 3320 Hw2 Q & A,Pm,pm,Pm,1,6,,,,,
求cb2011 quiz 4 answer😵‍💫,世界級原來仲有兩個version 會轉distribution 呆左,Dm,Ching 啱啱做完 今次堅難 最少$480🙏🏻,1,9,,,,,
有冇yr 1 BBA 人已經搵左intern,好多工種淨係需要你畢咗業有學位就OK,其實你唔係想第時做返嗰一科GPA係冇乜所謂,Pm,1,19,,,,,
IS2502 quiz 識做？,easy,,,,,,,,1,1
quit完hall隔一年可以再reg係咪真,跟return scheme即係話第一次return唔到就冇了🫠,不是,好似冇利申：上年有住但今年冇 依家apply下年都係照行return scheme,1,4,,,,,
CB3410對ans,pm,招人CB3410 對Problem Set 2Pmpmpm,,,,1,3,,,
__,已經搵到 thanks!!!!🙏🏻,kangol啡色card holder，有身份證同學生證🙌🏻🙌🏻,,,,2,5,失物,,
放cciv source,push,a range source,,,,1,3,,,
放GE2134 source,Pm,A+ source have proof,,,,1,4,,,
收CB2402 Final Exam paper,No need Pp la useless,我有,邊個sem 幾錢 thx,1,7,,,,,
收CB3041,Alfred Ma Pp PM,,,,,,,,1,1
reg hall,SAME,我早訓,有啊,1,13,,,,,
有無人想reg hall6,pm?,想做兆基女,想去hall6,1,8,,,,,
city會唔會幫手訂埋畢業袍？,咪有店提供囉,小學生咩😂,,,,1,2,,,
收聽日python 朝早堂quiz 題目,Pm,？,Pm with answer,1,6,,,,,
放is2505,Final report Pm me 有proof,,,,,,,,1,1
__,pm,Pm,Pm,1,14,,,放2240 Python quiz ans,,
覺得自己好7 好自卑,Same,same,Same,1,3,,,,,
睇完cut-off，好撚大壓力,用眼,點樣睇,,,,2,2,,,
有冇BBA year3 想一齊溫書？,Hiii,Lm,Hi,1,16,,,,,
代做數學功課,IG: @maths.done,專業代做中學大專數學功課歡迎send功課嚟報價https://t.me/mathsdone@mathsdone,,,,1,3,,,
收GE2402 A-range email source,Pm,.,,,,1,25,,,
City附近有冇黃店?,我冇出聲喎，我打字咋,屎係黃嘅,個logo,3,12,,,,,
城大insoc 又柒,Insoc 不意外,Insoc唔係上幾年執咗？點解又可以繼續,執柒咗佢啦,2,7,,,,,
CS2310 Midterm 幾分,30,"班友仔連mean 同 highest score, lowest score 係幾多都唔寫, 好難知自己咩水平利申：82 分",,,,1,2,,,
Winter intern 通常幾時開始apply,.,,,,,,,,1,1
UE infographic 出左分,all 80%+,17/20 A last sem,咁你其他assignment 攞咩分？,2,11,,,,,
收2240 python quiz,Pm,收皮,Pm,1,17,,,,,
城大個電影院有得免費Book! 想瘋狂約人睇電影￼！,日期：23/3星期四時間：12:00-15:00電影：逆權司機地點：城大圖書館Mini Theatre《逆權司機》是一部於2017年上映的韓國劇情片，由張薰執導，宋康昊、湯瑪士·基斯曼、柳海真和柳俊烈主演。本片取材於西德記者于爾根·辛茲彼得採訪光州民主化運動的故事，講述1980年5月韓國光州民主化運動時，漢城的士司機金萬燮於機緣巧合下意外接載一名德國記者，前往光州進行採訪工作，在官軍無情的屠殺下，順利幫助記者歷劫歸來的故事，期間展現了不少人與人之間的溫情。,日期：16/3星期四時間：12:00-15:00電影：逆權司機地點：城大圖書館Mini Theatre參與方法： PM我或者walk in《逆權司機》是一部於2017年上映的韓國劇情片，由張薰執導，宋康昊、湯瑪士·基斯曼、柳海真和柳俊烈主演。本片取材於西德記者于爾根·辛茲彼得採訪光州民主化運動的故事，講述1980年5月韓國光州民主化運動時，漢城的士司機金萬燮於機緣巧合下意外接載一名德國記者，前往光州進行採訪工作，在官軍無情的屠殺下，順利幫助記者歷劫歸來的故事，期間展現了不少人與人之間的溫情。,Pm,3,35,,,,,
收buscom asm3 email!,150 words only,Last sem A rangeCan proof,Ok thx,1,8,,,,,
收cb2601 mkt ureply,Have cb2601 A range sourcePm if needed,唔係每份啱幾題就有滿分咩,,,,1,2,,,
GE1214,如果meet唔到attendance個requirement會點？,,,,,,,,1,1
Cb3043 夾case,have sulei cases,Pm,Pm,1,31,,,,,
EE3109今日係咪冇lab,入到P1615人影都冇隻😞email canvas又冇講 係咪代表個lab cancel咗😞😞,,,,,,,,1,1
收blaw Anna course manual ans,Pm,Pm,"放Blaw A range sources 多份Pastpapers Asm etc Have ans, parts have model ans",1,14,,,,,
Cb2500 midterm考邊？,年年都係？,一個鐘做81題？？？,,,,1,2,,,
鍾意咗個女仔￼ 但係唔知佢￼有冇男朋友 可以點？￼,Pm,5蚊pm,10蚊一次,1,6,,,,,
reg hall一問,想問下reg hall有咩野文件需要準備,,,,,,,,1,1
Anyone available to work tmr?,Pm me if interested 我唔得閒想搵人頂返工名店保安（唔使牌）,,,,,,,,1,1
【城大用廁所必殺技】  （不喜勿插）,癲,Jm9,死🧒.,1,32,,,,,
23/24 semA exchange Germany？,tum,Hi which university u guys r gonna go,here！,2,10,,,,,
SEE已有foreign 轉poly讀civil,ee>>>>>>see,how about SEE vs EE,SEE係講緊環能源？,1,5,,,,,
CB3043,買leisu最後3個case。 pm telegram: estdiscord,,,,,,,,1,1
收 Dr Yuen VBA Asm2 ans,Yup,有咁易咩？,自己諗,1,14,,,,,
收GE 2134 source,Pm,Pm,有 A+ source,1,12,,,,,
放source,,,,,,,,,,
MS 3111 VBA Asm2,pm,@chanwan12 有model answer,https://t.me/kukukukukukukuhehe pm,1,6,,,,,
2240 quiz9-13 $10,同放,Pm,They need bear king,1,9,,,,,
__,佢地係城大港大門口,攝理教正解,傳福音掛,1,12,,,AC1門口追住人問嘢嗰啲人邊個嚟㗎？？,,
__,錯㗎啲嘢,用chatgpt 唔得咩,Pm,10,25,,,MA 1201 Exam 請槍,,
收CB2011 quiz3,已有請PM,,,,,,,,1,1
MA1200/1201 A 讀唔讀到math major,讀到,讀到,如題,1,3,,,,,
你地一般用幾多時間溫書？,一般而言，內容上商科簡單啲，但形式上既野都幾麻煩,其實都depends on 你讀幾多cred、個科係咪4字頭、你讀咩系😂😂,每日兩個鐘,2,13,,,,,
收EF3450 hw3,Pm,pm,,,,1,2,,,
grp work求interviewee,$?,$？,SS3428 qualitative research嘅group worktopic係關於pandemic這幾年對local嘅impact，最好都可以舉例細講吓，大概30-60min結束。因為採訪者係nonlocal識聽唔識講，問題會用英文/普通話提問，可以粵語回答。我嘅whatsapp係68780534，如有意向pm多謝🙏🙏🙏,2,3,,,,,
ChatGPT account,Chatgpt real rubbish,有係好過無的我叫exchange 朋友攞免費sim 開account 😂,唔係100%岩第1次做錯 過幾個禮拜再對ans先岩,1,28,,,,,
$100 收MA1006 Assignment 2 Ans,pm,Pm,Pm,1,6,,,,,
鍾意聽日文歌嘅入嚟圍個爐,如果樓主都覺得幾好 就轉去tg啦🤣🤣🤣,冇tg 係呢度分享🙈之前自動播放 無意中發現 一啲都唔紅嘅cover歌手 歌都係啲小眾啲嘅 但個人覺得幾好聽https://youtube.com/@s_airara,I’m just playing games,1,29,,,,,
Sell ig page,Hi,1000收,$31 ,1,8,,,,,
GE2260揾groupmate,Ching 咩major,自己單拖讀 想揾groupmate,,,,1,2,,,
有冇exchange Germany WHU?,Anyone?,,,,,,,,1,1
anyone Australia semA,join唔到🥲,Join chat,https://chat.whatsapp.com/EFs2fViHHUUCXqJNWIRwaR,1,3,,,,,
想問下CB3800幾時會知道結果,1,1,想問係埋個accept左 點都會有offer😂 會唔會兩round都冇offer🥲,2,8,,,,,
大家follow咗SU未？,followed,Unfollow and reported,珍,2,6,,,,,
Cb2041 game theory source,Pm,Pm,有請pm🙏🏻,1,3,,,,,
__,有冇人cs4182想一齊做嗰份coding proj,,,,,,,尋cs4182 course proj 組員,1,1
收EF3441 midterm source!🙏🏻,放3年MT and Past paper have solution and asm,Fake source,,,,1,12,,,
__,dm？,Pm?,Me!,1,8,,,Summer school Leeds,,
放python quiz 9,Easy la $0,Pm,Pm me $10,1,3,,,,,
去Columbia嘅人圍爐一下,Hiii,,,,,,,,1,1
有無人報左class嘅summer school！,Me!,5/2 deadline 前🤣,我2月3報,4,47,,,,,
MS科cut off,sas,Banl 有幾科absolute grading,科科唔同吧,1,5,,,,,
放SEE source,pm,有意PM,,,,1,2,,,
EF3333 mid炒咗,Easy A+ sad😭,你點計？,pm,1,15,,,,,
想開個男女比例平均嘅broad game group🦥,Pm,Pm,"狼人 TRPG etc輕鬆玩 無咩經驗都ok✅ 讀緊U, Fresh grad❌保險, Sales, PT, 厹, MK有意pm 留Ba/C, Occupation, tg",1,3,,,,,
FM midterm James 2023,Final: 17-18 18-19 19-20 (all with ans)Question BankMid term x 3 Mock ExamReview sheet3 projects,Pm,pm,1,27,,,,,
新科 會唔會手鬆啲？,拎b range 一定易ga 拎a range 難啫,cb有咩新科,Bear course,2,7,,,,,
尋23/24 Sem B Exchange TUM 同行者,想問有冇 Germany exchange嘅 group 😹,sem A 去+1,有冇人sem B？🫠,1,7,,,,,
23/24荷蘭Radboud exchange,同旅行一樣 都預咗好多手續要搞咖啦😮‍💨,呢啲正常啦,仲要一炮過俾哂四皮幾做財力證明然後又俾個機會你去申請visa + 身份證過程曲折又離奇真係學到好多嘢,1,6,,,,,
23/24 semA U of Laval exchange,有冇人下個semA去加拿大 university of laval exchange🙆🏻‍♀️,,,,,,,,1,
