参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
exchange,😘,你想講咩0.0,,,,,,,,,,1,1
發覺今日除口罩嗰啲顏值都唔差,公子逸,多謝讚賞😎,😟,Thanks😘,🍄,我就當你讚我啦😬,3,8,,,,,
🙌,🍛,Same! 有野想問～,🍛,Same! 有野想問～,🍛,Same! 有野想問～,1,37,,,有冇人去Canada exchange,,
Busi1006 mid-term,🍻,想收busi midterm paper,🎉,唔係f2f考咩,🍈,點會俾用iPad 😂,1,9,,,,,
返學終於可以唔使戴口罩,🐟,😀😀,😶,😃😃,,,,,2,2,,,
差3cred先grad 到係咪一定要defer?,🐺,你話呢？,,,,,,,,,,2,1
丘子龍 你跌咗八達通,🍂,搵返啦！多謝施主🙏🏻,🌸,擺咗喺保安室。,,,,,1,2,,,
有冇23-24 US exchange???🇺🇸🇺🇸,🐶,有冇人sem1 California,🍬,https://t.me/+KZZpkzArJMkzZmU9,🍐,有無人 sem 1 去Florida🥹,1,21,,,,,
🍆,🐏,依啲po預左會衝入嚟 咪願者上鉤囉😂,🐡,成日係CVA廁所打！,,,,,10,32,大家一個星期diy幾次？,,
有無人黎緊sem2澳洲exchange,🦀,pm!,🦀,Again~,🦀,Sem 2!,1,10,,,,,
23-24 瑞士sem2 exchange🙌🏻🙌🏻,🤒,pm傾？,Manm,Me!,🤒,push,1,4,,,,,
Ireland愛爾蘭23-24 exchange,🐰,介唔介意喺tg傾🙏,🍟,上年去左有嘢可以問,,,,,1,2,,,
有冇人 23-24 Sem2去瑞士,😜,same! pm傾?,😜,而家ok!,Manm,我都係Lausanne!,1,9,,,,,
🌞,Manm,我係university of Lausanne also sem 2 去,🎂,你呢？,🎂,University of Applied Sciences Sem2去,1,7,,,有冇人2023 Sem2去瑞士exchange?,,
BUSI2037 HW1,😌,如題,,,,,,,,,,1,1
有冇人嚟緊sem2 sweden exchange 想相認,🐤,Sem2!,正在輸入中,我都係sem2 Sweden🥹 擔心緊visa,aperson,想知有冇人一齊去😂😂😂,3,,,,,,
有冇23-24 Austria🇦🇹 Exchange？？,Leelowmay,sem 2,🦀,Sem幾去？🤔,Leelowmay,咩方法聯絡你方便？,1,6,,,,,
想問下MAP嘅interview in 咩噶,🍔,想問下澳洲嘅幾位有冇交到錢？,👿,咪成日閪鳩人地面 成程都係咁 個陣啲同學仔都笑鳩佢啦例如個陣其實架飛機遲左到 個passport control勁多人排哂長龍 遲左到之後佢閪哂面問我地做咩遲 乜我地想架？都係個句 唔係全額資助都唔好去啦 貼咁多錢打工都夠on9 一陣唔好彩又遇啲閪同學又遇個閪mentor又要受鳩人地氣就唔好,🍤,統計下最後有幾多個人會去,3,85,,,,,
文院要人！！！！！,🍳,支持！！,🙀,支持！投咗la❤️‍🔥✨,🍭,十卜！❤️我投咗喇,1,5,,,,,
文院要人！！！！！,👾,我哋係文院幹事會候選內閣杳榯呀🐘話咁快投票週已經到咗尾聲啦🗳️大家投咗票未吖😆❤️所有文院會員都可以投票㗎✨✨如果未投票嘅話……可唔可以請你哋click一click下面呢條link🔗幫我哋投一票🥺每位同學嘅支持對我哋嚟講都好重要😖我哋好需要你嘅一票！🫶🏻依家係投票嘅最後機會喇😔拜托大家投我哋一票吖❤️🥰投票連結：https://hkbu.questionpro.com/t/AXL6cZw3Tf,,,,,,,,,,2,1
🌳,🍕,pm,😶,Pm,慈,Check pm,1,12,,,慈雲山補習社招part time,,
Exchange 一問,👵,正常應該係offer 同scholarship result 一齊收到,👵,冇啦,🍨,想問exchange拎到offer之後仲有無得申請scholarship?,1,3,,,,,
GTSU2027 hk tax system quiz幾分,🐖,唔係幾夠時間🥲,,,,,,,,,,1,1
有冇人 23/24 sem2 去荷蘭exchange 🙌,🐶,開左個gp 大家有興趣可以join ~,🐶,https://t.me/+FHKyKvsy8L83Nzdl,2329262527,Ok ~,1,21,,,,,
台灣exchange,🐩,sem2,🐩,有無人國立成功,🐩,係窩，東海係台中,1,9,,,,,
23-24 uk exchange,🌳,Sem 1 Edinburgh Napier university!,🙀,Swansea,🙀,Sem1 Seansea,2,23,,,,,
Exchange 23-24 芬蘭 Oulu,😅,requested,🍗,pm?,😅,same,17,,,,,,
有冇人知GCAP3005 Math Romance點樣,🐿,好好讀 A 左,🐞,push,🐞,求問workload大唔大 grade點樣🙏🙏,1,3,,,,,
收BUSI2045 Asm1 ans 有酬,🐪,Pm,🍯,Pm,feli,我有,1,6,,,,,
23/24 日本exchange 🇯🇵,魚香茄子肉燥飯,icu~你呢,🍍,呢條link 先啱,🍍,https://t.me/+tXYo-cM7eNQxOGE1,1,12,,,,,
Exchange 23-24 首爾大👋,🌵,Ys,🍗,bba snu有冇,🍗,snu?,2,4,,,,,
有冇人23/24 Sem 2 去澳洲UOW exchange,⛹,Here!Pm,👻,有冇人Sem2會去UOW exchange？黎相認一下🙈,,,,,1,4,,,
23-24奧地利🇦🇹exchange入！,🐢,有冇奧地利exchange！,,,,,,,,,,2,1
Pgde 一問,😜,需要,🙋,想問下pgde非語文科，如果入職後想教語文科需唔需要再讀多個語文科pgde？🙏🏻,👱,仲要睇返你想報個科，如果係選修科未必間間都有開,4,34,,,,,
有無人exchange norway,😦,Pm🥹,🍤,sem 2 BI,😱,pm,1,11,,,,,
有冇去完UK exchange嘅同學,🐦,Westminster🫡,😜,你係邊間😿,😜,yes,3,14,,,,,
有冇人覺得UCPN1005係bu最撚濕9嘅course,🐨,真係好無謂。仲要爛grade，啲老師個個都好kill,🌞,珍Workload好q大🥲,😸,呢個course真係勁多餘，又多嘢做，又得個2 creds🧐🤨,9,22,,,,,
捷克exchange圍爐,🤗,互相認識下,,,,,,,,,,1,1
芬蘭exchange 23-24 turku有冇,😴,Sure,🍖,DM?,🍖,我都係,1,4,,,,,
放busi2045 A source,cindychan,。,🐁,Pm,,,,,1,2,,,
Japanese culture,🐳,B+，嗰lecturer 比以前手緊咗,😯,今個sem Assignment 1出左分，好伏,😯,想問下讀過Japanese culture果D咩grade,1,3,,,,,
放BUSI2045 source,😮,Pm,⛄️,Pm me,,,,,1,2,,,
BBA double con 好定 minor CS 好？,🐄,當然minor又好double concentration又好 都係一個名姐～最緊要都係真係有學到野可以幫到你之後👍🏻,🐄,身邊有唔少同學都FINE+ISEM 想行finetech個條路幾岩都有啲同學ACCT+ISEM 諗住考CISA個啲試 可能可以做IT audit既工種如果係minor CS既話可能偏向打code/ engineer/ developer/ programmer既工~當然仲有其他出路（利申只係個人見解可能有錯,🙃,"Double con冇乜用, isem 夠做",2,6,,,,,
LLAW SECTION 2 Form group~,alcoholfree,Pm,,,,,,,,,,1,1
Social science courses 平價代做,🍙,平價代做，平均A-B range，有意pm,,,,,,,,,,1,1
有無人報咗ubc summer exchange?,🐭,入grp傾~~,🐭,"👋I have created a private forum on Gööp: ubc vsp 23Join me through this portal YO: https://goop.ai/to?ref=gp.s&i=/invite/04757☝️Register and tap the link again to join, easy peasy!🤫Or input this invite code: 04757【👨‍👩‍👧‍👦 Gööp is a forum for youngsters, bringing you the most intriguing discussion experience!】",😪,Hi,1,4,,,,,
求Fine3007 section 2 groupmate,😑,Push！,😑,Pls DM,🍞,Hihi I’m interested,1,3,,,,,
🐥,🐰,有冇人都未有組🥲,,,,,,,,,GCAP3006 求組隊,1,1
代友問 新蒲崗補習社請導師 急！！,🐕,有意可whatsapp 92541371🙏🏽,🐕,唔好意思 個chat expired咗，請問可唔可以accept多次？🙇🏻‍♀️,🐕,dm,1,15,,,,,
🌼,🙀,呢度有個,,,,,,,,,今年soong hall冇咩靚仔,1,1
Loreal case competition,😾,有冇限major?,🍍,有冇人有興趣form a team~,,,,,1,2,,,
Course Withdrawal一問,💩,Depends on 你lecturer只要你lecturer過 咁就會比AR過around一日左右就成功withdraw每次都成功withdraw嘅未遇過lecturer話要同senior討論利申 今個sem都有withdraw科之前withdraw過兩三次,👳,"“Sorry for the late reply. I have been busy interviewing candidates for some programms.For course withdraw applications after the add/drop period, discussions with senior colleagues are usually required. I will try to proceed with it as soon as possible and get back to you soon.”想問下一般course withdrawal 要幾耐先批？同埋一般course withdrawal既成功率大唔大？🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️",,,,,1,2,,,
hrm4006 section1 招groupmate啦,😭,差一個差一個 快D快D埋尼睇,,,,,,,,,,1,1
想問GFHC1047 好吾好讀🙏🏻,🤓,有冇人知呢科嘅class engagement係點計🙏🏻,lhtungs,Hello 請睇睇個pm ah,🌬,Section 2,4,28,,,,,
中三補physics搵老師,🍫,有冇人OK！幫人問，價錢再傾！,,,,,,,,,,1,1
zhou邊層最好,🌹,覺得5>13>>9>7,👸,你想有咩標準,☺️,想知用咩標準,2,12,,,,,
牙科服務包蛀牙補牙？,🍫,補牙600幾 一隻,😻,其他服務則打折處理,😻,只包洗牙and 無限次給藥檢查,1,5,,,,,
尋晚sing con完出到黎想搵返踩sing con個po,😫,你想要佢ig？,😫,下面滿曬，上面唔肯定,👽,推,1,9,,,,,
求諸子老莊筆記,😸,諸子老莊🥹🙌🏻,😑,咩科？🫡,,,,,1,4,,,
搵fwb 嘅入黎,🍗,ba 外協搵外協,benbenbenB,25巴,🍧,樓主ba/c?,2,3,,,,,
聽日嘅hrm mentor meeting有冇人諗住唔去,🐚,真係有好多人去左？ 利申冇去到,🐧,you are alone,🐭,如題,1,3,,,,,
有intern同苟工 睇下大家有冇興趣,🍩,搵食行遠啲啦 係咁推返啲成年前嘅舊post上嚟做乜鳩 弱撚智？,🙉,保險？,😯,https://chat.whatsapp.com/EzEbkuX18Pv8GGFRk0lYCg大量筍工同Intern🙏🏽有需要先入,1,3,,,,,
有無人有 GTSU 2045 Sources,🐪,Pm,,,,,,,,,,1,1
👮,🍉,https://chat.whatsapp.com/EzEbkuX18Pv8GGFRk0lYCg大量筍工同Intern🙏🏽有需要先入,🍲,去參加啲ngo 搞嘅大學生intern計劃，通常易啲入,,,,,2,5,Sen 3 尾都未搵到intern,,
其實浸大一年有幾多人入到政府做公務員,😻,https://chat.whatsapp.com/EzEbkuX18Pv8GGFRk0lYCg大量筍工同Intern🙏🏽有需要先入,🐩,但我in嗰陣佢冇乜追問我🥲🥲🥲🥲🥲🥲,🐩,傳說話佢對你有興會係咁追問,7,22,,,,,
👼,666k,https://chat.whatsapp.com/EzEbkuX18Pv8GGFRk0lYCg大量筍工同Intern🙏🏽有需要先入,🐺,我們（香港浸會大學傳理學院）現在有個研究，想找人做訪問。就是問問大家對於網絡論壇的意見和感受。訪問是在ZOOM進行的，可以在你方便的時間和地點。想找的人要滿足以下條件：1.	香港本地人2.	曾經註冊過連登，高登或香港討論區（任意一個就可以）超過一年的3.	年齡：25岁以上；參加者可以獲得300港幣的現金酬謝。如果有時間參加的，請PM我（WhatsApp: 90277593）啊，好需要大家幫幫手，自己參加之餘，也請幫忙問問有沒有親戚朋友可以幫忙做下訪問的。,😎,Model公司,15,11,,,想問下大家sembreak會係邊度搵工,,
點解拉把可以咁撚熱？,公子逸,4～7樓涼過下面,🐣,一年四季都咁撚焗浸中連裝冷氣嘅錢都冇？,,,,,1,2,,,
有冇人會￼去千人宴？,🍄,呢啲係組團去食嘢,👨,識你老母咩毒撚,🦀,去識囡囡🤪,1,11,,,,,
Hrmn4006 section 1 搵gpmate,😲,有冇人個組未齊人可以join？或者有冇人未組隊😅🤣,,,,,,,,,,1,1
😞,🎍,你cgpa有低過1.67 嗎？,🍛,是咪要defer了,VSCO,1,1,11,,,F咗兩科，收信話今個sem只可以最多12 cred,,
🍮,Omg321,Pm TG🤡,,,,,,,,,想識year3 or above 妹豬,1,
想追gpa 🥲,🍙,Pe course,🤖,樓主咩科,🍐,做多D練習,1,6,,,,,
訂造奬杯、奬牌，一個都做,🍯,"靚quality,免費出埋效果圖，可任改訂20個以上免費送到學校有意PM，一個都做量多優惠，不足20個加運費都照送！",,,,,,,,,,1,1
🐒,🦁,全部都話not for assessment話考到50幾頁，但尋日考80幾佢自己都未教全部人做完講曬粗口,🐙,？,🍈,咩事咁大怨氣？,106,909,,,Bio 專區,,
4soc 唔夠credit 對揀major有冇影響,😗,唔關事啦點都入到first choice,🐎,唔該晒師兄/師姐解答，thx so much 🙏🏻🙏🏻🙏🏻,🍜,完全冇影響 你冇跟study plan 之後就補讀返；你應該睇返BAP Year 1 Student Handbook Section 5.2 有寫tie-breakers,1,18,,,,,
abnormal psychology分組,🙈,想問有無組缺人？我未有組 🥲,,,,,,,,,,1,1
GFHC1027 搵groupmate,💩,搵groupmate,,,,,,,,,,1,1
Hist靚grade professor,😟,大鑊,🐨,搞笑,🍧,Catherine ~,4,23,,,,,
LLAW3007 sec2招grpmate🥺,此用戶名已有人使用,pm,wai00321,我得一個人 入grp都得㗎😢求收留 絕不freeride 人會做嘢😢,,,,,1,2,,,
🌸,🐸,想收+1,👧,收FINE3007 source pm,,,,,1,2,收Fine3007 source,,
有冇人需要program 補習,😬,Python/Java 都可以有意pm,,,,,,,,,,1,1
覺唔覺今次sing con好唔吸引￼,🙌,Dear Jane唱live難聽到…,🌜,聽聞都多人買飛,😱,Dear Jane 勁jeng 見到有佢我就買咗飛,1,9,,,,,
Law 3007 section 1 招隊友👋,😯,pm,online,pm,,,,,1,6,,,
想問今個sem acct1005用咩書,🌻,手頭上有本第四版Financial accounting with international financial reporting standards 100齣,,,,,,,,,,2,1
想開個group 得閒join下唔同case com,Kamiiii,Pm,🍤,Pm thanks,,,,,1,34,,,
exchange幾時有result,👻,好似係22日,🍅,自己去check吧樓主,🍅,2月2x日,1,3,,,,,
BU Main Can,😉,啲兩餸飯好味過舊校好多，舊校食完兩餸飯真係嘔出嚟,Anx234,咪係 重要$30就有燒味喎,🤒,30蚊黎講,2,14,,,,,
Kiri bb生日快樂￼！,🙄,可唔可以井多少少,🌷,無心冒犯，不過第一眼見到以為係Siri生日,🍃,Kiri生日快樂😘🎉  大一歲繼續一樣開開心心幸幸福福🤪,1,3,,,,,
2023 econ1006 s1搵grpmaye,笑笑虎,有無人未有grp或者仲有位可以比我入🥲,,,,,,,,,,1,1
econ1006 S2 搵groupmate,🍤,Pm,🍤,Pm,🐵,PM!,1,8,,,,,
有冇人收到update grade record email,🐂,佢意思純粹係派咗grade 比我？,🐂,但見佢寫amendment for your course grade🤔,🍭,Make up exam grade,1,4,,,,,
GFHC1047 招groupmate,Kamiiii,Section 01,,,,,,,,,,1,1
有冇year2 bba major Econ 的小伙子🥲,🍟,Hello~,,,,,,,,,,1,1
MKTG3026搵Groupmates,🐄,Pmpm!,,,,,,,,,,1,1
Gfhc1037 一問,😚,有冇人section3 冇組或缺人,😂,應該係計attendance 今堂見佢要我哋tick,,,,,2,6,,,
UCHL1066Mental health究竟計唔計出席,🙆,有冇人讀過呢科？佢堂上面又有張紙要你剔，但系outline又冇講話attenfance計分。,,,,,,,,,,1,1
MOODLE 個message function 用唔到？,👸,分完組 有兩個人唔知佢哋student id ，message個功能又用唔到，又唔知佢哋係乜水，可以點搵佢哋出嚟,,,,,,,,,,1,1
ECON1006 section2 招groupmates,😩,如題,,,,,,,,,,1,1
搵隊友law3007 Section 1,🍚,Pm,🐍,請問仲有位嗎？,,,,,2,5,,,
Geog2025分組,😛,有冇組唔夠人🙏🏻,,,,,,,,,,1,1
GFHC1055 s2 求組,🍭,pm 我地得兩個人,emilkaiII,暫時未有,😬,有冇人仲未有組？,1,7,,,,,
Minor邊科好？（想試acct但驚爛grade,🍺,Why,🐋,Minor finance 保你GPA 3,👴,minor acct,2,4,,,,,
GTCU2027搵gpmate,🍥,hii✌🏻✌🏻✌🏻,wi18,Hi🙌,😏,Not freerider Dm🙏🏻,1,3,,,,,
ACCT1006 S6 求group,🍇,佢email 話今日fill in group deadline 可唔可以收留下我😂,😤,？,🍇,就係咁,2,3,,,,,
Defer學費幾時出,🌷,好似未有消息,,,,,,,,,,1,1
有冇人知law3007exam close定open?,😴,Paul Lam話close book喎,Anx234,Open囉 咪亂講 上堂又唔聽書。。outline冇改 但上堂有講囉,🐢,今個sem close book🫠,1,7,,,,,
放FINE3005 source,🍠,放notes + textbook questions with answers,🙉,平放，有意pm,🐖,Pm,1,3,,,,,
ChIL4035諸子,hiiiiiu,Hi 有冇人未有組？,🐟,有冇人諸子（老莊）仲未有組？,🐟,Pm,1,9,,,,,
想識女仔fd～,🍵,Pm,😛,BBA Isem Year 3 here!!!!!,🐛,pm~,3,81,,,,,
想搵人一齊報sing con,🌲,pm,🐳,想搵人一齊夾sing con 合唱唱開陳奕迅、周國腎同band 仔歌,,,,,2,2,,,
Programming 🔫,🎉,[Programming]🔫/ 私補專業團隊，經濟豐富有意dm 詳談,,,,,,,,,,1,1
GTSC2046 星期一堂組gp 一齊衝A！,🌛,有冇source 價錢可儀,Yoon,sorry我今日先睇到msg 但係已經expired🥹🥹 可摸耳send多次🙏🏻,😠,pmed！,1,15,,,,,
🐼,🤕,同女朋友做完真係會好瞓啲，可能因為運動量大,🐶,試試佢 無謂下下都失眠 時間同精神都無曬,🐶,研究指出女性自慰比男性更有效解決失眠問題,1,12,,,有冇人都係好容易失眠,,
想搵個結他手3/2表演,🐳,#一齊,🐳,因為3/2science同幼教搞左busking 所以想搵結他手一次join,🐳,我係樓主,1,4,,,,,
GFVM1045,🍼,有冇人知1/2交嗰份question guide係咩格式🙏🏻,,,,,,,,,,1,1
有冇住hall les,⛹,pm?,🍤,Hiiii,⛹,想識住hall嘅朋友😗,1,5,,,,,
中文pdge一問,🐣,請問介唔介意講下gpa幾多？,妙與連豬,收咗hku 小中,☺️,有無bu人收到hku中中/小中offer？同埋見cu中中同小中都淨係in 30-40個有無bu人收到interview？,1,3,,,,,
想問下關於pgde,🌮,2.5 is ok,🍀,各位，小弟讀緊2+3 pgde，而pgde 個cgpa 而加係2.5，睇到pgde 個畢業要求係cgpa>=2.5，想問係咪死硬？同埋major嗰gpa 本身都叫OK，點解pgde 個GPA會咁低，到底Pgde個average 係點？我唔想攞唔到個pgde ，有冇Ching 可以答吓小弟嘅疑難🥲,,,,,1,2,,,
GFHC1037 Section 1 搵Groupmate,🌞,Miss咗兩堂 ，有冇人未有組。,,,,,,,,,,1,1
ACCT1006 收source,🍿,有書,🍻,想要書+答案 最好有埋考試source~thx,,,,,1,2,,,
求放GTCU2046 🙏🏻🙏🏻🙏🏻,🌮,有冇GTCU2046 Sect2😭?,🐩,Pm!,🍯,Pm!,1,3,,,,,
LLAW3307 s1搵gm,Hbbbv,Still ?,kkkkkb,pm,,,,,1,10,,,
有冇人讀UCHL1036,🙊,push,🙊,啱啱轉左去section 2 所以想搵gpmate🙋🏻‍♀️,,,,,1,2,,,
求LANG1015 Section 1,🍓,push,,,,,,,,,,2,59
想問下星期45係咪放假,😇,Thx,🍶,放假,😇,因為睇calendar框住左又冇話係咪假期,2,3,,,,,
gtsc2046 section1 求組,Yoon,想問齊人未*,Yoon,齊想問人未？求組隊🥹,2yy,pm,1,6,,,,,
~$1200徵 GTCU2046 Section 1,🙊,Hi pm,🙊,Pm!!,🐘,我有 can pm,2,3,,,,,
放書法工具,🌹,Hi pm,🌸,$1000 收GTCU2046 Sect 2🥲🙏🏻🙏🏻,👹,sold out🙏🏻,1,14,,,,,
Lang1005 S6 有問題,🌵,我都要走頭兩堂 但冇朋友一齊上 想搵朋友🙁,🌵,有冇人section8🙁,🦂,普通話科全部都好睇出席率喎。不過頭三堂除左前測（唔計分）之外，應該都無其他測驗，但應該要開始交功課。,1,6,,,,,
想minor finance,🌱,有啲嘢想問,🌱,Ching 可唔可以留tg?,👮,好!🥺Thanksss a lot😭😭,2,16,,,,,
BUSI2035,🌸,Section 3 轉 2,🐠,Section 5轉1,,,,,1,2,,,
招busi3006 section 2 grpmates,👹,Pm,🐻,ok,🙇,Pm,1,3,,,,,
GFHC1047 換Section,⛑,Section 1 換2,,,,,,,,,,1,
UCPN换section,appaa,1轉8 both Venice,waz,4 换 14 or 18,🐽,Plz🙏🏻,1,4,,,,,
收CHIL3026 / HUMN3025等 $500/1,😤,$1000 CHIL3026/ HUMN3025/ LANG2005sec 1/ LANG3007🙏🏿🙏🏿PM,😤,$1000 CHIL3026/ HUMN3025/ LANG2005sec 1/ LANG3007🙏🏿🙏🏿PM,😤,$500-$1000 周耀輝$1000其他再講🙏🏿幫幫手,1,15,,,,,
GTSC2046 section 1 搵組員～,2yy,pm,😿,我哋依家差1個 有冇人想join～,lshgdhs,我呢組差兩個，要一起?,1,6,,,,,
放書法工具,🍨,$1000 收GTCU 2046 Sect 2🥲🙏🏻🙏🏻🙏🏻,🌜,Pm,😀,pm,1,9,,,,,
有冇人放毛筆字用具？,😦,$1000 收GTCU 2046 Sect 2🥲🙏🏻🙏🏻,👺,有冇人可以放毛筆字用具🙏🏻,😡,pm,1,9,,,,,
放書法工具,🌮,$1000 收GTCU 2046 Sect 2🥲,yeiii,pm,Cutiepie,放書法工具,1,13,,,,,
收毛筆工具,🎅,$1000 收GTCU2046 Sect 2🥲🥲🥲🥲🙏🏻🙏🏻,🍦,會唔會有人有呢set 工具？有嘅可以pm 🙏🏻,🍦,📷,1,3,,,,,
有冇人讀uchl1026 family exercise?,🍕,同PE無咩關係,🍕,Super kill,😐,聽講老師好kill,1,15,,,,,
放法文TOTEM 1 &2 + 字典,🤑,How to pm,🍑,Pm,,,,,1,5,,,
求comm2026谷眉,🍉,過左第二堂先add到入去，發現已經要搵grp mate 求問有冇人缺組員？一定唔係free rider,,,,,,,,,,1,1
UCHL1057 冥想 S2轉S1,💩,push,🍹,push,🍹,push,1,3,,,,,
acct1006 section5求groupmate,🦂,仲有冇位🙏🏻,🍬,如題，plz pm,,,,,1,2,,,
放GTCU2026 s2,😸,push,😸,push,😸,push,1,7,,,,,
放GTCU2026 s1 粵語 要酬,😥,pm,桃10086,section2 pm我,桃10086,plz,1,3,,,,,
GCAP,🐷,我都想知 等開飯🥹,🕴,想問吓$300幾時會claim返？,,,,,1,2,,,
busi4006邊個好？,🐉,push,🐉,kim jongsoo/ kang yungu,,,,,1,2,,,
求GTCU2026 section2 薄酬,桃10086,push,桃10086,push,👮,push,1,6,,,,,
UCPN 1005 (00022) Venice,appaa,8轉1,🐏,1想轉5或22,😤,22想轉1or 31,1,8,,,,,
有冇人有Dr Chung Kwok Ho email?,🍏,咁撚正 兩科都係佢🥶,🐽,功課攞A 最後都B,,,,,1,8,,,
有無人黎緊會去芬蘭summer exchange,👿,Lm 考慮緊去,sleepycat,想問下有無人去過Finland summer exchange，成個budget大概幾多🙏🏻,🌾,應該無限的，但學校啲資助就好似會考慮gpa批唔批比你,4,5,,,,,
Exchange scholarship,😨,"europe, north america",😃,你去邊度exchange,🍫,不過要面試,1,8,,,,,
換hall,🙄,9換7啱🥹,🙄,有無人可以ZHOU HALL   7樓換9樓,,,,,1,2,,,
想問bba project 今年想withdraw,😡,Can pm?,🌽,defer?,,,,,2,12,,,
招busi 3046 sec 2 grpmate 👋🏻,😷,Pmed,😷,Pm,💣,pm,1,3,,,,,
羽毛球轉乒乓波,🐸,pm,🐸,hello 轉咗未？pm你,🍭,想UCHL1046 section 4想轉UCHL1036 section 4🙏,1,3,,,,,
☠,🍌,Year 4 13cred～,🍐,係大佬🙏🏻,🐺,係咪所有major都有hon project,7,13,,,啱啱開sem 見到個Workload 已經想Quit,,
FINE1005,😹,我都有讀finance 但係冇底ok嗎？,🐷,招groupmate 有意dm我🙏🏻利申：Minor finance，好多finance course都A,,,,,2,3,,,
徵CHIL1005(詩選)，有酬🙏,尼采02,Pm me🙏,🍷,放詩選，pm開價,尼采02,pm me🙏,1,5,,,,,
Gcap3125,😆,Hi星期二個section我地group有3個人差2個有意pm!,,,,,,,,,,1,1
唔計gpa 普通話fail 拎唔拎到dean list,🍷,你試過？ Thx,🎉,拎唔到,,,,,1,2,,,
Business Japanese JPSE3006,🐶,同問,🍭,想問下有讀過嘅大家🙏🏻workload同grade方面如何？final year諗緊min唔minor好😖,,,,,2,2,,,
"CHIL4035, CHIL4027 分組",😋,Hello,🐯,我都未有,😋,Hello,1,6,,,,,
🎉,👷,有冇人知21世紀天文學難唔難,🍁,真？,🍖,想問GTSU2036今個sem係咪都冇group project同present？,23,172,,,GT咩course好讀？,,
Email 轉section,Diuneinomo,FM 一問 因為個course人數full咗 我就之前sit咗堂Econ 問咗Professor佢話俾我轉section 叫我send 封email俾佢 佢再轉發封email過去俾AR 嗰邊處理但係我呢幾日send咗兩封email都係0回覆🤢🫠我想問我可唔可以直接send email去AR嗰邊叫幫我轉section 🫠?十級趕急 因為而家呢堂阻住我轉其他兩科section 同埋依家又係Add/drop期 驚另外兩科啲位遲下就冇,maybett,New,🍃,想問大家如果想寫email 俾prof 轉section，你哋會寫曬俾新舊嘅prof，定只係send 俾新嘅prof？,2,3,,,,,
有冇人讀過GTCU2045？,🌚,essay 3000-5000字 可以中文寫book review 英文 1500字presentField projecthomework,🌚,介唔介意講解下,🌚,😨😨😨,1,7,,,,,
☠,Joma,Cai 幾？,🐻,cai,,,,,1,10,Yang hall調其他hall 🥹🥹,,
住hall check in問題🙏🏻,😴,已經有，不需要,🍇,想問床褥使唔使自備,🍥,冇 大部分人都唔會 但係可以帶,3,8,,,,,
Send email轉section一問,🙋,因為個course人數full咗 我就之前sit咗堂Econ 問咗Professor佢話俾我轉section 叫我send 封email俾佢 佢再轉發封email過去俾AR 嗰邊處理但係我呢幾日send咗兩封email都係0回覆🤢🫠我想問我可唔可以直接send email去AR嗰邊叫幫我轉section 🫠?十級趕急 因為而家呢堂阻住我轉其他兩科section 同埋依家又係Add/drop期 驚另外兩科啲位遲下就冇,,,,,,,,,,1,1
CHIL4005 文學批評分組,🐩,有無人導修係10002(5:30-6:30)但未有組㗎🥹可以pm我🙇🏻‍♀️🙇🏻‍♀️星期三先有導修，但分組名單聽晚就截止🥲,,,,,,,,,,1,1
幾時開始放新年假,🕵,上網google 搵hkbu academic calendar 就知,,,,,,,,,,1,1
求放GTCU2026 $100,🍿,pm🙏🏻,🍵,有放,,,,,1,5,,,
有冇人放HIST3106?,Onj,求放🙏🏻好人一世平安,,,,,,,,,,1,1
有冇人知AAB去舊校嘅話要搭咩車？,🕴,你要坐？,🕴,轉堂得10分鐘,🐑,電動輪椅？,3,8,,,,,
😢,🍘,好想讀呢科🙏🏻🙏🏻得佢就到時間🥲求放 dm開價,,,,,,,,,Year 4 求GTCU2005 S1🙏🏻🙏🏻,1,1
放gtcu2056,MehMehY,求🥲🙏🏻🙏🏻,,,,,,,,,,2,1
想問下點先可以drop major core,😌,有份ar 嘢填，填完比自己department 簽名，佢地會幫手sd去Ar，之後就搞掂,🌽,唔想下個sem讀某一個major core ，太Chur,,,,,1,2,,,
放acct1006section5換section4,🐍,跪求換section4,,,,,,,,,,1,1
Lang 1026 Janice打手,今日努力咗未,超級好 比曬tips 記得所有人人名 A-,今日努力咗未,zhang wei janice?,🍻,戴咗口罩幾唔錯,1,10,,,,,
BUSI4006 section 2求換section 4,😑,pm,🍗,有冇人可以放section 4出嚟，可以用section 2換🙇🏻‍♂️,,,,,1,2,,,
韓國exchange 入黎,😽,有嘢想問下 可唔可以pm？,🍗,西江,😱,你地邊間？,2,3,,,,,
Business Japanese,🐖,Push 想知,👮,Prof好唔好人㗎😖 final year考慮緊minor日文 又驚依科會爛grade🫠,🐗,JPSE 3 level,2,13,,,,,
3017 Services Marketing,KIM0114,Push!!!,🐺,唔該曬！,🐺,有frd 想drop 所以諗緊,1,6,,,,,
Brand Management Rosanna ok?,🍒,push,🍒,想知Rosanna kill 唔kill？minor reg 得過？,,,,,1,2,,,
想drop hon pro,🙇,仲未同佢傾,👿,同supervisor 傾咗未?,,,,,1,4,,,
